left,right,complete_pairs,pearson,spearman
Pclass,Pclass,712,1,1
Pclass,Age,570,-0.37092400782128693,-0.36369459159097872
Pclass,SibSp,712,0.11191795917632003,-0.0055288244455526884
Pclass,Parch,712,0.029955409121895999,-0.00221013798726974
Pclass,Fare,712,-0.52717032621049065,-0.67703183720303961
Age,Pclass,570,-0.37092400782128693,-0.36369459159097872
Age,Age,570,1,1
Age,SibSp,570,-0.33254037103961664,-0.2241177086563359
Age,Parch,570,-0.22243956885212104,-0.30339462381027615
Age,Fare,570,0.09915764300508495,0.10822296198874728
SibSp,Pclass,712,0.11191795917632003,-0.0055288244455526884
SibSp,Age,570,-0.33254037103961664,-0.2241177086563359
SibSp,SibSp,712,1,1
SibSp,Parch,712,0.41375663398941503,0.43761641128838641
SibSp,Fare,712,0.12880875350422841,0.43813865201491736
Parch,Pclass,712,0.029955409121895999,-0.00221013798726974
Parch,Age,570,-0.22243956885212104,-0.30339462381027615
Parch,SibSp,712,0.41375663398941503,0.43761641128838641
Parch,Parch,712,1,1
Parch,Fare,712,0.20829959929883968,0.40799273292127186
Fare,Pclass,712,-0.52717032621049065,-0.67703183720303961
Fare,Age,570,0.09915764300508495,0.10822296198874728
Fare,SibSp,712,0.12880875350422841,0.43813865201491736
Fare,Parch,712,0.20829959929883968,0.40799273292127186
Fare,Fare,712,1,1
