month,passengers,lag12_difference,lag12_ratio
1949-01,112,,
1949-02,118,,
1949-03,132,,
1949-04,129,,
1949-05,121,,
1949-06,135,,
1949-07,148,,
1949-08,148,,
1949-09,136,,
1949-10,119,,
1949-11,104,,
1949-12,118,,
1950-01,115,3,1.0267857142857142
1950-02,126,8,1.0677966101694916
1950-03,141,9,1.0681818181818181
1950-04,135,6,1.0465116279069768
1950-05,125,4,1.0330578512396693
1950-06,149,14,1.1037037037037036
1950-07,170,22,1.1486486486486487
1950-08,170,22,1.1486486486486487
1950-09,158,22,1.161764705882353
1950-10,133,14,1.1176470588235294
1950-11,114,10,1.0961538461538463
1950-12,140,22,1.1864406779661016
1951-01,145,30,1.2608695652173914
1951-02,150,24,1.1904761904761905
1951-03,178,37,1.2624113475177305
1951-04,163,28,1.2074074074074075
1951-05,172,47,1.3759999999999999
1951-06,178,29,1.1946308724832215
1951-07,199,29,1.1705882352941177
1951-08,199,29,1.1705882352941177
1951-09,184,26,1.1645569620253164
1951-10,162,29,1.2180451127819549
1951-11,146,32,1.2807017543859649
1951-12,166,26,1.1857142857142857
1952-01,171,26,1.1793103448275861
1952-02,180,30,1.2
1952-03,193,15,1.0842696629213484
1952-04,181,18,1.1104294478527608
1952-05,183,11,1.0639534883720929
1952-06,218,40,1.2247191011235956
1952-07,230,31,1.1557788944723617
1952-08,242,43,1.2160804020100502
1952-09,209,25,1.1358695652173914
1952-10,191,29,1.1790123456790123
1952-11,172,26,1.178082191780822
1952-12,194,28,1.1686746987951808
1953-01,196,25,1.1461988304093567
1953-02,196,16,1.0888888888888888
1953-03,236,43,1.2227979274611398
1953-04,235,54,1.298342541436464
1953-05,229,46,1.2513661202185793
1953-06,243,25,1.1146788990825689
1953-07,264,34,1.1478260869565218
1953-08,272,30,1.1239669421487604
1953-09,237,28,1.1339712918660287
1953-10,211,20,1.1047120418848169
1953-11,180,8,1.0465116279069768
1953-12,201,7,1.0360824742268042
1954-01,204,8,1.0408163265306123
1954-02,188,-8,0.95918367346938771
1954-03,235,-1,0.99576271186440679
1954-04,227,-8,0.96595744680851059
1954-05,234,5,1.0218340611353711
1954-06,264,21,1.0864197530864197
1954-07,302,38,1.143939393939394
1954-08,293,21,1.0772058823529411
1954-09,259,22,1.0928270042194093
1954-10,229,18,1.0853080568720379
1954-11,203,23,1.1277777777777778
1954-12,229,28,1.1393034825870647
1955-01,242,38,1.1862745098039216
1955-02,233,45,1.2393617021276595
1955-03,267,32,1.1361702127659574
1955-04,269,42,1.1850220264317182
1955-05,270,36,1.1538461538461537
1955-06,315,51,1.1931818181818181
1955-07,364,62,1.2052980132450331
1955-08,347,54,1.1843003412969284
1955-09,312,53,1.2046332046332047
1955-10,274,45,1.1965065502183405
1955-11,237,34,1.1674876847290641
1955-12,278,49,1.2139737991266375
1956-01,284,42,1.1735537190082646
1956-02,277,44,1.1888412017167382
1956-03,317,50,1.1872659176029963
1956-04,313,44,1.1635687732342008
1956-05,318,48,1.1777777777777778
1956-06,374,59,1.1873015873015873
1956-07,413,49,1.1346153846153846
1956-08,405,58,1.1671469740634006
1956-09,355,43,1.1378205128205128
1956-10,306,32,1.1167883211678833
1956-11,271,34,1.1434599156118144
1956-12,306,28,1.1007194244604317
1957-01,315,31,1.1091549295774648
1957-02,301,24,1.0866425992779782
1957-03,356,39,1.1230283911671923
1957-04,348,35,1.1118210862619808
1957-05,355,37,1.1163522012578617
1957-06,422,48,1.1283422459893049
1957-07,465,52,1.12590799031477
1957-08,467,62,1.1530864197530863
1957-09,404,49,1.1380281690140845
1957-10,347,41,1.1339869281045751
1957-11,305,34,1.1254612546125462
1957-12,336,30,1.0980392156862746
1958-01,340,25,1.0793650793650793
1958-02,318,17,1.0564784053156147
1958-03,362,6,1.0168539325842696
1958-04,348,0,1
1958-05,363,8,1.0225352112676056
1958-06,435,13,1.0308056872037914
1958-07,491,26,1.0559139784946237
1958-08,505,38,1.0813704496788008
1958-09,404,0,1
1958-10,359,12,1.0345821325648414
1958-11,310,5,1.0163934426229508
1958-12,337,1,1.0029761904761905
1959-01,360,20,1.0588235294117647
1959-02,342,24,1.0754716981132075
1959-03,406,44,1.1215469613259668
1959-04,396,48,1.1379310344827587
1959-05,420,57,1.1570247933884297
1959-06,472,37,1.0850574712643679
1959-07,548,57,1.1160896130346232
1959-08,559,54,1.106930693069307
1959-09,463,59,1.1460396039603959
1959-10,407,48,1.1337047353760445
1959-11,362,52,1.167741935483871
1959-12,405,68,1.2017804154302671
1960-01,417,57,1.1583333333333334
1960-02,391,49,1.1432748538011697
1960-03,419,13,1.0320197044334976
1960-04,461,65,1.1641414141414141
1960-05,472,52,1.1238095238095238
1960-06,535,63,1.1334745762711864
1960-07,622,74,1.135036496350365
1960-08,606,47,1.0840787119856887
1960-09,508,45,1.0971922246220303
1960-10,461,54,1.1326781326781328
1960-11,390,28,1.0773480662983426
1960-12,432,27,1.0666666666666667
