freq,period,n,sum,mean
Q,1949-Q1,3,362,120.66666666666667
Q,1949-Q2,3,385,128.33333333333334
Q,1949-Q3,3,432,144
Q,1949-Q4,3,341,113.66666666666667
Q,1950-Q1,3,382,127.33333333333333
Q,1950-Q2,3,409,136.33333333333334
Q,1950-Q3,3,498,166
Q,1950-Q4,3,387,129
Q,1951-Q1,3,473,157.66666666666666
Q,1951-Q2,3,513,171
Q,1951-Q3,3,582,194
Q,1951-Q4,3,474,158
Q,1952-Q1,3,544,181.33333333333334
Q,1952-Q2,3,582,194
Q,1952-Q3,3,681,227
Q,1952-Q4,3,557,185.66666666666666
Q,1953-Q1,3,628,209.33333333333334
Q,1953-Q2,3,707,235.66666666666666
Q,1953-Q3,3,773,257.66666666666669
Q,1953-Q4,3,592,197.33333333333334
Q,1954-Q1,3,627,209
Q,1954-Q2,3,725,241.66666666666666
Q,1954-Q3,3,854,284.66666666666669
Q,1954-Q4,3,661,220.33333333333334
Q,1955-Q1,3,742,247.33333333333334
Q,1955-Q2,3,854,284.66666666666669
Q,1955-Q3,3,1023,341
Q,1955-Q4,3,789,263
Q,1956-Q1,3,878,292.66666666666669
Q,1956-Q2,3,1005,335
Q,1956-Q3,3,1173,391
Q,1956-Q4,3,883,294.33333333333331
Q,1957-Q1,3,972,324
Q,1957-Q2,3,1125,375
Q,1957-Q3,3,1336,445.33333333333331
Q,1957-Q4,3,988,329.33333333333331
Q,1958-Q1,3,1020,340
Q,1958-Q2,3,1146,382
Q,1958-Q3,3,1400,466.66666666666669
Q,1958-Q4,3,1006,335.33333333333331
Q,1959-Q1,3,1108,369.33333333333331
Q,1959-Q2,3,1288,429.33333333333331
Q,1959-Q3,3,1570,523.33333333333337
Q,1959-Q4,3,1174,391.33333333333331
Q,1960-Q1,3,1227,409
Q,1960-Q2,3,1468,489.33333333333331
Q,1960-Q3,3,1736,578.66666666666663
Q,1960-Q4,3,1283,427.66666666666669
Y,1949,12,1520,126.66666666666667
Y,1950,12,1676,139.66666666666666
Y,1951,12,2042,170.16666666666666
Y,1952,12,2364,197
Y,1953,12,2700,225
Y,1954,12,2867,238.91666666666666
Y,1955,12,3408,284
Y,1956,12,3939,328.25
Y,1957,12,4421,368.41666666666669
Y,1958,12,4572,381
Y,1959,12,5140,428.33333333333331
Y,1960,12,5714,476.16666666666669
