month,value,mean12,std12,min12,max12,cumsum,rank
1949-01,112,,,,,112,2
1949-02,118,,,,,230,5.5
1949-03,132,,,,,362,12
1949-04,129,,,,,491,11
1949-05,121,,,,,612,8
1949-06,135,,,,,747,14.5
1949-07,148,,,,,895,21.5
1949-08,148,,,,,1043,21.5
1949-09,136,,,,,1179,16
1949-10,119,,,,,1298,7
1949-11,104,,,,,1402,1
1949-12,118,126.66666666666667,13.720146655281212,104,148,1520,5.5
1950-01,115,126.91666666666667,13.453342493314597,104,148,1635,4
1950-02,126,127.58333333333333,13.166474873938757,104,148,1761,10
1950-03,141,128.33333333333334,13.686976778431875,104,148,1902,18
1950-04,135,128.83333333333334,13.822467437494872,104,148,2037,14.5
1950-05,125,129.16666666666666,13.663709953631543,104,148,2162,9
1950-06,149,130.33333333333334,14.760717729121028,104,149,2311,23
1950-07,170,132.16666666666666,18.135015519121783,104,170,2481,29.5
1950-08,170,134,20.797727148548098,104,170,2651,29.5
1950-09,158,135.83333333333334,21.928948626844559,104,170,2809,25
1950-10,133,137,21.315807194747197,104,170,2942,13
1950-11,114,137.83333333333334,20.067310973246261,114,170,3056,3
1950-12,140,139.66666666666666,19.070840823020095,114,170,3196,17
1951-01,145,142.16666666666666,17.439940227865321,114,170,3341,19
1951-02,150,144.16666666666666,16.781122149786665,114,170,3491,24
1951-03,178,147.25,19.349066221302866,114,178,3669,34.5
1951-04,163,149.58333333333334,19.425654702121641,114,178,3832,27
1951-05,172,153.5,18.74469621956132,114,178,4004,32.5
1951-06,178,155.91666666666666,19.942910945238083,114,178,4182,34.5
1951-07,199,158.33333333333334,23.28219504386573,114,199,4381,47.5
1951-08,199,160.75,25.95494347728561,114,199,4580,47.5
1951-09,184,162.91666666666666,26.776714216692536,114,199,4764,40
1951-10,162,165.33333333333334,25.086516962969039,114,199,4926,26
1951-11,146,168,20.396078054371138,140,199,5072,20
1951-12,166,170.16666666666666,18.438267189996377,145,199,5238,28
1952-01,171,172.33333333333334,16.653327995729061,146,199,5409,31
1952-02,180,174.83333333333334,15.182725431066435,146,199,5589,36.5
1952-03,193,176.08333333333334,16.059312412164946,146,199,5782,43
1952-04,181,177.58333333333334,15.559027390339452,146,199,5963,38
1952-05,183,178.5,15.524174696260024,146,199,6146,39
1952-06,218,181.83333333333334,19.253492402599839,146,218,6364,54
1952-07,230,184.41666666666666,23.399527319753251,146,230,6594,59
1952-08,242,188,28.559348095437397,146,242,6836,67.5
1952-09,209,190.08333333333334,29.146833083336492,146,242,7045,52
1952-10,191,192.5,27.776707050070829,146,242,7236,42
1952-11,172,194.66666666666666,24.658884931411762,166,242,7408,32.5
1952-12,194,197,22.966378588156765,171,242,7602,44
1953-01,196,199.08333333333334,21.4792006510033,172,242,7798,45.5
1953-02,196,200.41666666666666,20.668193980709646,172,242,7994,45.5
1953-03,236,204,22.875155240407164,172,242,8230,64
1953-04,235,208.5,23.24767828094981,172,242,8465,62.5
1953-05,229,212.33333333333334,22.439143288351083,172,242,8694,57
1953-06,243,214.41666666666666,24.111326396655588,172,243,8937,69
1953-07,264,217.25,27.821263940962986,172,264,9201,71.5
1953-08,272,219.75,31.369136540120564,172,272,9473,77
1953-09,237,222.08333333333334,31.537735934571902,172,272,9710,65.5
1953-10,211,223.75,30.247839892822398,172,272,9921,53
1953-11,180,224.41666666666666,29.068753400213506,180,272,10101,36.5
1953-12,201,225,28.466886664397222,180,272,10302,49
1954-01,204,225.66666666666666,27.812140361992125,180,272,10506,51
1954-02,188,225,28.670542373662901,180,272,10694,41
1954-03,235,224.91666666666666,28.637097152702708,180,272,10929,62.5
1954-04,227,224.25,28.473672049807696,180,272,11156,55
1954-05,234,224.66666666666666,28.585862155119884,180,272,11390,61
1954-06,264,226.41666666666666,30.395748307148406,180,272,11654,71.5
1954-07,302,229.58333333333334,36.109576501968498,180,302,11956,84
1954-08,293,231.33333333333334,38.763462959416572,180,302,12249,82
1954-09,259,233.16666666666666,39.567740150355576,180,302,12508,70
1954-10,229,234.66666666666666,38.987954627815576,180,302,12737,57
1954-11,203,236.58333333333334,36.545011681320872,188,302,12940,50
1954-12,229,238.91666666666666,34.924485636437034,188,302,13169,57
1955-01,242,242.08333333333334,33.148312265643426,188,302,13411,67.5
1955-02,233,245.83333333333334,28.723868229411689,203,302,13644,60
1955-03,267,248.5,29.109511097983702,203,302,13911,73
1955-04,269,252,28.812875909596706,203,302,14180,74
1955-05,270,255,28.641990789113041,203,302,14450,75
1955-06,315,259.25,33.474888824582848,203,315,14765,91.5
1955-07,364,264.41666666666669,43.849864379044618,203,364,15129,112
1955-08,347,268.91666666666669,49.461570635160484,203,364,15476,100.5
1955-09,312,273.33333333333331,50.842597268134298,203,364,15788,89
1955-10,274,277.08333333333331,48.897775248393707,203,364,16062,78
1955-11,237,279.91666666666669,45.048374672190569,229,364,16299,65.5
1955-12,278,284,42.140457778934746,233,364,16577,80
1956-01,284,287.5,40.026127830342382,233,364,16861,81
1956-02,277,291.16666666666669,36.433833759628456,237,364,17138,79
1956-03,317,295.33333333333331,36.277549614887249,237,364,17455,93
1956-04,313,299,35.5911122715668,237,364,17768,90
1956-05,318,303,34.722274747435023,237,364,18086,94.5
1956-06,374,307.91666666666669,40.304428661090945,237,374,18460,113
1956-07,413,312,48.209768908197624,237,413,18873,123
1956-08,405,316.83333333333331,54.530780854541774,237,413,19278,119.5
1956-09,355,320.41666666666669,55.586882581698312,237,413,19633,104.5
1956-10,306,323.08333333333331,53.89966829605023,237,413,19939,86.5
1956-11,271,325.91666666666669,49.692615755321846,271,413,20210,76
1956-12,306,328.25,47.861780159120698,271,413,20516,86.5
1957-01,315,330.83333333333331,46.058921420548302,271,413,20831,91.5
1957-02,301,332.83333333333331,43.983123485209092,271,413,21132,83
1957-03,356,336.08333333333331,44.147394308638695,271,413,21488,106
1957-04,348,339,43.636931814482764,271,413,21836,102.5
1957-05,355,342.08333333333331,43.324270614084483,271,413,22191,104.5
1957-06,422,346.08333333333331,48.451397077771439,271,422,22613,127
1957-07,465,350.41666666666669,56.617469731416634,271,465,23078,133
