feature_i,feature_j,pearson
0,0,1
0,1,-0.911898
0,2,-0.10378
0,3,0.0436321
0,4,0.0822179
0,5,0.109614
0,6,0.0674156
0,7,0.0227445
1,0,-0.911898
1,1,1
1,2,-0.00310069
1,3,-0.0577068
1,4,-0.113232
1,5,-0.136451
1,6,-0.108376
1,7,-0.123083
2,0,-0.10378
2,1,-0.00310069
2,2,1
2,3,-0.364539
2,4,-0.343703
2,5,-0.329788
2,6,-0.330547
2,7,-0.112157
3,0,0.0436321
3,1,-0.0577068
3,2,-0.364539
3,3,1
3,4,0.931948
3,5,0.884086
3,6,0.931479
3,7,0.251045
4,0,0.0822179
4,1,-0.113232
4,2,-0.343703
4,3,0.931948
4,4,1
4,5,0.901361
4,6,0.985157
4,7,0.0679961
5,0,0.109614
5,1,-0.136451
5,2,-0.329788
5,3,0.884086
5,4,0.901361
5,5,1
5,6,0.926887
5,7,0.0705902
6,0,0.0674156
6,1,-0.108376
6,2,-0.330547
6,3,0.931479
6,4,0.985157
6,5,0.926887
6,6,1
6,7,0.0830266
7,0,0.0227445
7,1,-0.123083
7,2,-0.112157
7,3,0.251045
7,4,0.0679961
7,5,0.0705902
7,6,0.0830266
7,7,1
