feature_i,feature_j,pearson
0,0,1
0,1,-0.925116
0,2,-0.105737
0,3,0.04471
0,4,0.0693443
0,5,0.0969659
0,6,0.0551245
0,7,-0.0127418
1,0,-0.925116
1,1,1
1,2,0.0103511
1,3,-0.0357521
1,4,-0.0659343
1,5,-0.104116
1,6,-0.0686827
1,7,-0.0809536
2,0,-0.105737
2,1,0.0103511
2,2,1
2,3,-0.363603
2,4,-0.322565
2,5,-0.296897
2,6,-0.30563
2,7,-0.121703
3,0,0.04471
3,1,-0.0357521
3,2,-0.363603
3,3,1
3,4,0.930594
3,5,0.856661
3,6,0.919845
3,7,0.195449
4,0,0.0693443
4,1,-0.0659343
4,2,-0.322565
4,3,0.930594
4,4,1
4,5,0.877833
4,6,0.980758
4,7,-0.0102253
5,0,0.0969659
5,1,-0.104116
5,2,-0.296897
5,3,0.856661
5,4,0.877833
5,5,1
5,6,0.906266
5,7,0.00159643
6,0,0.0551245
6,1,-0.0686827
6,2,-0.30563
6,3,0.919845
6,4,0.980758
6,5,0.906266
6,6,1
6,7,0.00930631
7,0,-0.0127418
7,1,-0.0809536
7,2,-0.121703
7,3,0.195449
7,4,-0.0102253
7,5,0.00159643
7,6,0.00930631
7,7,1
