row_id,partition,fold
16029,train,-1
14042,train,-1
13215,train,-1
5671,train,-1
11735,train,-1
1214,train,-1
18500,train,-1
7849,train,-1
14703,train,-1
14337,train,-1
6517,train,-1
17287,train,-1
17613,train,-1
6293,train,-1
8274,train,-1
10632,train,-1
10702,train,-1
6516,train,-1
18199,train,-1
14202,train,-1
7168,train,-1
124,train,-1
16631,train,-1
3811,train,-1
11771,train,-1
62,train,-1
11860,train,-1
8237,train,-1
11867,train,-1
12410,train,-1
11238,train,-1
1945,train,-1
20358,train,-1
3645,train,-1
15299,train,-1
15224,train,-1
3070,train,-1
2133,train,-1
10192,train,-1
11850,train,-1
358,train,-1
2894,train,-1
16819,train,-1
19518,train,-1
6577,train,-1
5810,train,-1
8847,train,-1
11095,train,-1
1508,train,-1
8201,train,-1
13531,train,-1
8733,train,-1
10004,train,-1
17788,train,-1
486,train,-1
9437,train,-1
4913,train,-1
15648,train,-1
4210,train,-1
1268,train,-1
10011,train,-1
17487,train,-1
1292,train,-1
14858,train,-1
7113,train,-1
18293,train,-1
2205,train,-1
13473,train,-1
18567,train,-1
18988,train,-1
18631,train,-1
3740,train,-1
546,train,-1
6824,train,-1
2472,train,-1
3218,train,-1
8062,train,-1
6755,train,-1
12096,train,-1
16380,train,-1
6848,train,-1
5352,train,-1
12586,train,-1
1737,train,-1
14933,train,-1
1672,train,-1
12527,train,-1
19489,train,-1
15551,train,-1
13200,train,-1
3758,train,-1
12665,train,-1
14402,train,-1
1839,train,-1
10261,train,-1
2389,train,-1
16758,train,-1
15313,train,-1
16659,train,-1
14157,train,-1
7303,train,-1
3723,train,-1
13743,train,-1
18493,train,-1
10724,train,-1
5640,train,-1
6031,train,-1
4945,train,-1
2018,train,-1
13184,train,-1
5567,train,-1
17951,train,-1
7171,train,-1
7755,train,-1
16872,train,-1
10390,train,-1
11943,train,-1
15307,train,-1
9383,train,-1
6061,train,-1
1412,train,-1
5698,train,-1
13125,train,-1
10765,train,-1
1968,train,-1
13600,train,-1
1356,train,-1
3197,train,-1
341,train,-1
17941,train,-1
2350,train,-1
20600,train,-1
10631,train,-1
8032,train,-1
12806,train,-1
9535,train,-1
3875,train,-1
195,train,-1
10784,train,-1
596,train,-1
4500,train,-1
5399,train,-1
8077,train,-1
15722,train,-1
17317,train,-1
5002,train,-1
1316,train,-1
17212,train,-1
3524,train,-1
19769,train,-1
92,train,-1
5700,train,-1
16438,train,-1
18850,train,-1
17911,train,-1
19285,train,-1
5893,train,-1
7779,train,-1
860,train,-1
8665,train,-1
9578,train,-1
6704,train,-1
11692,train,-1
2058,train,-1
17705,train,-1
8931,train,-1
17472,train,-1
12620,train,-1
12604,train,-1
4359,train,-1
13084,train,-1
7608,train,-1
9159,train,-1
4641,train,-1
6820,train,-1
18040,train,-1
12270,train,-1
12507,train,-1
10093,train,-1
5088,train,-1
17442,train,-1
9175,train,-1
20204,train,-1
16333,train,-1
12853,train,-1
16143,train,-1
7887,train,-1
6962,train,-1
8313,train,-1
4450,train,-1
665,train,-1
12772,train,-1
10463,train,-1
15010,train,-1
918,train,-1
10042,train,-1
9989,train,-1
3435,train,-1
14468,train,-1
214,train,-1
2177,train,-1
911,train,-1
3528,train,-1
6271,train,-1
5509,train,-1
10280,train,-1
17958,train,-1
2354,train,-1
6065,train,-1
18829,train,-1
14022,train,-1
18770,train,-1
11852,train,-1
7932,train,-1
4148,train,-1
7602,train,-1
10826,train,-1
14652,train,-1
4800,train,-1
11811,train,-1
16140,train,-1
4685,train,-1
585,train,-1
7861,train,-1
13025,train,-1
13855,train,-1
13695,train,-1
17098,train,-1
20574,train,-1
10502,train,-1
574,train,-1
16226,train,-1
3836,train,-1
2110,train,-1
4807,train,-1
14671,train,-1
10849,train,-1
18417,train,-1
20597,train,-1
2700,train,-1
