l1_ratio,alpha,intercept,w1,w2,w3
0,0.01,0.01276247021,1.8931215,1.079473793,-0.08645791208
0,0.03,0.01921543605,1.755550413,1.179490224,-0.08231544558
0,0.1,0.03672122295,1.544074868,1.27375272,-0.08051309546
0,0.3,0.07539637937,1.312682926,1.224494202,-0.08673553696
0,1,0.1634898797,0.9477359506,0.9385937116,-0.09011109288
0,3,0.2714446322,0.5422787842,0.5480438631,-0.06702587982
0.5,0.01,0.0117511339,1.936504226,1.040708479,-0.08409280122
0.5,0.03,0.01708435466,1.832326631,1.114544387,-0.07266145987
0.5,0.1,0.03292710831,1.623340416,1.224478452,-0.041315997
0.5,0.3,0.06999626102,1.364702221,1.226042018,-0
0.5,1,0.167942305,0.9381456296,0.9314048546,-0
0.5,3,0.3294626218,0.3249987113,0.3476739747,-0
1,0.01,0.01057986682,1.989678027,0.9924804004,-0.08218882899
1,0.03,0.01411896185,1.959741997,1.000742871,-0.0652309226
1,0.1,0.02650579444,1.854965892,1.029661516,-0.005878250234
1,0.3,0.05905615813,1.649950306,1.001409158,-0
1,1,0.1726254268,0.9442529744,0.8885909039,-0
1,3,0.4200278785,0,0,-0
