feature_i,feature_j,pearson
0,0,1
0,1,0.171036
0,2,0.219177
0,3,0.342111
0,4,0.263509
0,5,0.219784
0,6,-0.0791182
0,7,0.212087
0,8,0.278179
0,9,0.337744
1,0,0.171036
1,1,1
1,2,0.123529
1,3,0.240615
1,4,0.0316513
1,5,0.131818
1,6,-0.380126
1,7,0.345797
1,8,0.142688
1,9,0.218783
2,0,0.219177
2,1,0.123529
2,2,1
2,3,0.439944
2,4,0.235398
2,5,0.244508
2,6,-0.369612
2,7,0.407933
2,8,0.438894
2,9,0.386968
3,0,0.342111
3,1,0.240615
3,2,0.439944
3,3,1
3,4,0.2402
3,5,0.1909
3,6,-0.218073
3,7,0.289102
3,8,0.41103
3,9,0.415955
4,0,0.263509
4,1,0.0316513
4,2,0.235398
4,3,0.2402
4,4,1
4,5,0.90063
4,6,0.0691251
4,7,0.546263
4,8,0.502545
4,9,0.307169
5,0,0.219784
5,1,0.131818
5,2,0.244508
5,3,0.1909
5,4,0.90063
5,5,1
5,6,-0.158803
5,7,0.64994
5,8,0.297465
5,9,0.260997
6,0,-0.0791182
6,1,-0.380126
6,2,-0.369612
6,3,-0.218073
6,4,0.0691251
6,5,-0.158803
6,6,1
6,7,-0.724165
6,8,-0.395414
6,9,-0.260156
7,0,0.212087
7,1,0.345797
7,2,0.407933
7,3,0.289102
7,4,0.546263
7,5,0.64994
7,6,-0.724165
7,7,1
7,8,0.609588
7,9,0.397679
8,0,0.278179
8,1,0.142688
8,2,0.438894
8,3,0.41103
8,4,0.502545
8,5,0.297465
8,6,-0.395414
8,7,0.609588
8,8,1
8,9,0.456997
9,0,0.337744
9,1,0.218783
9,2,0.386968
9,3,0.415955
9,4,0.307169
9,5,0.260997
9,6,-0.260156
9,7,0.397679
9,8,0.456997
9,9,1
