feature_i,feature_j,pearson
0,0,1
0,1,0.138426
0,2,0.197248
0,3,0.308922
0,4,0.240316
0,5,0.202397
0,6,-0.0597576
0,7,0.200572
0,8,0.251408
0,9,0.295097
1,0,0.138426
1,1,1
1,2,0.113902
1,3,0.205175
1,4,0.0188009
1,5,0.139818
1,6,-0.341178
1,7,0.294885
1,8,0.078915
1,9,0.217336
2,0,0.197248
2,1,0.113902
2,2,1
2,3,0.412623
2,4,0.234089
2,5,0.263746
2,6,-0.376299
2,7,0.425212
2,8,0.430402
2,9,0.386443
3,0,0.308922
3,1,0.205175
3,2,0.412623
3,3,1
3,4,0.22129
3,5,0.165193
3,6,-0.173688
3,7,0.265465
3,8,0.403688
3,9,0.405377
4,0,0.240316
4,1,0.0188009
4,2,0.234089
4,3,0.22129
4,4,1
4,5,0.897044
4,6,0.082003
4,7,0.545155
4,8,0.524703
4,9,0.314596
5,0,0.202397
5,1,0.139818
5,2,0.263746
5,3,0.165193
5,4,0.897044
5,5,1
5,6,-0.181248
5,7,0.676144
5,8,0.323655
5,9,0.294167
6,0,-0.0597576
6,1,-0.341178
6,2,-0.376299
6,3,-0.173688
6,4,0.082003
6,5,-0.181248
6,6,1
6,7,-0.718681
6,8,-0.340156
6,9,-0.267726
7,0,0.200572
7,1,0.294885
7,2,0.425212
7,3,0.265465
7,4,0.545155
7,5,0.676144
7,6,-0.718681
7,7,1
7,8,0.586319
7,9,0.428794
8,0,0.251408
8,1,0.078915
8,2,0.430402
8,3,0.403688
8,4,0.524703
8,5,0.323655
8,6,-0.340156
8,7,0.586319
8,8,1
8,9,0.445919
9,0,0.295097
9,1,0.217336
9,2,0.386443
9,3,0.405377
9,4,0.314596
9,5,0.294167
9,6,-0.267726
9,7,0.428794
9,8,0.445919
9,9,1
