row_id,partition,fold
89,train,-1
414,train,-1
326,train,-1
170,train,-1
376,train,-1
356,train,-1
93,train,-1
264,train,-1
408,train,-1
307,train,-1
232,train,-1
286,train,-1
135,train,-1
114,train,-1
69,train,-1
111,train,-1
258,train,-1
128,train,-1
321,train,-1
431,train,-1
309,train,-1
124,train,-1
94,train,-1
385,train,-1
366,train,-1
62,train,-1
88,train,-1
373,train,-1
291,train,-1
202,train,-1
13,train,-1
72,train,-1
59,train,-1
275,train,-1
351,train,-1
422,train,-1
279,train,-1
154,train,-1
361,train,-1
417,train,-1
358,train,-1
166,train,-1
439,train,-1
360,train,-1
337,train,-1
81,train,-1
354,train,-1
215,train,-1
255,train,-1
398,train,-1
268,train,-1
257,train,-1
330,train,-1
3,train,-1
394,train,-1
189,train,-1
108,train,-1
184,train,-1
58,train,-1
427,train,-1
31,train,-1
52,train,-1
347,train,-1
277,train,-1
178,train,-1
253,train,-1
244,train,-1
35,train,-1
424,train,-1
344,train,-1
54,train,-1
174,train,-1
262,train,-1
230,train,-1
372,train,-1
247,train,-1
425,train,-1
46,train,-1
182,train,-1
363,train,-1
15,train,-1
51,train,-1
386,train,-1
412,train,-1
123,train,-1
49,train,-1
168,train,-1
150,train,-1
249,train,-1
163,train,-1
36,train,-1
415,train,-1
392,train,-1
206,train,-1
76,train,-1
429,train,-1
273,train,-1
378,train,-1
380,train,-1
406,train,-1
68,train,-1
53,train,-1
320,train,-1
133,train,-1
152,train,-1
331,train,-1
287,train,-1
140,train,-1
158,train,-1
340,train,-1
194,train,-1
227,train,-1
67,train,-1
391,train,-1
29,train,-1
288,train,-1
109,train,-1
353,train,-1
245,train,-1
73,train,-1
426,train,-1
315,train,-1
393,train,-1
375,train,-1
57,train,-1
119,train,-1
136,train,-1
25,train,-1
341,train,-1
338,train,-1
74,train,-1
99,train,-1
63,train,-1
246,train,-1
38,train,-1
374,train,-1
102,train,-1
195,train,-1
323,train,-1
388,train,-1
12,train,-1
260,train,-1
335,train,-1
349,train,-1
350,train,-1
198,train,-1
243,train,-1
339,train,-1
251,train,-1
236,train,-1
92,train,-1
432,train,-1
281,train,-1
84,train,-1
97,train,-1
142,train,-1
387,train,-1
172,train,-1
91,train,-1
118,train,-1
32,train,-1
11,train,-1
221,train,-1
173,train,-1
381,train,-1
110,train,-1
181,train,-1
6,train,-1
261,train,-1
106,train,-1
367,train,-1
210,train,-1
143,train,-1
40,train,-1
146,train,-1
413,train,-1
164,train,-1
7,train,-1
219,train,-1
384,train,-1
120,train,-1
329,train,-1
115,train,-1
22,train,-1
132,train,-1
205,train,-1
325,train,-1
175,train,-1
18,train,-1
263,train,-1
298,train,-1
359,train,-1
397,train,-1
241,train,-1
295,train,-1
169,train,-1
411,train,-1
77,train,-1
240,train,-1
214,train,-1
220,train,-1
238,train,-1
324,train,-1
87,train,-1
265,train,-1
314,train,-1
235,train,-1
299,train,-1
266,train,-1
296,train,-1
389,train,-1
383,train,-1
125,train,-1
283,train,-1
17,train,-1
129,train,-1
148,train,-1
437,train,-1
278,train,-1
4,train,-1
430,train,-1
280,train,-1
103,train,-1
308,train,-1
64,train,-1
409,train,-1
216,train,-1
201,train,-1
144,train,-1
176,train,-1
355,train,-1
348,train,-1
95,train,-1
180,train,-1
435,train,-1
21,train,-1
199,train,-1
145,train,-1
171,train,-1
405,train,-1
248,train,-1
217,train,-1
343,train,-1
333,train,-1
312,train,-1
192,train,-1
127,train,-1
345,train,-1
304,train,-1
252,train,-1
117,train,-1
441,train,-1
316,train,-1
272,train,-1
440,train,-1
139,train,-1
410,train,-1
250,train,-1
289,train,-1
126,train,-1
78,train,-1
165,train,-1
231,train,-1
75,train,-1
23,train,-1
433,train,-1
211,train,-1
33,train,-1
226,train,-1
98,train,-1
228,train,-1
8,train,-1
207,train,-1
276,train,-1
86,train,-1
197,train,-1
50,train,-1
159,train,-1
105,train,-1
297,train,-1
107,train,-1
70,train,-1
179,train,-1
269,train,-1
328,train,-1
242,train,-1
185,train,-1
112,train,-1
130,train,-1
177,train,-1
274,train,-1
327,train,-1
83,train,-1
47,train,-1
418,train,-1
203,train,-1
311,train,-1
208,train,-1
233,train,-1
420,train,-1
290,train,-1
209,train,-1
45,train,-1
213,train,-1
332,train,-1
438,train,-1
71,train,-1
224,train,-1
187,train,-1
357,train,-1
301,train,-1
237,train,-1
48,train,-1
362,train,-1
234,train,-1
318,train,-1
319,train,-1
56,train,-1
267,train,-1
196,train,-1
419,test,-1
390,test,-1
5,test,-1
