x,true,mean,std,lower,upper
-4,0.7568024953,0.3162880341,0.6794450294,-1.042602025,1.675178093
-3.95,0.7231881241,0.3166084617,0.6512298857,-0.9858513096,1.619068233
-3.9,0.6877661592,0.3149092476,0.622022043,-0.9291348384,1.558953334
-3.85,0.6506251371,0.3110428538,0.5919534689,-0.872864084,1.494949792
-3.8,0.6118578909,0.3048721244,0.5611725288,-0.8174729331,1.427217182
-3.75,0.5715613187,0.296272557,0.5298429482,-0.7634133395,1.355958453
-3.7,0.5298361409,0.2851345365,0.4981425637,-0.7111505909,1.281419664
-3.65,0.4867866487,0.2713654962,0.4662619082,-0.6611583203,1.203889313
-3.6,0.4425204433,0.2548919651,0.4344026928,-0.6139134205,1.123697351
-3.55,0.3971481673,0.2356614656,0.4027762576,-0.5698910496,1.041213981
-3.5,0.3507832277,0.2136442225,0.3716020799,-0.5295599373,0.9568483824
-3.45,0.3035415127,0.1888346481,0.341106431,-0.4933782138,0.8710475101
-3.4,0.255541102,0.1612525696,0.3115212704,-0.4617899711,0.7842951103
-3.35,0.2069019717,0.130944168,0.283083429,-0.43522269,0.6971110261
-3.3,0.1577456941,0.09798260176,0.2560340391,-0.4140854764,0.61005068
-3.25,0.1081951345,0.0624682921,0.230617955,-0.398767618,0.5237042022
-3.2,0.05837414343,0.02452885333,0.2070824934,-0.3896361335,0.4386938401
-3.15,0.008407247367,-0.0156813448,0.185674081,-0.3870295069,0.3556668173
-3.1,-0.04158066243,-0.05798198831,0.1666303081,-0.3912426044,0.2752786278
-3.05,-0.09146464223,-0.1021680037,0.1501637498,-0.4024955033,0.198159496
-3,-0.1411200081,-0.1480111094,0.1364339613,-0.4208790321,0.1248568133
-2.95,-0.1904226474,-0.1952617212,0.125507642,-0.4462770052,0.05575356291
-2.9,-0.2392493292,-0.243651191,0.1173159982,-0.4782831875,-0.009019194571
-2.85,-0.2874780123,-0.2928943538,0.1116292084,-0.5161527706,-0.06963593702
-2.8,-0.3349881502,-0.3426923491,0.1080689278,-0.5588302047,-0.1265544935
-2.75,-0.3816609921,-0.3927356805,0.1061623367,-0.605060354,-0.180411007
-2.7,-0.4273798802,-0.4427074689,0.1054168038,-0.6535410766,-0.2318738612
-2.65,-0.4720305413,-0.4922868521,0.1053855194,-0.7030578909,-0.2815158134
-2.6,-0.5155013718,-0.5411524799,0.1057065053,-0.7525654905,-0.3297394693
-2.55,-0.5576837174,-0.5889860492,0.1061147072,-0.8012154637,-0.3767566347
-2.5,-0.5984721441,-0.6354758243,0.1064360857,-0.8483479956,-0.4226036529
-2.45,-0.6377647021,-0.6803200845,0.1065731087,-0.8934663018,-0.4671738672
-2.4,-0.6754631806,-0.7232304423,0.1064878823,-0.936206207,-0.5102546777
-2.35,-0.7114733528,-0.7639349767,0.1061860227,-0.976307022,-0.5515629314
-2.3,-0.7457052122,-0.8021811285,0.1057024175,-1.013585964,-0.5907762934
-2.25,-0.7780731969,-0.8377383078,0.1050891058,-1.047916519,-0.6275600962
-2.2,-0.8084964038,-0.8704001696,0.1044051974,-1.079210564,-0.6615897748
-2.15,-0.8368987908,-0.8999865169,0.1037087442,-1.107404005,-0.6925690285
-2.1,-0.8632093666,-0.9263448003,0.1030505431,-1.132445887,-0.720243714
-2.05,-0.8873623686,-0.949351187,0.1024699048,-1.154290996,-0.7444113775
-2,-0.9092974268,-0.9689111844,0.1019923947,-1.172895974,-0.7649263951
-1.95,-0.928959715,-0.9849598082,0.1016294507,-1.18821871,-0.7817009068
-1.9,-0.9463000877,-0.9974612962,0.1013796247,-1.200220545,-0.7947020468
-1.85,-0.961275203,-1.006408378,0.1012310458,-1.208870469,-0.8039462861
-1.8,-0.9738476309,-1.011821118,0.1011646075,-1.214150333,-0.8094919031
