feature_i,feature_j,pearson
0,0,1
0,1,0.218349
0,2,0.159193
0,3,0.37232
0,4,0.226667
0,5,0.1918
0,6,-0.0937536
0,7,0.229507
0,8,0.259008
0,9,0.31239
1,0,0.218349
1,1,1
1,2,0.0556229
1,3,0.209104
1,4,0.0297575
1,5,0.151818
1,6,-0.364303
1,7,0.321299
1,8,0.0834649
1,9,0.25042
2,0,0.159193
2,1,0.0556229
2,2,1
2,3,0.418487
2,4,0.252227
2,5,0.2653
2,6,-0.333
2,7,0.386517
2,8,0.386405
2,9,0.402418
3,0,0.37232
3,1,0.209104
3,2,0.418487
3,3,1
3,4,0.237258
3,5,0.169585
3,6,-0.161727
3,7,0.261631
3,8,0.399882
3,9,0.397435
4,0,0.226667
4,1,0.0297575
4,2,0.252227
4,3,0.237258
4,4,1
4,5,0.899761
4,6,0.0581475
4,7,0.561556
4,8,0.519813
4,9,0.305425
5,0,0.1918
5,1,0.151818
5,2,0.2653
5,3,0.169585
5,4,0.899761
5,5,1
5,6,-0.180464
5,7,0.682346
5,8,0.299689
5,9,0.261307
6,0,-0.0937536
6,1,-0.364303
6,2,-0.333
6,3,-0.161727
6,4,0.0581475
6,5,-0.180464
6,6,1
6,7,-0.724398
6,8,-0.338226
6,9,-0.250957
7,0,0.229507
7,1,0.321299
7,2,0.386517
7,3,0.261631
7,4,0.561556
7,5,0.682346
7,6,-0.724398
7,7,1
7,8,0.561348
7,9,0.378698
8,0,0.259008
8,1,0.0834649
8,2,0.386405
8,3,0.399882
8,4,0.519813
8,5,0.299689
8,6,-0.338226
8,7,0.561348
8,8,1
8,9,0.46521
9,0,0.31239
9,1,0.25042
9,2,0.402418
9,3,0.397435
9,4,0.305425
9,5,0.261307
9,6,-0.250957
9,7,0.378698
9,8,0.46521
9,9,1
