class,count,feature,mean
0,285,0,12.1689
0,285,1,18.1684
0,285,2,78.2413
0,285,3,463.779
0,285,4,0.0930538
0,285,5,0.0811234
0,285,6,0.0469634
0,285,7,0.0264167
0,285,8,0.174629
0,285,9,0.0628472
0,285,10,0.286066
0,285,11,1.25313
0,285,12,2.00748
0,285,13,21.3087
0,285,14,0.00725099
0,285,15,0.0218438
0,285,16,0.0265638
0,285,17,0.0100946
0,285,18,0.0205512
0,285,19,0.00366156
0,285,20,13.4209
0,285,21,23.914
0,285,22,87.3151
0,285,23,561.333
0,285,24,0.12603
0,285,25,0.186276
0,285,26,0.169965
0,285,27,0.0762168
0,285,28,0.270721
0,285,29,0.0795963
1,169,0,17.5586
1,169,1,21.6994
1,169,2,116.048
1,169,3,986.583
1,169,4,0.10321
1,169,5,0.147195
1,169,6,0.165247
1,169,7,0.0895021
1,169,8,0.193642
1,169,9,0.0627813
1,169,10,0.609133
1,169,11,1.21589
1,169,12,4.31953
1,169,13,71.4614
1,169,14,0.00694712
1,169,15,0.0332865
1,169,16,0.043268
1,169,17,0.0152367
1,169,18,0.0208528
1,169,19,0.00414498
1,169,20,21.1943
1,169,21,29.3906
1,169,22,141.794
1,169,23,1421.68
1,169,24,0.145441
1,169,25,0.379951
1,169,26,0.45887
1,169,27,0.183528
1,169,28,0.325443
1,169,29,0.0918684
