threshold,precision,recall
0,0.373913,1
0.01,0.688525,0.976744
0.02,0.724138,0.976744
0.03,0.724138,0.976744
0.04,0.75,0.976744
0.05,0.792453,0.976744
0.06,0.792453,0.976744
0.07,0.792453,0.976744
0.08,0.823529,0.976744
0.09,0.84,0.976744
0.1,0.836735,0.953488
0.11,0.87234,0.953488
0.12,0.87234,0.953488
0.13,0.891304,0.953488
0.14,0.911111,0.953488
0.15,0.911111,0.953488
0.16,0.911111,0.953488
0.17,0.911111,0.953488
0.18,0.911111,0.953488
0.19,0.911111,0.953488
0.2,0.911111,0.953488
0.21,0.911111,0.953488
0.22,0.911111,0.953488
0.23,0.911111,0.953488
0.24,0.911111,0.953488
0.25,0.931818,0.953488
0.26,0.931818,0.953488
0.27,0.953488,0.953488
0.28,0.97619,0.953488
0.29,0.97619,0.953488
0.3,0.97619,0.953488
0.31,0.97619,0.953488
0.32,0.97619,0.953488
0.33,0.97619,0.953488
0.34,0.97619,0.953488
0.35,0.97619,0.953488
0.36,0.97619,0.953488
0.37,0.97619,0.953488
0.38,0.97619,0.953488
0.39,0.97619,0.953488
0.4,0.97619,0.953488
0.41,1,0.930233
0.42,1,0.930233
0.43,1,0.930233
0.44,1,0.930233
0.45,1,0.930233
0.46,1,0.930233
0.47,1,0.930233
0.48,1,0.906977
0.49,1,0.906977
0.5,1,0.883721
0.51,1,0.860465
0.52,1,0.837209
0.53,1,0.837209
0.54,1,0.837209
0.55,1,0.837209
0.56,1,0.837209
0.57,1,0.837209
0.58,1,0.837209
0.59,1,0.813953
0.6,1,0.813953
0.61,1,0.813953
0.62,1,0.813953
0.63,1,0.813953
0.64,1,0.813953
0.65,1,0.813953
0.66,1,0.813953
0.67,1,0.790698
0.68,1,0.790698
0.69,1,0.790698
0.7,1,0.790698
0.71,1,0.790698
0.72,1,0.790698
0.73,1,0.790698
0.74,1,0.790698
0.75,1,0.790698
0.76,1,0.790698
0.77,1,0.790698
0.78,1,0.767442
0.79,1,0.767442
0.8,1,0.767442
0.81,1,0.767442
0.82,1,0.767442
0.83,1,0.767442
0.84,1,0.767442
0.85,1,0.767442
0.86,1,0.744186
0.87,1,0.744186
0.88,1,0.744186
0.89,1,0.744186
0.9,1,0.744186
0.91,1,0.72093
0.92,1,0.697674
0.93,1,0.674419
0.94,1,0.651163
0.95,1,0.651163
0.96,1,0.627907
0.97,1,0.581395
0.98,1,0.534884
0.99,1,0.511628
1,0,0
