feature_i,feature_j,pearson
0,0,1
0,1,0.318784
0,2,0.997691
0,3,0.990354
0,4,0.186936
0,5,0.51655
0,6,0.669622
0,7,0.827085
0,8,0.158486
0,9,-0.280211
0,10,0.739178
0,11,-0.0351309
0,12,0.71984
0,13,0.814089
0,14,-0.182177
0,15,0.22352
0,16,0.215544
0,17,0.410655
0,18,-0.0621774
0,19,0.0388255
0,20,0.967109
0,21,0.315009
0,22,0.963851
0,23,0.93605
0,24,0.123503
0,25,0.403824
0,26,0.508861
0,27,0.747318
0,28,0.167152
0,29,0.0306321
1,0,0.318784
1,1,1
1,2,0.323139
1,3,0.330945
1,4,-0.0594463
1,5,0.21015
1,6,0.279308
1,7,0.267637
1,8,0.0469663
1,9,-0.0813082
1,10,0.311979
1,11,0.357648
1,12,0.321247
1,13,0.316232
1,14,0.0264877
1,15,0.227796
1,16,0.177808
1,17,0.182465
1,18,0.0421191
1,19,0.1125
1,20,0.347918
1,21,0.905373
1,22,0.353823
1,23,0.353514
1,24,0.038519
1,25,0.255104
1,26,0.271522
1,27,0.261387
1,28,0.0975552
1,29,0.098254
2,0,0.997691
2,1,0.323139
2,2,1
2,3,0.9885
2,4,0.223994
2,5,0.569484
2,6,0.710923
2,7,0.855987
2,8,0.19454
2,9,-0.227194
2,10,0.753006
2,11,-0.0257001
2,12,0.741295
2,13,0.823016
2,14,-0.162721
2,15,0.269797
2,16,0.252934
2,17,0.44095
2,18,-0.0348658
2,19,0.0814409
2,20,0.966779
2,21,0.317456
2,22,0.968922
2,23,0.93502
2,24,0.15435
2,25,0.447587
2,26,0.547771
2,27,0.774188
2,28,0.19477
2,29,0.0752407
3,0,0.990354
3,1,0.330945
3,2,0.9885
3,3,1
3,4,0.183911
3,5,0.509059
3,6,0.673919
3,7,0.828123
3,8,0.159777
3,9,-0.261436
3,10,0.767278
3,11,-0.00293613
3,12,0.744206
3,13,0.846578
3,14,-0.140141
3,15,0.22794
3,16,0.225769
3,17,0.4028
3,18,-0.0447856
3,19,0.0517095
3,20,0.965394
3,21,0.324208
3,22,0.961747
3,23,0.954251
3,24,0.12915
3,25,0.386952
3,26,0.500275
3,27,0.732736
3,28,0.155107
3,29,0.0292317
4,0,0.186936
4,1,-0.0594463
4,2,0.223994
4,3,0.183911
4,4,1
4,5,0.65939
4,6,0.531494
4,7,0.55354
4,8,0.528599
4,9,0.585313
4,10,0.306755
4,11,0.0331492
4,12,0.292471
4,13,0.267099
4,14,0.277886
4,15,0.306561
4,16,0.257495
4,17,0.334438
4,18,0.219975
4,19,0.299612
4,20,0.225414
4,21,0.0053779
4,22,0.249289
4,23,0.207582
4,24,0.799911
4,25,0.492539
4,26,0.454578
4,27,0.511154
4,28,0.429526
4,29,0.503358
5,0,0.51655
5,1,0.21015
5,2,0.569484
5,3,0.509059
5,4,0.65939
5,5,1
5,6,0.897275
5,7,0.836328
5,8,0.589025
5,9,0.585128
5,10,0.565289
5,11,0.0533582
5,12,0.624764
5,13,0.539344
5,14,0.133262
5,15,0.737525
5,16,0.601597
5,17,0.621725
5,18,0.29707
5,19,0.585769
5,20,0.537939
5,21,0.207238
5,22,0.593873
5,23,0.50424
5,24,0.553197
5,25,0.863887
5,26,0.819637
5,27,0.807419
5,28,0.528285
5,29,0.680586
6,0,0.669622
6,1,0.279308
6,2,0.710923
6,3,0.673919
6,4,0.531494
6,5,0.897275
6,6,1
6,7,0.922485
6,8,0.493877
6,9,0.367752
6,10,0.662007
6,11,0.0883847
6,12,0.691674
6,13,0.663995
6,14,0.122355
6,15,0.686818
6,16,0.703952
6,17,0.654212
6,18,0.219276
6,19,0.516765
6,20,0.678044
6,21,0.279765
6,22,0.720471
6,23,0.654279
6,24,0.45601
6,25,0.769582
6,26,0.893516
6,27,0.861106
6,28,0.438458
6,29,0.533161
7,0,0.827085
7,1,0.267637
7,2,0.855987
7,3,0.828123
7,4,0.55354
7,5,0.836328
7,6,0.922485
7,7,1
7,8,0.462443
7,9,0.188312
7,10,0.765211
7,11,0.0493912
7,12,0.769774
7,13,0.780796
7,14,0.0381292
7,15,0.499029
7,16,0.460735
7,17,0.610984
7,18,0.143439
7,19,0.330984
7,20,0.83236
7,21,0.280511
7,22,0.858366
7,23,0.80448
7,24,0.446925
7,25,0.670662
7,26,0.754563
7,27,0.912348
7,28,0.402388
7,29,0.384019
8,0,0.158486
8,1,0.0469663
8,2,0.19454
8,3,0.159777
8,4,0.528599
8,5,0.589025
8,6,0.493877
8,7,0.462443
8,8,1
8,9,0.455167
8,10,0.326903
8,11,0.177715
8,12,0.353326
8,13,0.27025
8,14,0.138303
8,15,0.405499
8,16,0.315768
8,17,0.360795
8,18,0.497658
8,19,0.339538
8,20,0.177315
8,21,0.0582802
8,22,0.213071
8,23,0.162239
8,24,0.382049
8,25,0.453273
8,26,0.416492
8,27,0.416235
8,28,0.706649
8,29,0.392133
9,0,-0.280211
9,1,-0.0813082
9,2,-0.227194
9,3,-0.261436
9,4,0.585313
9,5,0.585128
9,6,0.367752
9,7,0.188312
9,8,0.455167
9,9,1
9,10,-0.00624893
9,11,0.110831
9,12,0.0558525
9,13,-0.0852964
9,14,0.322726
9,15,0.550945
9,16,0.44211
9,17,0.291475
9,18,0.34656
9,19,0.686683
9,20,-0.228813
9,21,-0.0833442
9,22,-0.179478
9,23,-0.217732
9,24,0.508313
9,25,0.5084
9,26,0.394656
9,27,0.200757
9,28,0.372014
9,29,0.776021
10,0,0.739178
10,1,0.311979
10,2,0.753006
10,3,0.767278
10,4,0.306755
10,5,0.565289
10,6,0.662007
10,7,0.765211
10,8,0.326903
10,9,-0.00624893
10,10,1
10,11,0.242982
10,12,0.965248
10,13,0.966002
10,14,0.115786
10,15,0.396348
10,16,0.335898
10,17,0.537632
10,18,0.221671
10,19,0.266219
10,20,0.792928
