feature_i,feature_j,pearson
0,0,1
0,1,0.298277
0,2,0.997817
0,3,0.98901
0,4,0.167977
0,5,0.48945
0,6,0.66555
0,7,0.819866
0,8,0.123541
0,9,-0.316864
0,10,0.680419
0,11,-0.119196
0,12,0.680458
0,13,0.761001
0,14,-0.196167
0,15,0.187616
0,16,0.170371
0,17,0.34746
0,18,-0.0925091
0,19,-0.0491633
0,20,0.96952
0,21,0.272312
0,22,0.965872
0,23,0.946924
0,24,0.116704
0,25,0.387393
0,26,0.501718
0,27,0.733041
0,28,0.148889
0,29,-0.00322014
1,0,0.298277
1,1,1
1,2,0.302519
1,3,0.295426
1,4,-0.0516011
1,5,0.196062
1,6,0.266011
1,7,0.254969
1,8,0.0509257
1,9,-0.084242
1,10,0.265027
1,11,0.385464
1,12,0.271217
1,13,0.254761
1,14,0.0216405
1,15,0.166612
1,16,0.118822
1,17,0.132057
1,18,0.00538674
1,19,0.0401701
1,20,0.329022
1,21,0.90989
1,22,0.333336
1,23,0.326991
1,24,0.0528587
1,25,0.234277
1,26,0.262153
1,27,0.255816
1,28,0.0688738
1,29,0.0969669
2,0,0.997817
2,1,0.302519
2,2,1
2,3,0.987911
2,4,0.205977
2,5,0.541251
2,6,0.705559
2,7,0.848801
2,8,0.15968
2,9,-0.266972
2,10,0.691856
2,11,-0.111347
2,12,0.698044
2,13,0.768937
2,14,-0.176189
2,15,0.232034
2,16,0.20339
2,17,0.378424
2,18,-0.0699883
2,19,-0.0135506
2,20,0.969168
2,21,0.277262
2,22,0.97096
2,23,0.946949
2,24,0.149216
2,25,0.430684
2,26,0.539826
2,27,0.761558
2,28,0.174711
2,29,0.0405883
3,0,0.98901
3,1,0.295426
3,2,0.987911
3,3,1
3,4,0.175916
3,5,0.484339
3,6,0.676176
3,7,0.822526
3,8,0.126225
3,9,-0.286392
3,10,0.723595
3,11,-0.0865148
3,12,0.72362
3,13,0.811273
3,14,-0.14221
3,15,0.19522
3,16,0.186102
3,17,0.344161
3,18,-0.0583159
3,19,-0.0247246
3,20,0.961408
3,21,0.263574
3,22,0.958248
3,23,0.958977
3,24,0.122952
3,25,0.367955
3,26,0.490699
3,27,0.713462
3,28,0.131911
3,29,-0.00330298
4,0,0.167977
4,1,-0.0516011
4,2,0.205977
4,3,0.175916
4,4,1
4,5,0.673955
4,6,0.538108
4,7,0.562277
4,8,0.554355
4,9,0.589626
4,10,0.301042
4,11,0.0539083
4,12,0.300642
4,13,0.25486
4,14,0.33236
4,15,0.322975
4,16,0.256858
4,17,0.390008
4,18,0.219659
4,19,0.272856
4,20,0.202202
4,21,-0.00196128
4,22,0.228054
4,23,0.198051
4,24,0.785568
4,25,0.46461
4,26,0.431373
4,27,0.499325
4,28,0.382913
4,29,0.46888
5,0,0.48945
5,1,0.196062
5,2,0.541251
5,3,0.484339
5,4,0.673955
5,5,1
5,6,0.878211
5,7,0.823937
5,8,0.601779
5,9,0.574624
5,10,0.488067
5,11,0.00176749
5,12,0.538365
5,13,0.462856
5,14,0.149151
5,15,0.730633
5,16,0.553205
5,17,0.634081
5,18,0.236414
5,19,0.494646
5,20,0.517996
5,21,0.210825
5,22,0.574206
5,23,0.498984
5,24,0.581293
5,25,0.859553
5,26,0.811765
5,27,0.818545
5,28,0.507801
5,29,0.68361
6,0,0.66555
