threshold,precision,recall
0,0.37037,1
0.01,0.789474,1
0.02,0.789474,1
0.03,0.789474,1
0.04,0.789474,1
0.05,0.789474,1
0.06,0.789474,1
0.07,0.789474,1
0.08,0.789474,1
0.09,0.789474,1
0.1,0.789474,1
0.11,0.789474,1
0.12,0.789474,1
0.13,0.789474,1
0.14,0.789474,1
0.15,0.878788,0.966667
0.16,0.878788,0.966667
0.17,0.878788,0.966667
0.18,0.878788,0.966667
0.19,0.878788,0.966667
0.2,0.878788,0.966667
0.21,0.878788,0.966667
0.22,0.878788,0.966667
0.23,0.878788,0.966667
0.24,0.878788,0.966667
0.25,0.878788,0.966667
0.26,0.878788,0.966667
0.27,0.878788,0.966667
0.28,0.878788,0.966667
0.29,0.933333,0.933333
0.3,0.933333,0.933333
0.31,0.933333,0.933333
0.32,0.933333,0.933333
0.33,0.933333,0.933333
0.34,0.933333,0.933333
0.35,0.933333,0.933333
0.36,0.933333,0.933333
0.37,0.933333,0.933333
0.38,0.933333,0.933333
0.39,0.933333,0.933333
0.4,0.933333,0.933333
0.41,0.933333,0.933333
0.42,0.933333,0.933333
0.43,1,0.933333
0.44,1,0.933333
0.45,1,0.933333
0.46,1,0.933333
0.47,1,0.933333
0.48,1,0.933333
0.49,1,0.933333
0.5,1,0.933333
0.51,1,0.933333
0.52,1,0.933333
0.53,1,0.933333
0.54,1,0.933333
0.55,1,0.933333
0.56,1,0.933333
0.57,1,0.933333
0.58,1,0.9
0.59,1,0.9
0.6,1,0.9
0.61,1,0.9
0.62,1,0.9
0.63,1,0.9
0.64,1,0.9
0.65,1,0.9
0.66,1,0.9
0.67,1,0.9
0.68,1,0.9
0.69,1,0.9
0.7,1,0.9
0.71,1,0.9
0.72,1,0.7
0.73,1,0.7
0.74,1,0.7
0.75,1,0.7
0.76,1,0.7
0.77,1,0.7
0.78,1,0.7
0.79,1,0.7
0.8,1,0.7
0.81,1,0.7
0.82,1,0.7
0.83,1,0.7
0.84,1,0.7
0.85,1,0.7
0.86,1,0.633333
0.87,1,0.633333
0.88,1,0.633333
0.89,1,0.633333
0.9,1,0.633333
0.91,1,0.633333
0.92,1,0.633333
0.93,1,0.633333
0.94,1,0.633333
0.95,1,0.633333
0.96,1,0.633333
0.97,1,0.633333
0.98,1,0.633333
0.99,1,0.633333
1,1,0.633333
