row_id,partition,fold
312,train,-1
306,train,-1
513,train,-1
544,train,-1
199,train,-1
9,train,-1
129,train,-1
102,train,-1
393,train,-1
178,train,-1
401,train,-1
112,train,-1
242,train,-1
383,train,-1
116,train,-1
366,train,-1
11,train,-1
358,train,-1
273,train,-1
428,train,-1
120,train,-1
512,train,-1
54,train,-1
256,train,-1
412,train,-1
171,train,-1
30,train,-1
442,train,-1
292,train,-1
151,train,-1
338,train,-1
174,train,-1
191,train,-1
68,train,-1
284,train,-1
397,train,-1
484,train,-1
556,train,-1
458,train,-1
18,train,-1
459,train,-1
350,train,-1
160,train,-1
200,train,-1
508,train,-1
493,train,-1
143,train,-1
285,train,-1
419,train,-1
483,train,-1
126,train,-1
210,train,-1
330,train,-1
304,train,-1
245,train,-1
113,train,-1
175,train,-1
157,train,-1
6,train,-1
445,train,-1
342,train,-1
223,train,-1
40,train,-1
334,train,-1
237,train,-1
399,train,-1
3,train,-1
165,train,-1
211,train,-1
515,train,-1
422,train,-1
469,train,-1
375,train,-1
482,train,-1
539,train,-1
39,train,-1
207,train,-1
452,train,-1
542,train,-1
351,train,-1
379,train,-1
278,train,-1
433,train,-1
163,train,-1
67,train,-1
467,train,-1
119,train,-1
60,train,-1
421,train,-1
362,train,-1
468,train,-1
560,train,-1
329,train,-1
111,train,-1
341,train,-1
313,train,-1
208,train,-1
92,train,-1
525,train,-1
274,train,-1
279,train,-1
543,train,-1
300,train,-1
81,train,-1
335,train,-1
162,train,-1
133,train,-1
434,train,-1
75,train,-1
564,train,-1
61,train,-1
20,train,-1
359,train,-1
563,train,-1
206,train,-1
172,train,-1
565,train,-1
531,train,-1
180,train,-1
222,train,-1
368,train,-1
115,train,-1
122,train,-1
25,train,-1
288,train,-1
418,train,-1
127,train,-1
219,train,-1
270,train,-1
105,train,-1
1,train,-1
450,train,-1
240,train,-1
389,train,-1
43,train,-1
5,train,-1
357,train,-1
74,train,-1
53,train,-1
487,train,-1
541,train,-1
35,train,-1
22,train,-1
192,train,-1
507,train,-1
533,train,-1
370,train,-1
243,train,-1
392,train,-1
381,train,-1
150,train,-1
72,train,-1
213,train,-1
407,train,-1
232,train,-1
209,train,-1
236,train,-1
336,train,-1
384,train,-1
325,train,-1
221,train,-1
502,train,-1
42,train,-1
249,train,-1
141,train,-1
373,train,-1
476,train,-1
463,train,-1
100,train,-1
299,train,-1
501,train,-1
269,train,-1
521,train,-1
420,train,-1
294,train,-1
117,train,-1
551,train,-1
349,train,-1
332,train,-1
235,train,-1
264,train,-1
343,train,-1
106,train,-1
427,train,-1
411,train,-1
57,train,-1
316,train,-1
226,train,-1
305,train,-1
32,train,-1
466,train,-1
293,train,-1
303,train,-1
228,train,-1
486,train,-1
123,train,-1
36,train,-1
110,train,-1
554,train,-1
56,train,-1
345,train,-1
89,train,-1
523,train,-1
498,train,-1
423,train,-1
405,train,-1
146,train,-1
272,train,-1
4,train,-1
439,train,-1
517,train,-1
155,train,-1
187,train,-1
371,train,-1
348,train,-1
16,train,-1
145,train,-1
93,train,-1
134,train,-1
400,train,-1
12,train,-1
519,train,-1
189,train,-1
530,train,-1
369,train,-1
545,train,-1
568,train,-1
109,train,-1
388,train,-1
566,train,-1
415,train,-1
377,train,-1
319,train,-1
86,train,-1
518,train,-1
514,train,-1
322,train,-1
248,train,-1
85,train,-1
386,train,-1
140,train,-1
220,train,-1
51,train,-1
168,train,-1
33,train,-1
547,train,-1
147,train,-1
443,train,-1
95,train,-1
79,train,-1
432,train,-1
283,train,-1
438,train,-1
78,train,-1
118,train,-1
197,train,-1
260,train,-1
224,train,-1
528,train,-1
66,train,-1
310,train,-1
499,train,-1
470,train,-1
7,train,-1
251,train,-1
183,train,-1
480,train,-1
103,train,-1
73,train,-1
161,train,-1
125,train,-1
182,train,-1
265,train,-1
217,train,-1
328,train,-1
195,train,-1
