threshold,precision,recall
0,0.373913,1
0.01,0.923077,0.837209
0.02,0.921053,0.813953
0.03,0.921053,0.813953
0.04,0.921053,0.813953
0.05,0.921053,0.813953
0.06,0.921053,0.813953
0.07,0.921053,0.813953
0.08,0.921053,0.813953
0.09,0.921053,0.813953
0.1,0.921053,0.813953
0.11,0.921053,0.813953
0.12,0.921053,0.813953
0.13,0.921053,0.813953
0.14,0.921053,0.813953
0.15,0.921053,0.813953
0.16,0.921053,0.813953
0.17,0.921053,0.813953
0.18,0.921053,0.813953
0.19,0.921053,0.813953
0.2,0.921053,0.813953
0.21,0.918919,0.790698
0.22,0.918919,0.790698
0.23,0.918919,0.790698
0.24,0.918919,0.790698
0.25,0.918919,0.790698
0.26,0.918919,0.790698
0.27,0.918919,0.790698
0.28,0.918919,0.790698
0.29,0.918919,0.790698
0.3,0.918919,0.790698
0.31,0.918919,0.790698
0.32,0.918919,0.790698
0.33,0.918919,0.790698
0.34,0.918919,0.790698
0.35,0.918919,0.790698
0.36,0.918919,0.790698
0.37,0.918919,0.790698
0.38,0.918919,0.790698
0.39,0.918919,0.790698
0.4,0.918919,0.790698
0.41,0.918919,0.790698
0.42,0.918919,0.790698
0.43,0.918919,0.790698
0.44,0.918919,0.790698
0.45,0.918919,0.790698
0.46,0.918919,0.790698
0.47,0.918919,0.790698
0.48,0.916667,0.767442
0.49,0.916667,0.767442
0.5,0.916667,0.767442
0.51,0.916667,0.767442
0.52,0.916667,0.767442
0.53,0.916667,0.767442
0.54,0.916667,0.767442
0.55,0.916667,0.767442
0.56,0.916667,0.767442
0.57,0.916667,0.767442
0.58,0.916667,0.767442
0.59,0.916667,0.767442
0.6,0.916667,0.767442
0.61,0.916667,0.767442
0.62,0.916667,0.767442
0.63,0.916667,0.767442
0.64,0.916667,0.767442
0.65,0.916667,0.767442
0.66,0.916667,0.767442
0.67,0.916667,0.767442
0.68,0.916667,0.767442
0.69,0.916667,0.767442
0.7,0.916667,0.767442
0.71,0.916667,0.767442
0.72,0.916667,0.767442
0.73,0.916667,0.767442
0.74,0.916667,0.767442
0.75,0.916667,0.767442
0.76,0.916667,0.767442
0.77,0.916667,0.767442
0.78,0.916667,0.767442
0.79,0.916667,0.767442
0.8,0.916667,0.767442
0.81,0.916667,0.767442
0.82,0.916667,0.767442
0.83,0.916667,0.767442
0.84,0.916667,0.767442
0.85,0.916667,0.767442
0.86,0.916667,0.767442
0.87,0.916667,0.767442
0.88,0.916667,0.767442
0.89,0.916667,0.767442
0.9,0.916667,0.767442
0.91,0.916667,0.767442
0.92,0.916667,0.767442
0.93,0.916667,0.767442
0.94,0.916667,0.767442
0.95,0.916667,0.767442
0.96,0.916667,0.767442
0.97,0.942857,0.767442
0.98,0.942857,0.767442
0.99,0.941176,0.744186
1,1,0.581395
