threshold,precision,recall
0,0.373913,1
0.01,0.886364,0.906977
0.02,0.886364,0.906977
0.03,0.886364,0.906977
0.04,0.886364,0.906977
0.05,0.886364,0.906977
0.06,0.886364,0.906977
0.07,0.886364,0.906977
0.08,0.886364,0.906977
0.09,0.886364,0.906977
0.1,0.886364,0.906977
0.11,0.886364,0.906977
0.12,0.886364,0.906977
0.13,0.886364,0.906977
0.14,0.928571,0.906977
0.15,0.928571,0.906977
0.16,0.928571,0.906977
0.17,0.928571,0.906977
0.18,0.928571,0.906977
0.19,0.928571,0.906977
0.2,0.928571,0.906977
0.21,0.928571,0.906977
0.22,0.928571,0.906977
0.23,0.928571,0.906977
0.24,0.928571,0.906977
0.25,0.928571,0.906977
0.26,0.928571,0.906977
0.27,0.928571,0.906977
0.28,0.928571,0.906977
0.29,0.928571,0.906977
0.3,0.928571,0.906977
0.31,0.928571,0.906977
0.32,0.928571,0.906977
0.33,0.928571,0.906977
0.34,0.95,0.883721
0.35,0.95,0.883721
0.36,0.95,0.883721
0.37,0.95,0.883721
0.38,0.95,0.883721
0.39,0.95,0.883721
0.4,0.95,0.883721
0.41,0.95,0.883721
0.42,0.95,0.883721
0.43,0.95,0.883721
0.44,0.95,0.883721
0.45,0.95,0.883721
0.46,0.95,0.883721
0.47,0.95,0.883721
0.48,0.95,0.883721
0.49,0.95,0.883721
0.5,0.95,0.883721
0.51,0.95,0.883721
0.52,0.95,0.883721
0.53,0.95,0.883721
0.54,0.95,0.883721
0.55,0.95,0.883721
0.56,0.95,0.883721
0.57,0.95,0.883721
0.58,0.95,0.883721
0.59,0.95,0.883721
0.6,0.95,0.883721
0.61,0.95,0.883721
0.62,0.95,0.883721
0.63,0.95,0.883721
0.64,0.95,0.883721
0.65,0.95,0.883721
0.66,0.95,0.883721
0.67,0.95,0.883721
0.68,0.95,0.883721
0.69,0.95,0.883721
0.7,0.95,0.883721
0.71,0.95,0.883721
0.72,0.95,0.883721
0.73,0.95,0.883721
0.74,0.95,0.883721
0.75,0.95,0.883721
0.76,0.95,0.883721
0.77,0.95,0.883721
0.78,0.95,0.883721
0.79,0.95,0.883721
0.8,0.95,0.883721
0.81,0.95,0.883721
0.82,0.95,0.883721
0.83,0.95,0.883721
0.84,0.95,0.883721
0.85,0.95,0.883721
0.86,0.95,0.883721
0.87,0.95,0.883721
0.88,0.95,0.883721
0.89,0.95,0.883721
0.9,0.95,0.883721
0.91,0.95,0.883721
0.92,0.95,0.883721
0.93,0.95,0.883721
0.94,0.95,0.883721
0.95,0.95,0.883721
0.96,0.95,0.883721
0.97,0.95,0.883721
0.98,0.95,0.883721
0.99,0.95,0.883721
1,0.95,0.883721
