threshold,precision,recall
0,0.373913,1
0.01,0.373913,1
0.02,0.605634,1
0.03,0.65625,0.976744
0.04,0.688525,0.976744
0.05,0.736842,0.976744
0.06,0.763636,0.976744
0.07,0.763636,0.976744
0.08,0.763636,0.976744
0.09,0.773585,0.953488
0.1,0.788462,0.953488
0.11,0.803922,0.953488
0.12,0.82,0.953488
0.13,0.82,0.953488
0.14,0.82,0.953488
0.15,0.82,0.953488
0.16,0.82,0.953488
0.17,0.836735,0.953488
0.18,0.836735,0.953488
0.19,0.836735,0.953488
0.2,0.854167,0.953488
0.21,0.851064,0.930233
0.22,0.851064,0.930233
0.23,0.851064,0.930233
0.24,0.851064,0.930233
0.25,0.869565,0.930233
0.26,0.869565,0.930233
0.27,0.869565,0.930233
0.28,0.866667,0.906977
0.29,0.866667,0.906977
0.3,0.866667,0.906977
0.31,0.886364,0.906977
0.32,0.886364,0.906977
0.33,0.886364,0.906977
0.34,0.886364,0.906977
0.35,0.886364,0.906977
0.36,0.928571,0.906977
0.37,0.928571,0.906977
0.38,0.928571,0.906977
0.39,0.928571,0.906977
0.4,0.928571,0.906977
0.41,0.928571,0.906977
0.42,0.926829,0.883721
0.43,0.926829,0.883721
0.44,0.926829,0.883721
0.45,0.926829,0.883721
0.46,0.926829,0.883721
0.47,0.926829,0.883721
0.48,0.95,0.883721
0.49,0.95,0.883721
0.5,0.95,0.883721
0.51,0.95,0.883721
0.52,0.95,0.883721
0.53,0.95,0.883721
0.54,0.948718,0.860465
0.55,0.947368,0.837209
0.56,0.947368,0.837209
0.57,0.947368,0.837209
0.58,0.947368,0.837209
0.59,0.944444,0.790698
0.6,0.944444,0.790698
0.61,0.944444,0.790698
0.62,0.944444,0.790698
0.63,0.944444,0.790698
0.64,0.971429,0.790698
0.65,0.971429,0.790698
0.66,0.971429,0.790698
0.67,0.971429,0.790698
0.68,0.970588,0.767442
0.69,0.970588,0.767442
0.7,0.970588,0.767442
0.71,0.970588,0.767442
0.72,0.970588,0.767442
0.73,0.969697,0.744186
0.74,0.969697,0.744186
0.75,0.969697,0.744186
0.76,0.96875,0.72093
0.77,0.96875,0.72093
0.78,0.966667,0.674419
0.79,1,0.651163
0.8,1,0.651163
0.81,1,0.627907
0.82,1,0.627907
0.83,1,0.627907
0.84,1,0.627907
0.85,1,0.627907
0.86,1,0.627907
0.87,1,0.627907
0.88,1,0.604651
0.89,1,0.581395
0.9,1,0.581395
0.91,1,0.581395
0.92,1,0.581395
0.93,1,0.55814
0.94,1,0.488372
0.95,1,0.488372
0.96,1,0.395349
0.97,1,0.348837
0.98,1,0.325581
0.99,0,0
1,0,0
