class,count,feature,mean
0,201,0,12.1317
0,201,1,18.1319
0,201,2,77.9799
0,201,3,460.867
0,201,4,0.0926311
0,201,5,0.0804
0,201,6,0.0462318
0,201,7,0.0254667
0,201,8,0.175248
0,201,9,0.0628321
0,201,10,0.280226
0,201,11,1.20988
0,201,12,1.97222
0,201,13,20.8293
0,201,14,0.007065
0,201,15,0.0212976
0,201,16,0.0261381
0,201,17,0.0097282
0,201,18,0.0204335
0,201,19,0.00347105
0,201,20,13.3745
0,201,21,23.8206
0,201,22,86.8872
0,201,23,557.21
0,201,24,0.125398
0,201,25,0.183742
0,201,26,0.169744
0,201,27,0.0747646
0,201,28,0.271517
0,201,29,0.0796799
1,118,0,17.4562
1,118,1,21.2955
1,118,2,115.371
1,118,3,976.329
1,118,4,0.102937
1,118,5,0.146119
1,118,6,0.162646
1,118,7,0.0882141
1,118,8,0.193592
1,118,9,0.0629592
1,118,10,0.615378
1,118,11,1.21334
1,118,12,4.35752
1,118,13,72.6532
1,118,14,0.00665665
1,118,15,0.0326687
1,118,16,0.0428374
1,118,17,0.0149561
1,118,18,0.0208947
1,118,19,0.00418317
1,118,20,21.3373
1,118,21,29.1021
1,118,22,142.754
1,118,23,1447.1
1,118,24,0.144114
1,118,25,0.379934
1,118,26,0.458669
1,118,27,0.182299
1,118,28,0.326626
1,118,29,0.0927104
