threshold,precision,recall
0,0.373913,1
0.01,0.891304,0.953488
0.02,0.909091,0.930233
0.03,0.906977,0.906977
0.04,0.95122,0.906977
0.05,0.95122,0.906977
0.06,0.95122,0.906977
0.07,0.95122,0.906977
0.08,0.95122,0.906977
0.09,0.95122,0.906977
0.1,0.95122,0.906977
0.11,0.95122,0.906977
0.12,0.95122,0.906977
0.13,0.95122,0.906977
0.14,0.95122,0.906977
0.15,0.95122,0.906977
0.16,0.95122,0.906977
0.17,0.95122,0.906977
0.18,0.95122,0.906977
0.19,0.95122,0.906977
0.2,0.95122,0.906977
0.21,0.95122,0.906977
0.22,0.95122,0.906977
0.23,0.95122,0.906977
0.24,0.95122,0.906977
0.25,0.95122,0.906977
0.26,0.95122,0.906977
0.27,0.95122,0.906977
0.28,0.95122,0.906977
0.29,0.95,0.883721
0.3,0.95,0.883721
0.31,0.95,0.883721
0.32,0.974359,0.883721
0.33,0.974359,0.883721
0.34,0.974359,0.883721
0.35,0.974359,0.883721
0.36,0.974359,0.883721
0.37,0.974359,0.883721
0.38,0.974359,0.883721
0.39,0.974359,0.883721
0.4,0.974359,0.883721
0.41,0.974359,0.883721
0.42,0.974359,0.883721
0.43,0.974359,0.883721
0.44,0.974359,0.883721
0.45,0.974359,0.883721
0.46,0.974359,0.883721
0.47,0.974359,0.883721
0.48,0.974359,0.883721
0.49,0.974359,0.883721
0.5,0.974359,0.883721
0.51,0.974359,0.883721
0.52,0.974359,0.883721
0.53,0.974359,0.883721
0.54,0.974359,0.883721
0.55,0.974359,0.883721
0.56,0.974359,0.883721
0.57,0.974359,0.883721
0.58,0.974359,0.883721
0.59,0.974359,0.883721
0.6,0.974359,0.883721
0.61,0.974359,0.883721
0.62,0.974359,0.883721
0.63,0.974359,0.883721
0.64,1,0.883721
0.65,1,0.883721
0.66,1,0.883721
0.67,1,0.883721
0.68,1,0.883721
0.69,1,0.883721
0.7,1,0.883721
0.71,1,0.883721
0.72,1,0.883721
0.73,1,0.883721
0.74,1,0.883721
0.75,1,0.883721
0.76,1,0.883721
0.77,1,0.883721
0.78,1,0.883721
0.79,1,0.883721
0.8,1,0.883721
0.81,1,0.883721
0.82,1,0.883721
0.83,1,0.883721
0.84,1,0.860465
0.85,1,0.860465
0.86,1,0.860465
0.87,1,0.860465
0.88,1,0.860465
0.89,1,0.860465
0.9,1,0.860465
0.91,1,0.860465
0.92,1,0.860465
0.93,1,0.860465
0.94,1,0.860465
0.95,1,0.837209
0.96,1,0.837209
0.97,1,0.837209
0.98,1,0.837209
0.99,1,0.813953
1,0,0
