threshold,precision,recall
0,0.373913,1
0.01,0.763636,0.976744
0.02,0.823529,0.976744
0.03,0.823529,0.976744
0.04,0.823529,0.976744
0.05,0.836735,0.953488
0.06,0.87234,0.953488
0.07,0.87234,0.953488
0.08,0.911111,0.953488
0.09,0.911111,0.953488
0.1,0.911111,0.953488
0.11,0.911111,0.953488
0.12,0.909091,0.930233
0.13,0.909091,0.930233
0.14,0.909091,0.930233
0.15,0.909091,0.930233
0.16,0.909091,0.930233
0.17,0.930233,0.930233
0.18,0.930233,0.930233
0.19,0.930233,0.930233
0.2,0.930233,0.930233
0.21,0.930233,0.930233
0.22,0.930233,0.930233
0.23,0.930233,0.930233
0.24,0.930233,0.930233
0.25,0.930233,0.930233
0.26,0.930233,0.930233
0.27,0.930233,0.930233
0.28,0.928571,0.906977
0.29,0.928571,0.906977
0.3,0.928571,0.906977
0.31,0.928571,0.906977
0.32,0.928571,0.906977
0.33,0.926829,0.883721
0.34,0.926829,0.883721
0.35,0.926829,0.883721
0.36,0.926829,0.883721
0.37,0.926829,0.883721
0.38,0.926829,0.883721
0.39,0.926829,0.883721
0.4,0.926829,0.883721
0.41,0.925,0.860465
0.42,0.925,0.860465
0.43,0.925,0.860465
0.44,0.925,0.860465
0.45,0.925,0.860465
0.46,0.925,0.860465
0.47,0.925,0.860465
0.48,0.925,0.860465
0.49,0.925,0.860465
0.5,0.925,0.860465
0.51,0.925,0.860465
0.52,0.925,0.860465
0.53,0.925,0.860465
0.54,0.925,0.860465
0.55,0.925,0.860465
0.56,0.925,0.860465
0.57,0.925,0.860465
0.58,0.925,0.860465
0.59,0.925,0.860465
0.6,0.948718,0.860465
0.61,0.948718,0.860465
0.62,0.948718,0.860465
0.63,0.948718,0.860465
0.64,0.973684,0.860465
0.65,0.972973,0.837209
0.66,0.972973,0.837209
0.67,0.972222,0.813953
0.68,0.972222,0.813953
0.69,0.972222,0.813953
0.7,0.972222,0.813953
0.71,0.972222,0.813953
0.72,0.972222,0.813953
0.73,0.972222,0.813953
0.74,0.972222,0.813953
0.75,0.972222,0.813953
0.76,0.971429,0.790698
0.77,0.971429,0.790698
0.78,0.971429,0.790698
0.79,0.971429,0.790698
0.8,0.971429,0.790698
0.81,0.971429,0.790698
0.82,0.971429,0.790698
0.83,0.971429,0.790698
0.84,0.971429,0.790698
0.85,0.971429,0.790698
0.86,0.971429,0.790698
0.87,0.971429,0.790698
0.88,0.971429,0.790698
0.89,0.971429,0.790698
0.9,0.971429,0.790698
0.91,0.971429,0.790698
0.92,0.971429,0.790698
0.93,0.969697,0.744186
0.94,0.969697,0.744186
0.95,1,0.744186
0.96,1,0.72093
0.97,1,0.674419
0.98,1,0.604651
0.99,1,0.55814
1,0,0
