threshold,precision,recall
0,0.37037,1
0.01,0.852941,0.966667
0.02,0.878788,0.966667
0.03,0.875,0.933333
0.04,0.875,0.933333
0.05,0.903226,0.933333
0.06,0.933333,0.933333
0.07,0.933333,0.933333
0.08,0.933333,0.933333
0.09,0.933333,0.933333
0.1,0.933333,0.933333
0.11,0.933333,0.933333
0.12,0.933333,0.933333
0.13,0.933333,0.933333
0.14,0.933333,0.933333
0.15,0.933333,0.933333
0.16,0.933333,0.933333
0.17,0.933333,0.933333
0.18,0.933333,0.933333
0.19,0.933333,0.933333
0.2,0.933333,0.933333
0.21,0.933333,0.933333
0.22,0.933333,0.933333
0.23,0.933333,0.933333
0.24,0.933333,0.933333
0.25,0.933333,0.933333
0.26,0.933333,0.933333
0.27,0.933333,0.933333
0.28,0.933333,0.933333
0.29,0.933333,0.933333
0.3,0.965517,0.933333
0.31,0.965517,0.933333
0.32,0.965517,0.933333
0.33,0.965517,0.933333
0.34,0.965517,0.933333
0.35,0.965517,0.933333
0.36,0.965517,0.933333
0.37,0.965517,0.933333
0.38,0.965517,0.933333
0.39,0.965517,0.933333
0.4,0.965517,0.933333
0.41,0.965517,0.933333
0.42,0.965517,0.933333
0.43,0.965517,0.933333
0.44,0.965517,0.933333
0.45,0.965517,0.933333
0.46,0.965517,0.933333
0.47,0.965517,0.933333
0.48,0.965517,0.933333
0.49,0.965517,0.933333
0.5,0.965517,0.933333
0.51,0.965517,0.933333
0.52,0.965517,0.933333
0.53,0.965517,0.933333
0.54,0.965517,0.933333
0.55,0.965517,0.933333
0.56,0.965517,0.933333
0.57,0.965517,0.933333
0.58,0.965517,0.933333
0.59,0.965517,0.933333
0.6,0.965517,0.933333
0.61,0.965517,0.933333
0.62,0.965517,0.933333
0.63,0.965517,0.933333
0.64,0.965517,0.933333
0.65,0.965517,0.933333
0.66,0.965517,0.933333
0.67,0.965517,0.933333
0.68,0.965517,0.933333
0.69,0.965517,0.933333
0.7,0.965517,0.933333
0.71,0.965517,0.933333
0.72,0.965517,0.933333
0.73,0.965517,0.933333
0.74,0.965517,0.933333
0.75,0.965517,0.933333
0.76,0.965517,0.933333
0.77,0.965517,0.933333
0.78,0.965517,0.933333
0.79,0.965517,0.933333
0.8,0.965517,0.933333
0.81,0.965517,0.933333
0.82,0.965517,0.933333
0.83,0.965517,0.933333
0.84,0.965517,0.933333
0.85,0.965517,0.933333
0.86,0.965517,0.933333
0.87,0.964286,0.9
0.88,0.962963,0.866667
0.89,0.962963,0.866667
0.9,0.962963,0.866667
0.91,0.962963,0.866667
0.92,0.962963,0.866667
0.93,0.962963,0.866667
0.94,0.962963,0.866667
0.95,0.962963,0.866667
0.96,0.962963,0.866667
0.97,0.962963,0.866667
0.98,0.962963,0.866667
0.99,1,0.8
1,0,0
