threshold,precision,recall
0,0.373913,1
0.01,0.84,0.976744
0.02,0.891304,0.953488
0.03,0.931818,0.953488
0.04,0.97561,0.930233
0.05,0.97561,0.930233
0.06,1,0.906977
0.07,1,0.906977
0.08,1,0.906977
0.09,1,0.906977
0.1,1,0.906977
0.11,1,0.906977
0.12,1,0.906977
0.13,1,0.906977
0.14,1,0.906977
0.15,1,0.906977
0.16,1,0.906977
0.17,1,0.906977
0.18,1,0.883721
0.19,1,0.883721
0.2,1,0.883721
0.21,1,0.883721
0.22,1,0.883721
0.23,1,0.883721
0.24,1,0.883721
0.25,1,0.883721
0.26,1,0.883721
0.27,1,0.883721
0.28,1,0.883721
0.29,1,0.860465
0.3,1,0.860465
0.31,1,0.860465
0.32,1,0.860465
0.33,1,0.860465
0.34,1,0.860465
0.35,1,0.860465
0.36,1,0.860465
0.37,1,0.860465
0.38,1,0.860465
0.39,1,0.860465
0.4,1,0.860465
0.41,1,0.837209
0.42,1,0.837209
0.43,1,0.837209
0.44,1,0.837209
0.45,1,0.837209
0.46,1,0.837209
0.47,1,0.837209
0.48,1,0.837209
0.49,1,0.837209
0.5,1,0.837209
0.51,1,0.837209
0.52,1,0.837209
0.53,1,0.837209
0.54,1,0.837209
0.55,1,0.837209
0.56,1,0.837209
0.57,1,0.837209
0.58,1,0.837209
0.59,1,0.813953
0.6,1,0.813953
0.61,1,0.813953
0.62,1,0.813953
0.63,1,0.813953
0.64,1,0.813953
0.65,1,0.813953
0.66,1,0.813953
0.67,1,0.813953
0.68,1,0.813953
0.69,1,0.813953
0.7,1,0.790698
0.71,1,0.790698
0.72,1,0.790698
0.73,1,0.790698
0.74,1,0.790698
0.75,1,0.790698
0.76,1,0.790698
0.77,1,0.790698
0.78,1,0.790698
0.79,1,0.790698
0.8,1,0.790698
0.81,1,0.790698
0.82,1,0.790698
0.83,1,0.767442
0.84,1,0.767442
0.85,1,0.744186
0.86,1,0.744186
0.87,1,0.744186
0.88,1,0.744186
0.89,1,0.744186
0.9,1,0.744186
0.91,1,0.72093
0.92,1,0.697674
0.93,1,0.674419
0.94,1,0.651163
0.95,1,0.651163
0.96,1,0.651163
0.97,1,0.627907
0.98,1,0.581395
0.99,1,0.488372
1,0,0
