threshold,precision,recall
0,0.373913,1
0.01,0.909091,0.930233
0.02,0.909091,0.930233
0.03,0.909091,0.930233
0.04,0.909091,0.930233
0.05,0.909091,0.930233
0.06,0.909091,0.930233
0.07,0.906977,0.906977
0.08,0.906977,0.906977
0.09,0.906977,0.906977
0.1,0.906977,0.906977
0.11,0.904762,0.883721
0.12,0.904762,0.883721
0.13,0.904762,0.883721
0.14,0.904762,0.883721
0.15,0.902439,0.860465
0.16,0.902439,0.860465
0.17,0.902439,0.860465
0.18,0.902439,0.860465
0.19,0.902439,0.860465
0.2,0.902439,0.860465
0.21,0.902439,0.860465
0.22,0.902439,0.860465
0.23,0.902439,0.860465
0.24,0.902439,0.860465
0.25,0.902439,0.860465
0.26,0.902439,0.860465
0.27,0.902439,0.860465
0.28,0.902439,0.860465
0.29,0.902439,0.860465
0.3,0.902439,0.860465
0.31,0.902439,0.860465
0.32,0.902439,0.860465
0.33,0.902439,0.860465
0.34,0.902439,0.860465
0.35,0.902439,0.860465
0.36,0.902439,0.860465
0.37,0.902439,0.860465
0.38,0.902439,0.860465
0.39,0.902439,0.860465
0.4,0.902439,0.860465
0.41,0.902439,0.860465
0.42,0.902439,0.860465
0.43,0.902439,0.860465
0.44,0.902439,0.860465
0.45,0.902439,0.860465
0.46,0.902439,0.860465
0.47,0.902439,0.860465
0.48,0.902439,0.860465
0.49,0.9,0.837209
0.5,0.9,0.837209
0.51,0.9,0.837209
0.52,0.9,0.837209
0.53,0.9,0.837209
0.54,0.9,0.837209
0.55,0.9,0.837209
0.56,0.9,0.837209
0.57,0.9,0.837209
0.58,0.9,0.837209
0.59,0.9,0.837209
0.6,0.9,0.837209
0.61,0.9,0.837209
0.62,0.9,0.837209
0.63,0.9,0.837209
0.64,0.9,0.837209
0.65,0.9,0.837209
0.66,0.9,0.837209
0.67,0.9,0.837209
0.68,0.9,0.837209
0.69,0.9,0.837209
0.7,0.9,0.837209
0.71,0.9,0.837209
0.72,0.9,0.837209
0.73,0.9,0.837209
0.74,0.9,0.837209
0.75,0.9,0.837209
0.76,0.9,0.837209
0.77,0.9,0.837209
0.78,0.9,0.837209
0.79,0.9,0.837209
0.8,0.9,0.837209
0.81,0.9,0.837209
0.82,0.897436,0.813953
0.83,0.897436,0.813953
0.84,0.897436,0.813953
0.85,0.897436,0.813953
0.86,0.897436,0.813953
0.87,0.897436,0.813953
0.88,0.897436,0.813953
0.89,0.897436,0.813953
0.9,0.921053,0.813953
0.91,0.921053,0.813953
0.92,0.921053,0.813953
0.93,0.921053,0.813953
0.94,0.945946,0.813953
0.95,0.945946,0.813953
0.96,0.945946,0.813953
0.97,0.945946,0.813953
0.98,0.945946,0.813953
0.99,0.945946,0.813953
1,1,0.604651
