feature_i,feature_j,pearson
0,0,1
0,1,0.101332
0,2,0.997504
0,3,0.9882
0,4,-0.0704387
0,5,0.247888
0,6,0.37521
0,7,0.646544
0,8,-0.064952
0,9,-0.465908
0,10,0.38436
0,11,-0.228243
0,12,0.426759
0,13,0.646045
0,14,-0.344087
0,15,0.0517377
0,16,0.022105
0,17,0.216363
0,18,-0.20891
0,19,-0.141223
0,20,0.975008
0,21,0.0902428
0,22,0.962783
0,23,0.950625
0,24,-0.151334
0,25,0.244207
0,26,0.287465
0,27,0.587486
0,28,0.0232935
0,29,-0.18998
1,0,0.101332
1,1,1
1,2,0.103459
1,3,0.120992
1,4,-0.18526
1,5,0.0112208
1,6,0.091807
1,7,0.0328856
1,8,-0.00733908
1,9,-0.0960596
1,10,0.19701
1,11,0.470645
1,12,0.219518
1,13,0.207976
1,14,0.0801186
1,15,0.108058
1,16,0.0678761
1,17,0.0438199
1,18,0.0975701
1,19,0.0335281
1,20,0.119733
1,21,0.909263
1,22,0.12737
1,23,0.140731
1,24,-0.125206
1,25,0.0483721
1,26,0.0762358
1,27,0.0206948
1,28,-0.0363834
1,29,-0.02805
2,0,0.997504
2,1,0.103459
2,2,1
2,3,0.9882
2,4,-0.033229
2,5,0.31047
2,6,0.425986
2,7,0.68754
2,8,-0.0299511
2,9,-0.415118
2,10,0.407504
2,11,-0.224797
2,12,0.458125
2,13,0.665225
2,14,-0.323092
2,15,0.104117
2,16,0.0617393
2,17,0.260274
2,18,-0.187106
2,19,-0.0976151
2,20,0.975304
2,21,0.0905774
2,22,0.970557
2,23,0.953326
2,24,-0.120825
2,25,0.294941
2,26,0.333201
2,27,0.628056
2,28,0.0498939
2,29,-0.139177
3,0,0.9882
3,1,0.120992
3,2,0.9882
3,3,1
3,4,-0.0595732
3,5,0.262242
3,6,0.418128
3,7,0.675001
3,8,-0.0374853
3,9,-0.427573
3,10,0.445119
3,11,-0.196895
3,12,0.486332
3,13,0.706573
3,14,-0.289973
3,15,0.0769574
3,16,0.0552734
3,17,0.240895
3,18,-0.162872
3,19,-0.106017
3,20,0.975061
3,21,0.105201
3,22,0.965504
3,23,0.974771
3,24,-0.126155
3,25,0.24556
3,26,0.309461
3,27,0.596574
3,28,0.0380575
3,29,-0.166593
4,0,-0.0704387
4,1,-0.18526
4,2,-0.033229
4,3,-0.0595732
4,4,1
4,5,0.592958
4,6,0.32977
4,7,0.459436
4,8,0.465651
4,9,0.560552
4,10,0.201073
4,11,0.0270735
4,12,0.177349
4,13,0.12366
4,14,0.358415
4,15,0.178541
4,16,0.144285
4,17,0.318691
4,18,0.15162
4,19,0.209028
4,20,-0.0390724
4,21,-0.152241
4,22,-0.0150547
4,23,-0.0294559
4,24,0.768872
4,25,0.294818
4,26,0.217896
4,27,0.351799
4,28,0.26687
4,29,0.376387
5,0,0.247888
5,1,0.0112208
5,2,0.31047
5,3,0.262242
5,4,0.592958
5,5,1
5,6,0.787153
5,7,0.750074
5,8,0.503574
5,9,0.63477
5,10,0.379965
5,11,-0.0328383
5,12,0.459904
5,13,0.383125
5,14,0.194716
5,15,0.737726
5,16,0.548502
5,17,0.653033
5,18,0.217487
5,19,0.564401
5,20,0.278551
5,21,0.00484377
5,22,0.356687
5,23,0.285878
5,24,0.465309
5,25,0.819263
5,26,0.711555
5,27,0.739001
5,28,0.402986
5,29,0.698812
6,0,0.37521
6,1,0.091807
6,2,0.425986
6,3,0.418128
6,4,0.32977
6,5,0.787153
6,6,1
6,7,0.813086
6,8,0.410892
6,9,0.433708
6,10,0.496064
6,11,0.0306311
6,12,0.549586
6,13,0.540099
6,14,0.149487
6,15,0.716217
6,16,0.81553
6,17,0.768345
6,18,0.202185
6,19,0.596796
6,20,0.41281
6,21,0.0805169
6,22,0.474246
6,23,0.449063
6,24,0.276088
6,25,0.693346
6,26,0.877569
6,27,0.78437
6,28,0.337057
6,29,0.559121
7,0,0.646544
7,1,0.0328856
7,2,0.68754
7,3,0.675001
7,4,0.459436
7,5,0.750074
7,6,0.813086
7,7,1
7,8,0.368909
7,9,0.191052
7,10,0.588804
7,11,-0.0564345
7,12,0.625287
7,13,0.703588
7,14,0.0814456
7,15,0.455706
7,16,0.413755
7,17,0.664184
7,18,0.0837875
7,19,0.305321
7,20,0.67218
7,21,0.0255105
7,22,0.708031
7,23,0.691245
7,24,0.324222
7,25,0.560712
7,26,0.617149
7,27,0.871052
7,28,0.257814
7,29,0.305257
8,0,-0.064952
8,1,-0.00733908
8,2,-0.0299511
8,3,-0.0374853
8,4,0.465651
8,5,0.503574
8,6,0.410892
8,7,0.368909
8,8,1
8,9,0.437268
8,10,0.319446
8,11,0.118889
8,12,0.321362
8,13,0.227
8,14,0.239678
8,15,0.37088
8,16,0.312955
8,17,0.361759
8,18,0.414598
8,19,0.321657
8,20,-0.0281969
8,21,-0.0203901
8,22,0.0110681
8,23,-0.00123188
8,24,0.322657
8,25,0.345907
8,26,0.311766
8,27,0.295447
8,28,0.652444
8,29,0.35461
9,0,-0.465908
9,1,-0.0960596
9,2,-0.415118
9,3,-0.427573
9,4,0.560552
9,5,0.63477
9,6,0.433708
9,7,0.191052
