class,count,feature,mean
0,285,0,12.1689
0,285,1,18.1684
0,285,2,78.2413
0,285,3,463.779
0,285,4,0.0930538
0,285,5,0.0811234
0,285,6,0.0469634
0,285,7,0.0264167
0,285,8,0.174629
0,285,9,0.0628472
0,285,10,0.286066
0,285,11,1.25313
0,285,12,2.00748
0,285,13,21.3087
0,285,14,0.00725099
0,285,15,0.0218438
0,285,16,0.0265638
0,285,17,0.0100946
0,285,18,0.0205512
0,285,19,0.00366156
0,285,20,13.4209
0,285,21,23.914
0,285,22,87.3151
0,285,23,561.333
0,285,24,0.12603
0,285,25,0.186276
0,285,26,0.169965
0,285,27,0.0762168
0,285,28,0.270721
0,285,29,0.0795963
1,24,0,16.6271
1,24,1,21.1954
1,24,2,109.646
1,24,3,883.492
1,24,4,0.103379
1,24,5,0.143533
1,24,6,0.160786
1,24,7,0.0844708
1,24,8,0.197067
1,24,9,0.0624858
1,24,10,0.572308
1,24,11,1.25488
1,24,12,4.20058
1,24,13,62.6058
1,24,14,0.00815883
1,24,15,0.0405067
1,24,16,0.0536187
1,24,17,0.0180344
1,24,18,0.0235933
1,24,19,0.00475587
1,24,20,19.7133
1,24,21,29.0358
1,24,22,133.174
1,24,23,1227.62
1,24,24,0.146979
1,24,25,0.384929
1,24,26,0.465417
1,24,27,0.183404
1,24,28,0.327996
1,24,29,0.0903646
