rank,feature,mean_drop,std_drop
1,"color_intensity",0.0742606,0.0303497
2,"proline",0.0555973,0.0267474
3,"flavanoids",0.0425687,0.020321
4,"alcohol",0.0392979,0.0211587
5,"hue",0.0112099,0.00966628
6,"ash",0.00692333,0.00257975
7,"magnesium",0.00670425,0.00572293
8,"malic_acid",0.00623871,0.00489709
9,"nonflavanoid_phenols",0.00214707,0.00262962
10,"od280",0.00204081,0.00700191
11,"pure_noise",0.00178923,0.00253035
12,"proanthocyanins",0.00155565,0.00257975
13,"alcalinity",0,0
14,"total_phenols",0,0
