class,count,feature,mean
0,47,0,13.703
0,47,1,1.96106
0,47,2,2.45638
0,47,3,16.8787
0,47,4,106.383
0,47,5,2.84511
0,47,6,2.98702
0,47,7,0.290213
0,47,8,1.87702
0,47,9,5.45149
0,47,10,1.06872
0,47,11,3.15681
0,47,12,1100.15
1,56,0,12.2332
1,56,1,1.90321
1,56,2,2.25464
1,56,3,20.4679
1,56,4,95.8393
1,56,5,2.24696
1,56,6,2.05536
1,56,7,0.364643
1,56,8,1.63339
1,56,9,3.07054
1,56,10,1.04171
1,56,11,2.75411
1,56,12,537.143
2,38,0,13.1755
2,38,1,3.35263
2,38,2,2.44
2,38,3,21.4605
2,38,4,97.8947
2,38,5,1.69342
2,38,6,0.792105
2,38,7,0.440789
2,38,8,1.12289
2,38,9,7.19526
2,38,10,0.687368
2,38,11,1.67132
2,38,12,616.447
