feature_i,feature_j,pearson
0,0,1
0,1,0.111612
0,2,0.200472
0,3,-0.329107
0,4,0.236388
0,5,0.239172
0,6,0.195505
0,7,-0.0985651
0,8,0.067906
0,9,0.571002
0,10,-0.0768303
0,11,0.0304676
0,12,0.6039
1,0,0.111612
1,1,1
1,2,0.143365
1,3,0.241514
1,4,-0.101332
1,5,-0.374252
1,6,-0.450291
1,7,0.282126
1,8,-0.242795
1,9,0.270869
1,10,-0.585362
1,11,-0.391127
1,12,-0.212167
2,0,0.200472
2,1,0.143365
2,2,1
2,3,0.431238
2,4,0.231942
2,5,0.164169
2,6,0.11901
2,7,0.162593
2,8,-0.00745331
2,9,0.261256
2,10,-0.129751
2,11,0.0352513
2,12,0.206626
3,0,-0.329107
3,1,0.241514
3,2,0.431238
3,3,1
3,4,-0.106337
3,5,-0.325211
3,6,-0.36842
3,7,0.354702
3,8,-0.204181
3,9,0.00269259
3,10,-0.292018
3,11,-0.269692
3,12,-0.470161
4,0,0.236388
4,1,-0.101332
4,2,0.231942
4,3,-0.106337
4,4,1
4,5,0.242903
4,6,0.234372
4,7,-0.335077
4,8,0.260033
4,9,0.099727
4,10,0.125442
4,11,0.145326
4,12,0.376074
5,0,0.239172
5,1,-0.374252
5,2,0.164169
5,3,-0.325211
5,4,0.242903
5,5,1
5,6,0.857181
5,7,-0.411505
5,8,0.600899
5,9,-0.0182947
5,10,0.427069
5,11,0.705359
5,12,0.515367
6,0,0.195505
6,1,-0.450291
6,2,0.11901
6,3,-0.36842
6,4,0.234372
6,5,0.857181
6,6,1
6,7,-0.512851
6,8,0.639236
6,9,-0.15742
6,10,0.534168
6,11,0.795213
6,12,0.512859
7,0,-0.0985651
7,1,0.282126
7,2,0.162593
7,3,0.354702
7,4,-0.335077
7,5,-0.411505
7,6,-0.512851
7,7,1
7,8,-0.356317
7,9,0.127884
7,10,-0.245098
7,11,-0.481152
7,12,-0.316795
8,0,0.067906
8,1,-0.242795
8,2,-0.00745331
8,3,-0.204181
8,4,0.260033
8,5,0.600899
8,6,0.639236
8,7,-0.356317
8,8,1
8,9,-0.0492243
8,10,0.307518
8,11,0.513966
8,12,0.329068
9,0,0.571002
9,1,0.270869
9,2,0.261256
9,3,0.00269259
9,4,0.099727
9,5,-0.0182947
9,6,-0.15742
9,7,0.127884
9,8,-0.0492243
9,9,1
9,10,-0.509149
9,11,-0.393292
9,12,0.265583
10,0,-0.0768303
10,1,-0.585362
10,2,-0.129751
10,3,-0.292018
10,4,0.125442
10,5,0.427069
10,6,0.534168
10,7,-0.245098
10,8,0.307518
10,9,-0.509149
10,10,1
10,11,0.571807
10,12,0.306162
11,0,0.0304676
11,1,-0.391127
11,2,0.0352513
11,3,-0.269692
11,4,0.145326
11,5,0.705359
11,6,0.795213
11,7,-0.481152
11,8,0.513966
11,9,-0.393292
11,10,0.571807
11,11,1
11,12,0.350987
12,0,0.6039
12,1,-0.212167
12,2,0.206626
12,3,-0.470161
12,4,0.376074
12,5,0.515367
12,6,0.512859
12,7,-0.316795
12,8,0.329068
12,9,0.265583
12,10,0.306162
12,11,0.350987
12,12,1
