feature,name,filter_score,filter_rank,forward_step,l1_score,l1_rank
0,"radius_mean",554.5155058,7,0,0,27
1,"texture_mean",80.2942427,20,6,0.02000002583,10
2,"perimeter_mean",602.506793,5,0,0,28
3,"area_mean",495.5077854,8,0,0.001000008996,24
4,"smoothness_mean",64.79778475,21,0,0.001000001397,25
5,"compactness_mean",264.847737,11,0,0.002000138545,21
6,"concavity_mean",459.5491346,9,0,0.002000138626,20
7,"concave_points_mean",717.0394009,4,0,0.1000000172,5
8,"symmetry_mean",55.46739685,22,0,0,29
9,"fractal_dimension_mean",0.009141645598,30,7,0.01000001557,13
10,"radius_se",233.6696917,14,0,0.05000009587,6
11,"texture_se",0.4718483585,28,0,0.005000002532,18
12,"perimeter_se",227.5537108,15,0,0.001000000879,26
13,"area_se",239.6754846,13,0,0.005000059597,15
14,"smoothness_se",1.041577183,27,0,0.02000005058,9
15,"compactness_se",46.46596901,24,0,0.005000014384,17
16,"concavity_se",31.74033504,25,0,0.01000010203,12
17,"concave_points_se",89.98237905,19,0,0.005000047392,16
18,"symmetry_se",0.1333472326,29,0,0.002000007568,22
19,"fractal_dimension_se",3.472830151,26,5,0,30
20,"radius_worst",739.6411668,3,1,0.1000005524,3
21,"texture_worst",100.8578085,16,3,0.1000000315,4
22,"perimeter_worst",784.192069,2,0,0.2,2
23,"area_worst",592.9621424,6,0,0.002000337679,19
24,"smoothness_worst",94.97400836,18,4,0.02000001821,11
25,"compactness_worst",245.9440692,12,0,0.001000021938,23
26,"concavity_worst",348.2596014,10,8,0.02000005424,8
27,"concave_points_worst",795.3449114,1,2,0.2000000573,1
28,"symmetry_worst",95.15622839,17,0,0.05000005028,7
29,"fractal_dimension_worst",53.7845523,23,0,0.005000063905,14
