threshold,precision,recall
0,0.373913,1
0.01,0.589041,1
0.02,0.617647,0.976744
0.03,0.694915,0.953488
0.04,0.719298,0.953488
0.05,0.759259,0.953488
0.06,0.788462,0.953488
0.07,0.803922,0.953488
0.08,0.803922,0.953488
0.09,0.803922,0.953488
0.1,0.803922,0.953488
0.11,0.82,0.953488
0.12,0.82,0.953488
0.13,0.82,0.953488
0.14,0.82,0.953488
0.15,0.82,0.953488
0.16,0.82,0.953488
0.17,0.82,0.953488
0.18,0.836735,0.953488
0.19,0.836735,0.953488
0.2,0.836735,0.953488
0.21,0.836735,0.953488
0.22,0.836735,0.953488
0.23,0.836735,0.953488
0.24,0.836735,0.953488
0.25,0.87234,0.953488
0.26,0.87234,0.953488
0.27,0.891304,0.953488
0.28,0.891304,0.953488
0.29,0.891304,0.953488
0.3,0.891304,0.953488
0.31,0.911111,0.953488
0.32,0.911111,0.953488
0.33,0.911111,0.953488
0.34,0.911111,0.953488
0.35,0.909091,0.930233
0.36,0.909091,0.930233
0.37,0.906977,0.906977
0.38,0.906977,0.906977
0.39,0.906977,0.906977
0.4,0.906977,0.906977
0.41,0.906977,0.906977
0.42,0.906977,0.906977
0.43,0.904762,0.883721
0.44,0.902439,0.860465
0.45,0.902439,0.860465
0.46,0.902439,0.860465
0.47,0.902439,0.860465
0.48,0.902439,0.860465
0.49,0.902439,0.860465
0.5,0.902439,0.860465
0.51,0.902439,0.860465
0.52,0.902439,0.860465
0.53,0.902439,0.860465
0.54,0.925,0.860465
0.55,0.948718,0.860465
0.56,0.948718,0.860465
0.57,0.947368,0.837209
0.58,0.945946,0.813953
0.59,0.945946,0.813953
0.6,0.945946,0.813953
0.61,0.972222,0.813953
0.62,0.972222,0.813953
0.63,0.972222,0.813953
0.64,0.971429,0.790698
0.65,0.970588,0.767442
0.66,0.970588,0.767442
0.67,0.970588,0.767442
0.68,0.970588,0.767442
0.69,0.970588,0.767442
0.7,0.970588,0.767442
0.71,0.970588,0.767442
0.72,0.970588,0.767442
0.73,0.970588,0.767442
0.74,0.970588,0.767442
0.75,0.970588,0.767442
0.76,0.969697,0.744186
0.77,0.969697,0.744186
0.78,0.969697,0.744186
0.79,0.969697,0.744186
0.8,0.969697,0.744186
0.81,0.969697,0.744186
0.82,1,0.744186
0.83,1,0.72093
0.84,1,0.697674
0.85,1,0.674419
0.86,1,0.674419
0.87,1,0.674419
0.88,1,0.627907
0.89,1,0.627907
0.9,1,0.627907
0.91,1,0.627907
0.92,1,0.604651
0.93,1,0.604651
0.94,1,0.581395
0.95,1,0.534884
0.96,1,0.511628
0.97,1,0.511628
0.98,1,0.488372
0.99,1,0.465116
1,1,0.372093
