threshold,precision,recall
0,0.37037,1
0.01,0.681818,1
0.02,0.731707,1
0.03,0.731707,1
0.04,0.725,0.966667
0.05,0.74359,0.966667
0.06,0.74359,0.966667
0.07,0.763158,0.966667
0.08,0.783784,0.966667
0.09,0.783784,0.966667
0.1,0.805556,0.966667
0.11,0.828571,0.966667
0.12,0.828571,0.966667
0.13,0.828571,0.966667
0.14,0.852941,0.966667
0.15,0.878788,0.966667
0.16,0.878788,0.966667
0.17,0.878788,0.966667
0.18,0.878788,0.966667
0.19,0.90625,0.966667
0.2,0.90625,0.966667
0.21,0.90625,0.966667
0.22,0.90625,0.966667
0.23,0.90625,0.966667
0.24,0.935484,0.966667
0.25,0.935484,0.966667
0.26,0.935484,0.966667
0.27,0.935484,0.966667
0.28,0.933333,0.933333
0.29,0.933333,0.933333
0.3,0.933333,0.933333
0.31,0.933333,0.933333
0.32,0.933333,0.933333
0.33,0.933333,0.933333
0.34,0.933333,0.933333
0.35,0.933333,0.933333
0.36,0.933333,0.933333
0.37,0.933333,0.933333
0.38,0.933333,0.933333
0.39,0.965517,0.933333
0.4,0.965517,0.933333
0.41,0.965517,0.933333
0.42,0.965517,0.933333
0.43,0.965517,0.933333
0.44,0.965517,0.933333
0.45,0.965517,0.933333
0.46,0.965517,0.933333
0.47,0.965517,0.933333
0.48,0.965517,0.933333
0.49,0.965517,0.933333
0.5,0.965517,0.933333
0.51,0.965517,0.933333
0.52,0.965517,0.933333
0.53,0.965517,0.933333
0.54,0.965517,0.933333
0.55,0.964286,0.9
0.56,0.964286,0.9
0.57,0.964286,0.9
0.58,0.964286,0.9
0.59,0.964286,0.9
0.6,0.964286,0.9
0.61,0.964286,0.9
0.62,0.964286,0.9
0.63,0.964286,0.9
0.64,0.964286,0.9
0.65,0.964286,0.9
0.66,0.964286,0.9
0.67,0.962963,0.866667
0.68,0.962963,0.866667
0.69,0.961538,0.833333
0.7,0.961538,0.833333
0.71,0.961538,0.833333
0.72,0.961538,0.833333
0.73,0.96,0.8
0.74,0.96,0.8
0.75,0.96,0.8
0.76,0.96,0.8
0.77,0.958333,0.766667
0.78,0.958333,0.766667
0.79,0.958333,0.766667
0.8,0.958333,0.766667
0.81,0.958333,0.766667
0.82,0.958333,0.766667
0.83,0.958333,0.766667
0.84,1,0.766667
0.85,1,0.766667
0.86,1,0.766667
0.87,1,0.766667
0.88,1,0.766667
0.89,1,0.733333
0.9,1,0.733333
0.91,1,0.733333
0.92,1,0.733333
0.93,1,0.733333
0.94,1,0.733333
0.95,1,0.733333
0.96,1,0.733333
0.97,1,0.7
0.98,1,0.7
0.99,1,0.6
1,1,0.566667
