meta_class,base,base_class,weight
0,logistic,0,0.08201670371
0,logistic,1,-0.0388003687
0,logistic,2,-0.04321235586
0,knn5,0,0.1727539305
0,knn5,1,-0.09317148481
0,knn5,2,-0.07957227208
0,forest50,0,0.1550689173
0,forest50,1,-0.08605198629
0,forest50,2,-0.06883771819
1,logistic,0,-0.03784852842
1,logistic,1,0.0717776194
1,logistic,2,-0.033940384
1,knn5,0,-0.09098934489
1,knn5,1,0.1671328846
1,knn5,2,-0.07605303732
1,forest50,0,-0.08510714461
1,forest50,1,0.1468494821
1,forest50,2,-0.06167840324
2,logistic,0,-0.04408855659
2,logistic,1,-0.03299529413
2,logistic,2,0.07724388691
2,knn5,0,-0.08165879583
2,knn5,1,-0.07384466214
2,knn5,2,0.1555824906
2,forest50,0,-0.06983921182
2,forest50,1,-0.0606555626
2,forest50,2,0.1305097277
