child_a,child_b,height,count
3,339,0,2
226,312,0.109294,2
261,313,0.109294,2
36,107,0.126901,2
267,303,0.132215,2
76,143,0.133342,2
73,160,0.147485,2
181,191,0.151954,2
248,296,0.155785,2
167,205,0.156008,2
266,280,0.156008,2
232,298,0.162525,2
50,56,0.162637,2
258,276,0.168981,2
123,151,0.173037,2
274,340,0.173064,2
279,289,0.177273,2
221,287,0.178408,2
22,86,0.183833,2
48,52,0.183963,2
63,65,0.185714,2
126,130,0.188006,2
162,180,0.19348,2
238,270,0.194204,2
220,225,0.194204,2
94,120,0.194608,2
262,354,0.19664,3
195,214,0.204301,2
159,196,0.206436,2
229,245,0.209246,2
288,306,0.216254,2
179,210,0.217549,2
89,96,0.218377,2
105,145,0.21843,2
251,328,0.220025,2
308,338,0.225044,2
304,355,0.225501,3
11,24,0.22828,2
275,277,0.23188,2
310,320,0.233719,2
164,193,0.237328,2
27,32,0.239188,2
223,249,0.241393,2
166,204,0.242026,2
309,311,0.242093,2
243,322,0.243955,2
2,112,0.244504,2
290,294,0.247213,2
69,113,0.247242,2
227,250,0.248998,2
301,327,0.249154,2
154,175,0.24943,2
241,314,0.250829,2
44,64,0.250829,2
75,115,0.252611,2
155,170,0.25622,2
282,334,0.256288,2
55,57,0.260934,2
97,127,0.26096,2
25,82,0.262522,2
74,100,0.266882,2
185,203,0.267292,2
264,341,0.270952,2
156,161,0.273857,2
51,146,0.273882,2
80,136,0.28018,2
26,46,0.281871,2
87,132,0.290719,2
219,375,0.291821,3
315,348,0.296124,3
286,302,0.297152,2
116,128,0.298635,2
234,272,0.299432,2
29,33,0.301543,2
281,393,0.302253,3
295,331,0.302828,2
222,352,0.302828,3
209,353,0.303993,3
134,356,0.30439,3
184,206,0.305158,2
228,357,0.306448,3
84,365,0.308729,3
72,140,0.30976,2
345,367,0.316718,4
68,144,0.3178,2
194,207,0.318207,2
99,398,0.318403,3
118,369,0.319273,3
157,344,0.323243,3
0,21,0.326674,2
231,343,0.329536,2
5,114,0.329769,2
152,176,0.331631,2
236,260,0.331749,2
186,217,0.331891,2
346,406,0.333437,4
239,254,0.3344,2
283,335,0.335811,2
41,364,0.335951,3
285,361,0.341978,3
78,138,0.344572,2
244,256,0.347111,2
293,373,0.347111,3
30,122,0.350701,2
62,150,0.353983,2
291,292,0.354022,2
17,61,0.355248,2
242,400,0.356379,3
324,379,0.358579,3
278,378,0.363056,3
173,198,0.364861,2
409,431,0.365283,5
263,330,0.368476,2
233,247,0.369728,2
305,388,0.373373,3
53,125,0.374191,2
20,28,0.376872,2
259,329,0.381693,2
6,381,0.382866,3
163,407,0.385132,3
58,397,0.385512,3
106,110,0.386173,2
13,435,0.387413,3
37,410,0.387968,3
284,359,0.391545,3
300,420,0.395971,4
10,108,0.39702,2
40,42,0.398298,2
148,363,0.404868,3
414,427,0.406646,6
269,325,0.415508,2
79,459,0.416095,3
317,383,0.41821,3
139,402,0.418755,3
71,401,0.419501,3
15,147,0.421442,2
319,413,0.421444,4
362,403,0.42197,4
4,16,0.423141,2
88,347,0.423213,3
8,472,0.423549,4
252,342,0.431732,2
1,135,0.431855,2
372,438,0.435204,4
59,482,0.435635,3
34,66,0.440388,2
371,387,0.447668,4
297,337,0.449457,2
141,349,0.453231,3
60,92,0.454056,2
45,408,0.455929,3
192,218,0.457824,2
224,271,0.460403,2
265,374,0.46072,3
91,95,0.463131,2
316,456,0.463606,3
323,360,0.466954,3
326,332,0.473427,2
153,395,0.473693,3
43,392,0.476052,3
38,47,0.477252,2
188,366,0.479874,3
336,382,0.480615,3
377,433,0.480864,4
177,405,0.481345,3
370,416,0.48339,5
376,411,0.483843,4
442,478,0.491572,6
93,494,0.493585,4
235,386,0.494983,3
77,481,0.498414,5
182,423,0.498669,3
178,429,0.49904,3
268,445,0.505667,3
117,121,0.505827,2
119,385,0.508198,3
18,471,0.508977,3
102,124,0.51086,2
131,211,0.518399,2
149,510,0.521237,5
380,452,0.526788,6
391,476,0.530527,5
9,49,0.531505,2
333,443,0.533102,4
396,468,0.533512,5
404,484,0.533611,6
199,495,0.534695,3
23,31,0.536321,2
213,384,0.539677,3
240,307,0.542637,2
171,197,0.545363,2
444,448,0.54788,4
165,508,0.553894,4
273,440,0.554007,3
389,446,0.561879,5
103,483,0.565907,4
418,449,0.569954,5
187,201,0.572875,2
390,426,0.573039,4
212,421,0.575969,4
246,451,0.576849,4
255,434,0.579974,3
12,172,0.58008,2
424,453,0.582292,6
422,425,0.586845,6
463,502,0.589923,6
486,492,0.60075,5
54,520,0.602877,4
208,490,0.618352,5
358,475,0.619746,5
67,417,0.619828,3
455,493,0.6253,7
415,428,0.628484,4
462,531,0.629657,5
183,351,0.641473,3
439,513,0.648723,7
35,137,0.649718,2
473,524,0.652991,12
318,469,0.657444,5
450,526,0.664616,4
174,515,0.678897,4
419,527,0.679604,6
350,430,0.689627,5
230,497,0.693503,4
7,101,0.693778,2
109,503,0.700408,4
538,540,0.701042,10
412,516,0.703608,6
464,521,0.710173,5
39,512,0.71509,5
509,544,0.71539,9
500,537,0.727205,6
436,454,0.731019,4
496,533,0.740379,4
528,561,0.744535,17
488,523,0.744699,8
487,571,0.75441,10
202,541,0.756354,3
321,441,0.757368,3
460,504,0.760357,4
237,491,0.762498,3
85,466,0.77469,4
447,546,0.784692,4
399,505,0.78785,5
394,480,0.788911,6
168,549,0.798362,7
479,548,0.80122,8
474,570,0.803571,12
98,142,0.81988,2
19,111,0.82141,2
104,519,0.82405,4
133,477,0.825497,4
506,525,0.830425,8
470,556,0.834912,6
467,507,0.836407,7
83,539,0.83686,5
129,498,0.860004,3
70,529,0.864161,7
368,547,0.878398,8
532,552,0.882723,8
432,566,0.88294,8
551,555,0.888034,11
530,543,0.889497,7
215,558,0.899845,4
501,567,0.903262,6
534,536,0.911317,6
457,461,0.914104,4
545,559,0.938674,10
514,599,0.942322,10
560,585,0.948557,6
574,602,0.956471,17
465,489,0.957292,4
216,522,0.968128,3
568,569,0.968938,6
576,587,0.97879,9
485,578,0.983009,19
572,597,0.994313,11
542,550,1.00112,9
511,553,1.01846,11
458,565,1.02319,9
563,593,1.03157,6
257,299,1.03981,2
575,577,1.07024,10
554,598,1.07286,10
90,615,1.07334,5
437,614,1.07344,19
579,601,1.07427,15
588,611,1.07988,16
518,613,1.09375,8
81,604,1.11439,9
499,596,1.14569,11
200,589,1.16003,8
517,608,1.16851,9
535,620,1.17888,15
564,586,1.19892,8
591,634,1.2106,23
573,595,1.21143,9
581,603,1.21265,11
590,594,1.22108,12
562,619,1.24637,24
253,582,1.28211,4
580,635,1.29675,18
616,622,1.31866,14
189,607,1.32204,5
557,627,1.33564,15
600,633,1.36311,12
623,631,1.372,25
606,647,1.39908,12
605,637,1.40057,26
158,638,1.43394,9
612,640,1.45343,19
621,628,1.46093,14
610,626,1.48569,14
630,642,1.50602,27
618,641,1.51488,20
629,636,1.55135,28
639,656,1.63677,37
584,650,1.66088,28
617,624,1.69045,12
592,652,1.69325,28
190,658,1.69825,21
14,632,1.70276,9
643,659,1.74828,52
655,657,1.76804,41
583,648,1.76976,19
646,649,1.80841,26
609,651,1.81117,18
625,661,1.91569,30
654,665,1.97797,28
653,668,2.00731,28
660,671,2.10187,67
662,669,2.17381,38
169,645,2.19428,19
663,667,2.33493,69
664,676,2.59707,40
672,675,2.68624,66
673,677,3.01521,97
644,674,3.34373,71
670,678,3.71439,58
679,680,4.2554,163
666,681,4.67619,123
682,683,5.33344,221
684,685,7.30243,344
