row_id,cluster,silhouette,external_species
0,0,0.639563,0
1,0,0.612396,0
2,0,0.614814,0
3,0,0.390198,0
4,0,0.617069,0
5,-1,,0
6,0,0.633199,0
7,0,0.443809,0
8,0,0.571858,0
9,0,0.541104,0
10,0,0.611065,0
11,0,0.596116,0
12,0,0.620597,0
13,-1,,0
14,-1,,0
15,0,0.620902,0
16,0,0.628273,0
17,0,0.434607,0
18,0,0.601193,0
19,-1,,0
20,0,0.599419,0
21,0,0.634574,0
22,0,0.60949,0
23,0,0.620153,0
24,0,0.584952,0
25,0,0.605155,0
26,0,0.654731,0
27,0,0.643101,0
28,-1,,0
29,0,0.613422,0
30,0,0.565771,0
31,0,0.592504,0
32,0,0.648955,0
33,0,0.632815,0
34,0,0.548355,0
35,-1,,0
36,0,0.598609,0
37,0,0.626585,0
38,0,0.628041,0
39,0,0.493053,0
40,0,0.619295,0
41,0,0.600066,0
42,0,0.620069,0
43,0,0.455094,0
44,0,0.577703,0
45,0,0.48722,0
46,0,0.643828,0
47,0,0.608002,0
48,0,0.619822,0
49,-1,,0
50,0,0.649157,0
51,0,0.571919,0
52,0,0.600807,0
53,0,0.517037,0
54,0,0.57809,0
55,0,0.644267,0
56,0,0.638284,0
57,0,0.632597,0
58,0,0.541074,0
59,0,0.616714,0
60,0,0.57215,0
61,-1,,0
62,0,0.595895,0
63,0,0.589782,0
64,0,0.569819,0
65,0,0.593471,0
66,0,0.469492,0
67,0,0.605564,0
68,0,0.53959,0
69,0,0.457042,0
70,0,0.573424,0
71,0,0.635416,0
72,0,0.561619,0
73,0,0.450335,0
74,0,0.581808,0
75,0,0.506884,0
76,0,0.546735,0
77,0,0.614105,0
78,0,0.503778,0
79,0,0.579942,0
80,0,0.566425,0
81,0,0.251708,0
82,0,0.629431,0
83,0,0.5289,0
84,0,0.630359,0
85,-1,,0
86,0,0.606348,0
87,0,0.644967,0
88,0,0.62387,0
89,0,0.657696,0
90,0,0.507405,0
91,0,0.322738,0
92,0,0.556459,0
93,0,0.518125,0
94,0,0.605075,0
95,0,0.326954,0
96,0,0.649352,0
97,0,0.499228,0
98,-1,,0
99,0,0.559114,0
100,0,0.577365,0
101,0,0.334731,0
102,0,0.518065,0
103,0,0.552881,0
104,0,0.605448,0
105,0,0.657982,0
106,0,0.501745,0
107,0,0.600322,0
108,0,0.593339,0
109,0,0.331261,0
110,0,0.427975,0
111,0,0.410707,0
112,0,0.618597,0
113,0,0.50624,0
114,-1,,0
115,0,0.53089,0
116,0,0.578602,0
117,-1,,0
118,0,0.575939,0
119,0,0.653002,0
120,0,0.594545,0
121,0,0.578693,0
122,0,0.570968,0
123,0,0.507102,0
124,0,0.489061,0
125,0,0.550277,0
126,0,0.630143,0
127,0,0.504106,0
128,0,0.58809,0
129,-1,,0
130,0,0.646327,0
131,0,0.584868,0
132,0,0.627118,0
133,0,0.428135,0
134,0,0.6413,0
135,0,0.586947,0
136,0,0.589171,0
137,0,0.526747,0
138,0,0.559612,0
139,0,0.527249,0
140,0,0.585676,0
141,0,0.616667,0
142,-1,,0
143,0,0.57262,0
144,0,0.553237,0
145,0,0.659169,0
146,0,0.574513,0
147,0,0.639807,0
148,0,0.585965,0
149,0,0.619454,0
150,0,0.574785,0
151,0,0.501751,0
152,0,0.521956,1
153,0,0.392327,1
154,0,0.393572,1
155,0,0.587035,1
156,0,0.324047,1
157,0,0.431965,1
158,-1,,1
159,0,0.302173,1
160,0,0.465965,1
161,0,0.362917,1
162,0,0.476616,1
163,0,0.372229,1
164,0,0.476201,1
165,0,0.143363,1
166,0,0.488932,1
167,0,0.302306,1
168,0,0.419653,1
169,-1,,1
170,0,0.557588,1
171,-1,,1
172,0,0.587344,1
173,0,0.442645,1
174,0,0.517565,1
175,0,0.405222,1
176,0,0.497432,1
177,0,0.251158,1
178,0,0.348044,1
179,0,0.368052,1
180,0,0.510464,1
181,-1,,1
182,0,0.563279,1
183,-1,,1
184,0,0.553483,1
185,0,0.199987,1
186,0,0.420784,1
187,0,0.211966,1
188,0,0.448053,1
189,-1,,1
190,-1,,1
191,-1,,1
192,0,0.221769,1
193,0,0.516894,1
194,0,0.392134,1
195,0,0.441841,1
196,0,0.316611,1
197,0,0.103711,1
198,0,0.418214,1
199,-1,,1
200,-1,,1
201,0,0.272121,1
202,0,0.264272,1
203,0,0.265257,1
204,0,0.489358,1
205,0,0.273746,1
206,0,0.600596,1
207,0,0.337106,1
208,0,0.469173,1
209,0,0.319669,1
210,0,0.307462,1
211,-1,,1
212,0,0.205137,1
213,0,0.393431,1
214,0,0.430589,1
215,-1,,1
216,-1,,1
217,0,0.400423,1
218,0,0.0958112,1
219,0,0.358681,1
220,1,0.581118,2
221,1,0.611455,2
222,1,0.580555,2
223,1,0.674963,2
224,1,0.705102,2
225,1,0.59655,2
226,1,0.6437,2
227,1,0.707458,2
228,1,0.492881,2
229,1,0.68911,2
230,1,0.503689,2
231,1,0.642122,2
232,1,0.643224,2
233,1,0.644279,2
234,1,0.476082,2
235,1,0.641334,2
236,1,0.396433,2
237,1,0.59883,2
238,1,0.632036,2
239,1,0.713297,2
240,1,0.672381,2
241,1,0.688166,2
242,1,0.592173,2
243,1,0.645368,2
244,1,0.595446,2
245,1,0.695257,2
246,1,0.485962,2
247,1,0.6786,2
248,1,0.617978,2
249,1,0.690747,2
250,1,0.708002,2
251,1,0.534549,2
252,1,0.602593,2
253,-1,,2
254,1,0.718158,2
255,1,0.646715,2
256,1,0.593876,2
257,-1,,2
258,1,0.488547,2
259,1,0.595735,2
260,1,0.322299,2
261,1,0.649576,2
262,1,0.527819,2
263,1,0.662378,2
264,1,0.662308,2
265,1,0.644063,2
266,1,0.499023,2
267,1,0.661302,2
268,1,0.641578,2
269,1,0.631089,2
270,1,0.657321,2
271,1,0.710604,2
272,1,0.542487,2
273,1,0.68025,2
274,1,0.709498,2
275,1,0.66654,2
276,1,0.46585,2
277,1,0.693482,2
278,1,0.464707,2
279,1,0.682365,2
280,1,0.470604,2
281,1,0.708011,2
282,1,0.597186,2
283,1,0.5785,2
284,1,0.675341,2
285,1,0.579497,2
286,1,0.662007,2
287,1,0.616551,2
288,1,0.622842,2
289,1,0.684779,2
290,1,0.679974,2
291,1,0.675246,2
292,1,0.694125,2
293,1,0.716681,2
294,1,0.664643,2
295,1,0.620638,2
296,1,0.608633,2
297,1,0.589735,2
298,1,0.66036,2
299,1,0.566703,2
300,1,0.632238,2
301,1,0.643525,2
302,1,0.661994,2
303,1,0.669239,2
304,1,0.636533,2
305,1,0.543122,2
306,1,0.600739,2
307,1,0.677516,2
308,1,0.678513,2
309,1,0.552322,2
310,1,0.712079,2
311,1,0.546342,2
312,1,0.651999,2
313,1,0.650296,2
314,1,0.652286,2
315,1,0.658423,2
316,1,0.643353,2
317,1,0.700647,2
318,1,0.504832,2
319,1,0.609084,2
320,1,0.69759,2
321,-1,,2
322,1,0.674632,2
323,1,0.67881,2
324,1,0.677157,2
325,1,0.627455,2
326,1,0.479804,2
327,1,0.609826,2
328,1,0.518608,2
329,1,0.636582,2
330,1,0.671618,2
331,1,0.614633,2
332,1,0.544815,2
333,1,0.605474,2
334,1,0.6081,2
335,-1,,2
336,1,0.605118,2
337,1,0.608637,2
338,1,0.684498,2
339,0,0.390198,2
340,1,0.700689,2
341,1,0.656977,2
342,1,0.664423,2
343,1,0.61802,2
