iteration,log_likelihood
1,-710.58277425746473
2,-709.80929883402496
3,-709.69482547886764
4,-709.63634197650265
5,-709.60057416113341
6,-709.5758233365151
7,-709.55750712002657
8,-709.54354961999127
9,-709.53282325996145
10,-709.52459374263981
11,-709.51831453804232
12,-709.51354985981925
13,-709.50994540425586
14,-709.50721539204596
15,-709.5051338117139
16,-709.50352597543122
17,-709.50225983092332
18,-709.50123752305262
19,-709.50038777324039
20,-709.49965941157745
21,-709.49901614925182
22,-709.49843251091784
23,-709.49789076200636
24,-709.49737864119356
25,-709.49688771789749
26,-709.49641222024718
27,-709.4959482088741
28,-709.49549300027752
29,-709.49504476766606
30,-709.49460226648114
31,-709.49416464672515
32,-709.4937313251985
33,-709.49330189884756
34,-709.49287608615509
35,-709.49245368758864
36,-709.49203455894792
37,-709.49161859341564
38,-709.4912057094823
39,-709.49079584280821
40,-709.49038894074579
