row_id,cluster,silhouette,external_species
0,3,0.0932993,0
1,3,0.24115,0
2,3,0.229842,0
3,2,0.13781,0
4,3,-0.0229658,0
5,2,0.293806,0
6,3,0.311376,0
7,2,0.465099,0
8,3,0.212567,0
9,2,0.462061,0
10,3,0.445336,0
11,3,0.330638,0
12,3,0.385594,0
13,2,0.335036,0
14,2,0.332483,0
15,3,0.278735,0
16,3,-0.0493552,0
17,2,0.378416,0
18,3,0.286734,0
19,2,0.0237555,0
20,3,0.288783,0
21,3,0.194202,0
22,2,0.0868738,0
23,3,0.060845,0
24,3,0.293383,0
25,3,0.00787699,0
26,3,0.163859,0
27,3,0.3644,0
28,3,0.279209,0
29,3,-0.079619,0
30,3,0.411988,0
31,3,0.169692,0
32,3,0.37664,0
33,2,0.134246,0
34,3,0.341156,0
35,2,0.435685,0
36,2,0.375355,0
37,3,0.162529,0
38,3,0.178021,0
39,2,0.334726,0
40,3,0.387478,0
41,2,0.270137,0
42,3,0.322837,0
43,2,0.312816,0
44,3,0.448061,0
45,2,0.39923,0
46,3,0.13171,0
47,3,0.289775,0
48,3,0.3138,0
49,2,0.379551,0
50,3,0.347218,0
51,2,0.372993,0
52,3,0.29734,0
53,2,0.463312,0
54,3,0.341236,0
55,3,-0.131912,0
56,3,0.361164,0
57,2,0.257277,0
58,3,0.422196,0
59,2,0.189281,0
60,3,0.431631,0
61,2,0.426126,0
62,3,0.382326,0
63,2,0.264883,0
64,3,0.427619,0
65,2,0.165969,0
66,3,0.332316,0
67,2,0.360358,0
68,3,0.414465,0
69,2,0.493101,0
70,3,0.0658631,0
71,2,0.138769,0
72,3,0.225165,0
73,2,0.00546597,0
74,3,0.260004,0
75,2,0.414374,0
76,3,0.254223,0
77,2,0.127406,0
78,3,0.369027,0
79,2,0.43199,0
80,3,0.384892,0
81,2,0.307888,0
82,3,-0.00515273,0
83,2,0.27173,0
84,3,0.349038,0
85,2,0.301677,0
86,2,0.171482,0
87,3,0.184802,0
88,2,0.26471,0
89,3,0.00104977,0
90,3,0.0543714,0
91,2,0.345076,0
92,3,0.362049,0
93,2,0.228326,0
94,3,0.420564,0
95,2,0.385751,0
96,3,0.0122733,0
97,2,0.425509,0
98,3,0.354347,0
99,2,0.339041,0
100,3,0.168691,0
101,2,0.403032,0
102,3,0.426577,0
103,2,0.402777,0
104,3,0.26126,0
105,3,0.105717,0
106,3,0.0891576,0
107,2,0.340244,0
108,3,0.443095,0
109,2,0.348477,0
110,3,0.159636,0
111,2,0.14459,0
112,3,0.3336,0
113,2,0.49397,0
114,2,0.391962,0
115,2,0.348735,0
116,3,0.435934,0
117,2,0.33353,0
118,3,0.400536,0
119,3,0.171348,0
120,3,0.434139,0
121,2,0.201149,0
122,3,0.361661,0
