cluster,feature,mean_original_units
0,bill_length_mm,50.9138
0,bill_depth_mm,16.2138
0,flipper_length_mm,225.931
0,body_mass_g,5627.59
1,bill_length_mm,45.2
1,bill_depth_mm,14.0902
1,flipper_length_mm,212
1,body_mass_g,4612.75
2,bill_length_mm,40.7651
2,bill_depth_mm,19.3111
2,flipper_length_mm,194.365
2,body_mass_g,4123.02
3,bill_length_mm,39.7617
3,bill_depth_mm,17.63
3,flipper_length_mm,187.858
3,body_mass_g,3425.83
4,bill_length_mm,47.9395
4,bill_depth_mm,15.2093
4,flipper_length_mm,217.442
4,body_mass_g,5253.49
5,bill_length_mm,51.0722
5,bill_depth_mm,19.1861
5,flipper_length_mm,200.306
5,body_mass_g,3938.89
