row_id,partition
281,train
288,train
146,train
29,train
290,train
168,train
198,train
37,train
128,train
307,train
232,train
84,train
26,train
53,train
148,train
111,train
157,train
8,train
321,train
224,train
272,train
332,train
308,train
97,train
311,train
38,train
135,train
133,train
315,train
170,train
101,train
330,train
178,train
82,train
150,train
255,train
316,train
264,train
62,train
190,train
137,train
139,train
183,train
44,train
270,train
176,train
199,train
50,train
35,train
80,train
215,train
257,train
31,train
114,train
173,train
333,train
284,train
259,train
294,train
219,train
52,train
60,train
313,train
102,train
32,train
253,train
287,train
48,train
174,train
251,train
163,train
68,train
305,train
120,train
209,train
335,train
175,train
236,train
138,train
266,train
15,train
164,train
275,train
210,train
286,train
49,train
5,train
34,train
249,train
70,train
252,train
265,train
9,train
240,train
187,train
56,train
273,train
131,train
188,train
193,train
71,train
13,train
277,train
27,train
336,train
192,train
66,train
113,train
328,train
110,train
340,train
282,train
312,train
140,train
3,train
1,train
165,train
65,train
278,train
180,train
230,train
28,train
39,train
185,train
334,train
233,train
132,train
134,train
303,train
226,train
301,train
151,train
136,train
246,train
25,train
88,train
63,train
195,train
182,train
166,train
12,train
343,train
75,train
177,train
96,train
6,train
326,train
250,train
69,train
77,train
92,train
99,train
0,train
11,train
23,train
263,train
10,train
258,train
204,train
218,train
64,train
153,train
241,train
54,train
51,train
109,train
181,train
145,train
261,train
106,train
202,train
83,train
289,train
40,train
2,train
16,train
81,train
7,train
59,train
201,train
73,train
285,train
323,train
223,train
126,train
205,train
325,train
76,train
18,train
155,train
212,train
169,train
331,train
162,train
295,train
191,train
208,train
149,train
93,train
214,train
203,train
238,train
324,train
220,train
91,train
314,train
248,train
299,train
79,train
296,train
122,train
186,train
298,train
283,train
271,train
268,train
14,train
280,train
118,train
300,train
87,train
217,train
103,train
22,train
160,train
234,train
338,train
179,train
342,train
45,train
85,train
222,train
317,train
119,train
61,train
304,train
46,train
167,train
292,train
302,train
206,train
221,train
141,train
55,train
112,train
105,train
254,train
42,train
235,train
90,train
339,train
156,train
36,train
20,train
127,train
41,train
231,train
147,train
172,train
184,train
78,train
116,train
256,train
142,train
154,train
30,train
211,train
33,train
129,train
98,train
337,train
17,train
309,train
293,train
322,train
197,test
47,test
320,test
245,test
319,test
107,test
89,test
227,test
269,test
108,test
329,test
123,test
244,test
310,test
143,test
274,test
318,test
171,test
276,test
58,test
200,test
24,test
196,test
125,test
104,test
4,test
74,test
229,test
341,test
21,test
262,test
100,test
19,test
94,test
207,test
130,test
237,test
67,test
121,test
225,test
291,test
279,test
95,test
327,test
297,test
159,test
43,test
86,test
115,test
239,test
306,test
243,test
267,test
158,test
242,test
72,test
161,test
124,test
189,test
57,test
247,test
152,test
228,test
216,test
117,test
194,test
213,test
144,test
260,test
