row_id,partition
281,train
288,train
146,train
29,train
290,train
168,train
198,train
37,train
128,train
307,train
232,train
84,train
26,train
53,train
148,train
111,train
157,train
8,train
321,train
224,train
272,train
332,train
308,train
97,train
311,train
38,train
135,train
133,train
315,train
170,train
101,train
330,train
178,train
82,train
150,train
255,train
316,train
264,train
62,train
190,train
137,train
139,train
183,train
44,train
270,train
176,train
199,train
50,train
35,train
80,train
215,train
257,train
31,train
114,train
173,train
333,train
284,train
259,train
294,train
219,train
52,train
60,train
313,train
102,train
32,train
253,train
287,train
48,train
174,train
251,train
163,train
68,train
305,train
120,train
209,train
335,train
175,train
236,train
138,train
266,train
15,train
164,train
275,train
210,train
286,train
49,train
5,train
34,train
249,train
70,train
252,train
265,train
9,train
240,train
187,train
56,train
273,train
131,train
188,train
193,train
71,train
13,train
277,train
27,train
336,train
192,train
66,train
113,train
328,train
110,train
340,train
282,train
312,train
140,train
3,train
1,train
165,train
65,train
278,train
180,train
230,train
28,train
39,train
185,train
334,train
233,train
132,train
134,train
303,train
226,train
301,train
151,train
136,train
246,train
25,train
88,train
63,train
195,train
182,train
166,train
12,train
343,train
75,train
177,train
96,train
6,train
326,train
250,train
69,train
77,train
92,train
99,train
0,train
11,train
23,train
263,train
10,train
258,train
204,train
218,train
64,train
153,train
241,train
54,train
51,train
109,train
181,train
145,train
261,train
106,train
202,train
83,train
289,train
40,train
2,train
16,train
81,train
7,train
59,train
201,train
73,train
285,train
323,train
223,train
126,train
205,train
325,train
76,train
18,train
155,train
212,train
169,train
331,train
162,train
295,train
191,train
208,train
149,train
93,train
214,train
203,train
238,train
324,train
220,train
91,train
314,train
248,validation
299,validation
79,validation
296,validation
122,validation
186,validation
298,validation
283,validation
271,validation
268,validation
14,validation
280,validation
118,validation
300,validation
87,validation
217,validation
103,validation
22,validation
160,validation
234,validation
338,validation
179,validation
342,validation
45,validation
85,validation
222,validation
317,validation
119,validation
61,validation
304,validation
46,validation
167,validation
292,validation
302,validation
206,validation
221,validation
141,validation
55,validation
112,validation
105,validation
254,validation
42,validation
235,validation
90,validation
339,validation
156,validation
36,validation
20,validation
127,validation
41,validation
231,validation
147,validation
172,validation
184,validation
78,validation
116,validation
256,validation
142,validation
154,validation
30,validation
211,validation
33,validation
129,validation
98,validation
337,validation
17,validation
309,validation
293,validation
322,validation
197,test
47,test
320,test
245,test
319,test
107,test
89,test
227,test
269,test
108,test
329,test
123,test
244,test
310,test
143,test
274,test
318,test
171,test
276,test
58,test
200,test
24,test
196,test
125,test
104,test
4,test
74,test
229,test
341,test
21,test
262,test
100,test
19,test
94,test
207,test
130,test
237,test
67,test
121,test
225,test
291,test
279,test
95,test
327,test
297,test
159,test
43,test
86,test
115,test
239,test
306,test
243,test
267,test
158,test
242,test
72,test
161,test
124,test
189,test
57,test
247,test
152,test
228,test
216,test
117,test
194,test
213,test
144,test
260,test
