month_index,actual,naive,seasonal_naive,mean
115,505,491,467,239.94782608695652
116,404,505,404,242.23275862068965
117,359,404,347,243.61538461538461
118,310,359,305,244.59322033898306
119,337,310,336,245.14285714285714
120,360,337,340,245.90833333333333
121,342,360,318,246.85123966942149
122,406,342,362,247.63114754098362
123,396,406,348,248.91869918699186
124,420,396,363,250.10483870967741
125,472,420,435,251.464
126,548,472,491,253.21428571428572
127,559,548,505,255.53543307086613
128,463,559,404,257.90625
129,407,463,359,259.49612403100775
130,362,407,310,260.6307692307692
131,405,362,337,261.40458015267177
132,417,405,360,262.49242424242425
133,391,417,342,263.65413533834584
134,419,391,406,264.6044776119403
135,461,419,396,265.74814814814818
136,472,461,420,267.18382352941177
137,535,472,472,268.67883211678833
138,622,535,548,270.60869565217394
139,606,622,559,273.136690647482
140,508,606,463,275.51428571428573
141,461,508,407,277.16312056737587
142,390,461,362,278.45774647887322
143,432,390,405,279.23776223776224
