month_index,split,actual,fitted
12,train,115,116.01670678418625
13,train,126,124.05938145786419
14,train,141,140.49289453931186
15,train,135,150.5969145925115
16,train,125,151.42762795693849
17,train,149,157.83424258352528
18,train,170,168.90748488487225
19,train,170,171.76764185997251
20,train,158,161.3190109736417
21,train,133,143.98384720187369
22,train,114,125.17312785118406
23,train,140,124.24415862129959
24,train,145,130.48378123003414
25,train,150,143.73254015500558
26,train,178,159.55623206115587
27,train,163,171.22576102035492
28,train,172,169.4909476647926
29,train,178,185.19300432538353
30,train,199,196.58992981544981
31,train,199,198.41622254148095
32,train,184,187.96759165515016
33,train,162,165.94920659681816
34,train,146,145.79260287673404
35,train,166,151.67143062418518
36,train,171,160.43051126353055
37,train,180,170.40625129825543
38,train,193,193.61305949300385
39,train,181,197.2262832453863
40,train,183,204.68186633762906
41,train,218,209.9540948681811
42,train,230,228.47631147914379
43,train,242,229.63220042009931
44,train,209,220.3172039577974
45,train,191,195.78011254086044
46,train,172,177.09209840382186
47,train,194,179.49358496690996
48,train,196,188.59948244566186
49,train,196,199.8636699470552
50,train,236,213.24109978476875
51,train,235,224.80981204195578
52,train,229,233.25492929997975
53,train,243,251.23637469398187
54,train,264,259.45566062266096
55,train,272,267.59824351828087
56,train,237,248.9767316636736
57,train,211,225.64303007084112
58,train,180,203.29943320106631
59,train,201,203.10279174813417
60,train,204,209.79568388343588
61,train,188,216.86940204506033
62,train,235,239.32903703732759
63,train,227,257.16443396957629
64,train,234,260.29013316494917
65,train,264,270.99445814055423
66,train,302,288.50604039618531
67,train,293,300.02793290729915
68,train,259,276.99413175326771
69,train,229,249.03903662269778
70,train,203,219.8578266126992
71,train,229,220.24119017217635
72,train,242,229.00715193571861
73,train,233,231.15463241852331
74,train,267,259.42204657413635
75,train,269,270.86870904662811
76,train,270,282.18822743791452
77,train,315,299.71859872839968
78,train,364,329.07614235058213
79,train,347,336.01766373828087
80,train,312,312.02722456954547
81,train,274,281.40080546078127
82,train,237,252.52597958595948
83,train,278,252.03497764015376
84,train,284,268.94325253707859
85,train,277,273.55180386376611
86,train,317,295.59142605445271
87,train,313,313.59100743163435
88,train,318,320.76936712263284
89,train,374,346.31436577665653
90,train,413,384.1255872235912
91,train,405,385.19874683816602
92,train,355,362.48194636065313
93,train,306,324.57447280435093
94,train,271,286.61416317479012
95,train,306,293.33147653130794
96,train,315,305.38077887139207
97,train,301,311.39953259439704
98,train,356,334.72291655060548
99,train,348,353.28549874170022
100,train,355,362.23942186101351
101,train,422,393.44252915384959
102,train,465,429.34316346146898
103,train,467,436.47898031203511
104,train,404,409.26657149862473
105,train,347,363.1904092081503
106,train,305,323.38304214410857
107,train,336,324.89551638838111
108,train,340,336.96870405115845
109,train,318,338.04342757475877
110,train,362,366.32411051172335
111,train,348,379.61973098670001
112,train,363,387.36059802456907
113,train,435,425.66432279351977
114,train,491,465.27453617450294
115,test,505,480.95252905448376
116,test,404,451.25670406859206
117,test,359,392.10183124153332
118,test,310,349.81016343987125
119,test,337,348.24266911771645
120,test,360,356.435212138
121,test,342,358.30736978756448
122,test,406,383.34888026936159
123,test,396,399.1371263571998
124,test,420,412.96951650994652
125,test,472,456.27939408217458
126,test,548,497.56012530527346
127,test,559,523.13745055436084
128,test,463,475.26515496697573
129,test,407,423.09258524848093
130,test,362,374.81643672919449
131,test,405,371.70312658962911
132,test,417,393.55169626881377
133,test,391,395.43990783287234
134,test,419,427.53442710731099
135,test,461,435.47114709940888
136,test,472,465.12572120205601
137,test,535,498.28666374377116
138,test,622,551.43724165611445
139,test,606,579.03737560995967
140,test,508,527.22899528840867
141,test,461,467.61777294659385
142,test,390,423.51508956857992
143,test,432,421.97911336532115
