month_index,lag_1,lag_2,lag_12,month_index,season_sin,season_cos,target
12,118,104,112,12,-2.4492935982947064e-16,1,115
13,115,118,118,13,0.5,0.8660254037844386,126
14,126,115,132,14,0.86602540378443837,0.50000000000000044,141
15,141,126,129,15,1,1.1943401194869635e-15,135
16,135,141,121,16,0.86602540378443915,-0.49999999999999922,125
17,125,135,135,17,0.49999999999999978,-0.86602540378443882,149
18,149,125,148,18,3.6739403974420594e-16,-1,170
19,170,149,148,19,-0.49999999999999917,-0.86602540378443915,170
20,170,170,136,20,-0.86602540378443871,-0.49999999999999983,158
21,158,170,119,21,-1,-4.2862637970157361e-16,133
22,133,158,104,22,-0.86602540378443915,0.49999999999999911,114
23,114,133,118,23,-0.50000000000000144,0.86602540378443782,140
24,140,114,115,24,-4.8985871965894128e-16,1,145
25,145,140,126,25,0.50000000000000056,0.86602540378443826,150
26,150,145,141,26,0.86602540378443871,0.49999999999999994,178
27,178,150,135,27,1,5.5109105961630896e-16,163
28,163,178,125,28,0.86602540378443926,-0.499999999999999,172
29,172,163,149,29,0.5,-0.8660254037844386,178
30,178,172,170,30,2.388680238973927e-15,-1,199
31,199,178,170,31,-0.49999999999999895,-0.86602540378443926,199
32,199,199,158,32,-0.86602540378443771,-0.50000000000000155,184
33,184,199,133,33,-1,1.1028010998692062e-15,162
34,162,184,114,34,-0.86602540378443837,0.50000000000000044,146
35,146,162,140,35,-0.50000000000000011,0.8660254037844386,166
36,166,146,145,36,-7.3478807948841188e-16,1,171
37,171,166,150,37,0.49999999999999883,0.86602540378443926,180
38,180,171,178,38,0.86602540378443771,0.50000000000000167,193
39,193,180,163,39,1,2.5723772588460301e-15,181
40,181,193,172,40,0.86602540378443849,-0.50000000000000033,183
41,183,181,178,41,0.50000000000000333,-0.86602540378443671,218
42,218,183,199,42,8.5725275940314722e-16,-1,230
43,230,218,199,43,-0.49999999999999872,-0.86602540378443937,242
44,242,230,184,44,-0.8660254037844376,-0.50000000000000178,209
45,209,242,162,45,-1,8.5787174003973557e-16,191
46,191,209,146,46,-0.86602540378444026,0.49999999999999711,172
47,172,191,166,47,-0.50000000000000033,0.86602540378443849,194
48,194,172,171,48,-9.7971743931788257e-16,1,196
49,196,194,180,49,0.49999999999999861,0.86602540378443948,196
50,196,196,193,50,0.86602540378443926,0.49999999999999883,236
51,236,196,181,51,1,2.8173066186755008e-15,235
52,235,236,183,52,0.8660254037844386,-0.50000000000000011,229
53,229,235,218,53,0.50000000000000044,-0.86602540378443837,243
54,243,229,230,54,1.1021821192326179e-15,-1,264
55,264,243,242,55,-0.50000000000000155,-0.86602540378443771,272
56,272,264,209,56,-0.86602540378443749,-0.500000000000002,237
57,237,272,191,57,-1,-2.9397712985902359e-15,211
58,211,237,172,58,-0.8660254037844386,0.5,180
59,180,211,194,59,-0.50000000000000056,0.86602540378443837,201
60,201,180,196,60,-4.777360477947854e-15,1,204
61,204,201,196,61,0.49999999999999839,0.8660254037844396,188
62,188,204,236,62,0.86602540378443738,0.50000000000000211,235
63,235,188,235,63,1,-4.9047770029552963e-16,227
64,227,235,229,64,0.86602540378444048,-0.49999999999999684,234
65,234,227,243,65,0.50000000000000067,-0.86602540378443826,264
66,264,234,264,66,-2.2056021997384123e-15,-1,302
67,302,264,272,67,-0.49999999999999828,-0.8660254037844396,293
68,293,302,237,68,-0.86602540378443915,-0.49999999999999917,259
69,259,293,211,69,-1,-3.1847006584197066e-15,229
70,229,259,180,70,-0.86602540378443882,0.49999999999999978,203
71,203,229,201,71,-0.49999999999999767,0.86602540378444004,229
72,229,203,204,72,-1.4695761589768238e-15,1,242
73,242,229,188,73,0.49999999999999512,0.86602540378444148,233
74,233,242,235,74,0.86602540378443726,0.50000000000000233,267
75,267,233,227,75,1,-2.4554834046605899e-16,269
76,269,267,234,76,0.86602540378444059,-0.49999999999999661,270
77,270,269,264,77,0.50000000000000089,-0.86602540378443815,315
78,315,270,302,78,5.1447545176920602e-15,-1,364
79,364,315,293,79,-0.49999999999999811,-0.86602540378443971,347
80,347,364,259,80,-0.86602540378443904,-0.49999999999999933,312
81,312,347,229,81,-1,-3.4296300182491773e-15,274
82,274,312,203,82,-0.86602540378444248,0.49999999999999339,237
83,237,274,229,83,-0.49999999999999789,0.86602540378443982,278
84,278,237,242,84,-1.7145055188062944e-15,1,284
85,284,278,233,85,0.50000000000000111,0.86602540378443804,277
86,277,284,267,86,0.86602540378443715,0.50000000000000255,317
87,317,277,269,87,1,7.1048083769644134e-15,313
88,313,317,270,88,0.86602540378444071,-0.49999999999999639,318
89,318,313,315,89,0.50000000000000111,-0.86602540378443804,374
90,374,318,364,90,-1.7157434800794711e-15,-1,413
91,413,374,347,91,-0.49999999999999789,-0.86602540378443982,405
92,405,413,312,92,-0.86602540378443538,-0.50000000000000577,355
93,355,405,274,93,-1,-3.6745593780786476e-15,306
94,306,355,237,94,-0.86602540378443904,0.49999999999999933,271
95,271,306,278,95,-0.49999999999999811,0.86602540378443971,306
96,306,271,284,96,-1.9594348786357651e-15,1,315
97,315,306,277,97,0.49999999999999467,0.86602540378444171,301
98,301,315,317,98,0.86602540378443704,0.50000000000000278,356
99,356,301,313,99,1,2.4431037919288229e-16,348
100,348,356,318,100,0.86602540378443726,-0.50000000000000233,355
101,355,348,374,101,0.50000000000000122,-0.86602540378443793,422
102,422,355,413,102,5.6346132373510016e-15,-1,465
103,465,422,405,103,-0.49999999999999767,-0.86602540378444004,467
104,467,465,355,104,-0.86602540378443882,-0.49999999999999978,404
105,404,467,306,105,-1,3.1859386196928831e-15,347
