candidate,origin,validation_end,rmse,mae
seasonal_naive,48,60,31.278320500521339,28
seasonal_naive,60,72,19.716744153130353,16.75
seasonal_naive,72,84,45.921128034925275,45.083333333333336
seasonal_naive,84,96,45.183883557451466,44.25
seasonal_naive,96,108,41.474892003074181,40.166666666666664
lag_alpha_0,48,60,14.353154055612301,11.636653716521595
lag_alpha_0,60,72,23.276871718522944,18.864730316791086
lag_alpha_0,72,84,20.221412638009689,17.056622227977979
lag_alpha_0,84,96,12.014865650565911,9.6699753370766697
lag_alpha_0,96,108,9.9886798455847412,9.0056067982097598
lag_alpha_0.1,48,60,13.510345822367325,11.241487983774386
lag_alpha_0.1,60,72,18.580497254830597,15.584069173518413
lag_alpha_0.1,72,84,22.577211044257613,18.159919987172781
lag_alpha_0.1,84,96,18.416825462377819,14.921848289747237
lag_alpha_0.1,96,108,18.078516083627459,15.385136097863054
lag_alpha_10,48,60,47.46247844195026,41.500862660631306
lag_alpha_10,60,72,48.117245637062005,39.679340850737823
lag_alpha_10,72,84,77.069398267682146,69.252434032386432
lag_alpha_10,84,96,97.156788822709515,89.37461315422604
lag_alpha_10,96,108,114.48237959750784,104.79097625575919
