month_index,actual,one_step_forecast,level,trend,season
0,112,108.083,129.708,1.27917,-19.0792
1,118,119.821,130.077,1.18812,-11.4398
2,132,134.599,129.966,1.0582,2.94355
3,129,129.857,130.595,1.01532,-1.29529
4,121,121.444,131.389,0.993122,-10.2333
5,135,141.215,129.274,0.682364,7.90106
6,148,155.79,126.062,0.292867,24.6648
7,148,152.188,124.261,0.0834752,25.2052
8,136,138.177,123.255,-0.0253945,13.5067
9,119,116.063,124.698,0.12144,-6.72616
10,104,100.653,126.493,0.288786,-23.6646
11,118,122.615,124.474,0.0580192,-4.85897
12,115,105.453,129.306,0.53536,-17.6471
13,126,118.401,133.64,0.915294,-10.3
14,141,137.499,136.306,1.09033,3.46866
15,135,136.101,136.846,1.03527,-1.46046
16,125,127.648,136.557,0.902879,-10.6305
17,149,145.361,139.28,1.08482,8.44689
18,170,165.029,142.85,1.33336,25.4105
19,170,169.388,144.489,1.36395,25.2969
20,158,159.36,145.173,1.29597,13.3028
21,133,139.743,143.098,0.958822,-7.7376
22,114,120.392,140.861,0.639232,-24.6234
23,140,136.641,143.179,0.807192,-4.35509
24,145,126.339,153.317,1.74022,-14.8481
25,150,144.757,157.679,2.00237,-9.51355
26,178,163.15,167.106,2.74489,5.69622
27,163,168.391,167.156,2.47536,-2.26904
28,172,159.001,176.131,3.12533,-8.68055
29,178,187.703,174.405,2.64018,6.99144
30,199,202.455,175.317,2.46742,24.8922
31,199,203.081,175.744,2.26334,24.6847
32,184,191.31,174.352,1.89784,12.2063
33,162,168.512,172.994,1.57222,-8.71446
34,146,149.943,172.595,1.37509,-25.2148
35,166,169.615,172.162,1.19435,-4.8973
36,171,158.509,179.602,1.81892,-12.9744
37,180,171.908,185.467,2.22353,-8.29972
38,193,193.387,187.497,2.20417,5.63814
39,181,187.433,186.485,1.88254,-3.23392
40,183,179.687,190.024,2.04818,-8.18364
41,218,199.064,201.54,2.99499,9.83187
42,230,229.428,204.822,3.02361,24.978
43,242,232.53,212.58,3.49711,26.1052
44,209,228.284,206.436,2.53293,9.31373
45,191,200.254,204.341,2.07023,-10.1026
46,172,181.197,201.813,1.61038,-26.5943
47,194,198.526,201.16,1.38406,-5.57624
48,196,189.57,205.759,1.70556,-12.0099
49,196,199.165,205.882,1.54729,-8.77451
50,236,213.068,218.896,2.6939,9.07797
51,235,218.356,229.912,3.52611,-0.737277
52,229,225.254,235.311,3.7134,-7.62178
53,243,248.856,236.096,3.4206,8.95346
54,264,264.495,239.269,3.39586,24.9038
55,272,268.77,244.28,3.55734,26.5896
56,237,257.151,237.762,2.54979,6.29107
57,211,230.209,230.707,1.58933,-12.9839
58,180,205.702,219.445,0.30423,-30.4496
59,201,214.173,213.163,-0.354438,-7.55225
60,204,200.799,214.409,-0.194368,-11.5297
61,188,205.44,205.495,-1.06638,-11.3906
62,235,213.506,215.175,0.00830407,12.302
63,227,214.446,221.46,0.635995,1.1458
64,234,214.475,231.859,1.61227,-4.69297
65,264,242.425,244.259,2.69103,12.1897
66,302,271.854,262.023,4.19834,29.4257
67,293,292.811,266.316,4.20778,26.618
68,259,276.815,261.616,3.31705,3.61886
69,229,251.949,253.459,2.16958,-16.4263
70,203,225.179,244.539,1.06065,-33.7764
71,229,238.047,241.076,0.608281,-8.90935
72,242,230.155,247.607,1.20056,-9.75286
73,233,237.417,246.599,0.979709,-12.0531
74,267,259.881,251.138,1.33567,13.3699
75,269,253.62,260.164,2.10468,3.45282
76,270,257.576,268.481,2.72589,-2.82934
77,315,283.397,287.009,4.30606,16.9303
78,364,320.74,312.944,6.46905,35.9147
79,347,346.031,319.898,6.51747,26.7633
80,312,330.034,317.398,5.61577,0.91375
81,274,306.588,306.72,3.98639,-21.3145
82,237,276.93,290.741,1.98989,-39.7659
83,278,283.822,289.82,1.69878,-9.78265
84,284,281.766,292.636,1.81047,-9.4178
85,277,282.393,291.75,1.5408,-12.8621
86,317,306.661,298.46,2.05778,14.9208
87,313,303.971,305.033,2.50923,4.80718
88,318,304.713,314.186,3.1736,-0.836222
89,374,334.289,337.214,5.15913,22.8868
90,413,378.288,359.729,6.89471,41.1215
91,405,393.387,372.43,7.47534,28.5052
92,355,380.82,366.996,6.18437,-2.95918
93,306,351.866,350.247,3.89107,-28.1944
94,271,314.373,332.452,1.72244,-46.2718
95,306,324.392,324.979,0.802841,-12.5415
96,315,316.364,325.1,0.734656,-9.62236
97,301,312.972,319.848,0.136046,-14.6579
98,356,334.905,330.532,1.19079,18.0851
99,348,336.53,337.458,1.76431,6.52773
100,355,338.386,347.529,2.59502,1.65592
101,422,373.011,374.619,5.04447,30.2352
102,465,420.785,401.771,7.25524,47.7538
103,467,437.531,423.76,8.72868,32.9255
104,404,429.53,419.724,7.45219,-6.78868
105,347,398.982,401.185,4.85309,-35.9917
106,305,359.767,378.655,2.11476,-54.4868
107,336,368.228,364.656,0.503334,-17.3757
108,340,355.537,357.391,-0.273499,-11.9529
109,318,342.459,344.888,-1.49646,-18.3268
110,362,361.476,343.653,-1.47027,18.1637
111,348,348.71,341.828,-1.50579,6.42116
112,363,341.978,350.833,-0.454675,4.80927
113,435,380.613,377.572,2.26465,38.3932
114,491,427.59,411.541,5.43516,57.2653
115,505,449.902,444.525,8.19007,41.1902
116,404,445.927,431.752,6.09372,-13.0777
117,359,401.854,416.419,3.95102,-42.4198
118,310,365.883,392.428,1.15687,-62.8693
119,337,376.209,373.98,-0.803602,-23.2571
120,360,361.224,372.565,-0.864801,-12.1364
121,342,353.373,366.013,-1.43346,-20.0328
122,406,382.744,376.208,-0.270643,21.6521
123,396,382.359,382.758,0.411423,8.46736
124,420,387.979,399.18,2.01248,9.61244
125,472,439.586,417.4,3.63319,43.2553
126,548,478.298,455.884,7.11828,67.7206
127,559,504.192,490.406,9.85866,49.4114
128,463,487.187,488.171,8.64932,-16.7057
129,407,454.401,473.12,6.27928,-49.5299
130,362,416.53,452.134,3.55278,-71.0488
131,405,432.43,441.972,2.18128,-27.3716
132,417,432.017,436.645,1.43043,-14.389
133,391,418.043,424.554,0.0783017,-24.0892
134,419,446.284,410.99,-1.28592,17.5594
135,461,418.172,431.118,0.855499,14.8916
136,472,441.586,447.181,2.37618,14.1745
137,535,492.812,470.651,4.48557,49.5835
138,622,542.857,514.708,8.44272,79.592
139,606,572.562,539.87,10.1146,54.4271
140,508,533.279,537.345,8.8507,-20.4975
141,461,496.666,528.363,7.06741,-54.8798
142,390,464.381,498.239,3.34834,-82.206
143,432,474.216,480.48,1.23753,-33.7041
