lag,acf_raw,acf_differenced
1,0.948047,0.302855
2,0.875575,-0.102148
3,0.806681,-0.241273
4,0.752625,-0.300402
5,0.71377,-0.0940727
6,0.681734,-0.0784426
7,0.662904,-0.0923622
8,0.65561,-0.294802
9,0.670948,-0.191778
10,0.70272,-0.104917
11,0.74324,0.282931
12,0.760395,0.829178
13,0.712661,0.284501
14,0.646342,-0.105752
15,0.585923,-0.222131
16,0.537955,-0.231076
17,0.499748,-0.062279
18,0.468734,-0.066185
19,0.449871,-0.0903997
20,0.441629,-0.29711
21,0.457224,-0.162732
22,0.482482,-0.0829937
23,0.517127,0.255511
24,0.53219,0.701086
