month_index,actual,first_difference,residual
1,118,6,0
2,132,14,10.5524
3,129,-3,-9.91069
4,121,-8,-7.7405
5,135,14,15.5798
6,148,13,5.60517
7,148,0,-6.12841
8,136,-12,-13.0223
9,119,-17,-13.6881
10,104,-15,-10.0947
11,118,14,17.9475
12,115,-3,-10.6228
13,126,11,11.3281
14,141,15,8.93219
15,135,-6,-13.0605
16,125,-10,-8.5196
17,149,24,26.2665
18,170,21,9.51745
19,170,0,-8.95204
20,158,-12,-12.7504
21,133,-25,-21.7143
22,114,-19,-10.8749
23,140,26,31.2461
24,145,5,-7.57379
25,150,5,2.58759
26,178,28,24.609
27,163,-15,-27.5464
28,172,9,14.6281
29,178,6,0.226113
30,199,21,17.5306
31,199,0,-9.7237
32,184,-15,-15.6761
33,162,-22,-17.515
34,146,-16,-9.19689
35,166,20,24.1669
36,171,5,-5.05692
37,180,9,6.34521
38,193,13,8.02375
39,181,-12,-18.3613
40,183,2,5.82602
41,218,35,32.2148
42,230,12,-3.41981
43,242,12,7.04655
44,209,-33,-38.9614
45,191,-18,-5.76716
46,172,-19,-14.5516
47,194,22,27.6002
48,196,2,-8.99926
49,196,0,-1.35756
50,236,40,38.5183
51,235,-1,-18.5561
52,229,-6,-5.51966
53,243,14,14.7542
54,264,21,13.6847
55,272,8,-1.35334
56,237,-35,-38.929
57,211,-26,-13.1586
58,180,-31,-23.393
59,201,21,31.1219
60,204,3,-8.03254
61,188,-16,-17.7565
62,235,47,51.9912
63,227,-8,-28.9946
64,234,7,10.6266
65,264,30,25.2232
66,302,38,24.7828
67,293,-9,-24.6217
68,259,-34,-30.4887
69,229,-30,-18.2772
70,203,-26,-16.6766
71,229,26,33.9458
72,242,13,0.166224
73,233,-9,-14.6046
74,267,34,36.5467
75,269,2,-13.5311
76,270,1,0.0788522
77,315,45,43.0741
78,364,49,29.4759
79,347,-17,-36.4381
80,312,-35,-27.9039
81,274,-38,-26.2203
82,237,-37,-24.4648
83,278,41,53.0603
84,284,6,-13.2624
85,277,-7,-9.17046
86,317,40,41.4117
87,313,-4,-21.8348
88,318,5,6.71364
89,374,56,52.2117
90,413,39,15.2315
91,405,-8,-23.0078
92,355,-50,-46.95
93,306,-49,-30.7983
94,271,-35,-18.6595
95,306,35,45.8895
96,315,9,-7.73668
97,301,-14,-17.6202
98,356,55,59.3664
99,348,-8,-32.1517
100,355,7,10.9306
101,422,67,62.1939
102,465,43,14.9057
103,467,2,-14.1998
104,404,-63,-63.8568
105,347,-57,-33.194
106,305,-42,-22.982
107,336,31,44.4468
108,340,4,-11.3743
109,318,-22,-23.7406
110,362,44,51.4026
111,348,-14,-34.0203
112,363,15,20.9457
113,435,72,63.7826
114,491,56,26.2234
115,505,14,-7.26588
116,404,-101,-106.195
117,359,-45,-5.4942
118,310,-49,-36.3197
119,337,27,43.8722
120,360,23,8.90446
121,342,-18,-27.5047
122,406,64,70.5417
123,396,-10,-37.9806
124,420,24,29.1036
125,472,52,40.2442
126,548,76,54.6074
127,559,11,-19.1164
128,463,-96,-99.136
129,407,-56,-18.7033
130,362,-45,-27.6833
131,405,43,57.8171
132,417,12,-8.33217
133,391,-26,-30.4804
134,419,28,37.2751
135,461,42,28.2339
136,472,11,-6.17746
137,535,63,58.618
138,622,87,60.4735
139,606,-16,-50.0458
140,508,-98,-89.8993
141,461,-47,-9.98103
142,390,-71,-57.2759
143,432,42,67.6192
