source_row,split
1,train
3,train
4,train
6,train
7,train
8,train
9,train
12,train
15,train
16,train
17,train
18,train
20,train
21,train
22,train
23,train
24,train
25,train
26,train
27,train
28,train
29,train
30,train
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,train
42,train
43,train
44,train
45,train
46,train
47,train
49,train
50,train
51,train
53,train
54,train
55,train
56,train
57,train
58,train
59,train
60,train
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,train
70,train
71,train
73,train
74,train
75,train
76,train
79,train
80,train
82,train
83,train
84,train
85,train
86,train
87,train
88,train
90,train
91,train
92,train
93,train
96,train
97,train
99,train
100,train
101,train
102,train
103,train
105,train
106,train
107,train
109,train
110,train
112,train
113,train
114,train
116,train
117,train
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,train
127,train
128,train
129,train
130,train
131,train
133,train
134,train
135,train
136,train
138,train
140,train
141,train
143,train
144,train
145,train
146,train
147,train
148,train
149,train
150,train
151,train
153,train
154,train
156,train
157,train
158,train
159,train
161,train
162,train
163,train
164,train
167,train
168,train
169,train
170,train
171,train
172,train
173,train
174,train
175,train
176,train
177,train
179,train
180,train
181,train
182,train
184,train
185,train
187,train
188,train
189,train
191,train
192,train
193,train
194,train
197,train
200,train
201,train
202,train
203,train
204,train
205,train
206,train
210,train
211,train
212,train
213,train
214,train
215,train
216,train
217,train
218,train
219,train
221,train
226,train
227,train
228,train
229,train
230,train
231,train
233,train
234,train
236,train
237,train
238,train
239,train
240,train
241,train
243,train
245,train
246,train
247,train
248,train
250,train
252,train
253,train
255,train
256,train
258,train
259,train
260,train
261,train
262,train
263,train
264,train
266,train
267,train
268,train
269,train
270,train
271,train
273,train
274,train
275,train
276,train
277,train
278,train
279,train
280,train
281,train
282,train
283,train
284,train
286,train
287,train
288,train
289,train
290,train
291,train
292,train
293,train
294,train
295,train
296,train
297,train
300,train
303,train
305,train
306,train
307,train
308,train
311,train
313,train
315,train
316,train
317,train
318,train
319,train
321,train
322,train
323,train
324,train
325,train
326,train
328,train
329,train
331,train
332,train
333,train
334,train
335,train
336,train
337,train
339,train
342,train
343,train
344,train
346,train
348,train
349,train
350,train
352,train
353,train
355,train
357,train
360,train
361,train
362,train
363,train
364,train
365,train
366,train
367,train
368,train
369,train
370,train
371,train
372,train
373,train
375,train
376,train
377,train
378,train
380,train
382,train
383,train
384,train
386,train
387,train
388,train
390,train
391,train
392,train
393,train
395,train
397,train
398,train
399,train
400,train
401,train
402,train
403,train
405,train
408,train
409,train
410,train
411,train
412,train
413,train
414,train
415,train
416,train
419,train
422,train
423,train
424,train
426,train
427,train
428,train
430,train
431,train
432,train
433,train
434,train
437,train
438,train
440,train
441,train
442,train
443,train
444,train
446,train
447,train
448,train
449,train
450,train
451,train
452,train
453,train
454,train
455,train
457,train
458,train
459,train
461,train
462,train
464,train
465,train
466,train
467,train
468,train
469,train
470,train
471,train
472,train
474,train
475,train
476,train
477,train
478,train
479,train
480,train
481,train
482,train
483,train
484,train
485,train
486,train
487,train
488,train
489,train
490,train
492,train
493,train
494,train
495,train
496,train
497,train
498,train
499,train
500,train
501,train
502,train
503,train
504,train
505,train
508,train
509,train
510,train
514,train
515,train
516,train
517,train
518,train
519,train
520,train
521,train
522,train
523,train
524,train
525,train
526,train
527,train
528,train
529,train
530,train
531,train
532,train
533,train
535,train
537,train
539,train
540,train
541,train
542,train
543,train
544,train
545,train
547,train
548,train
550,train
551,train
552,train
553,train
554,train
555,train
556,train
558,train
559,train
560,train
561,train
562,train
563,train
564,train
569,train
571,train
572,train
573,train
574,train
575,train
577,train
578,train
579,train
580,train
581,train
582,train
583,train
584,train
585,train
586,train
587,train
588,train
589,train
590,train
591,train
593,train
594,train
595,train
596,train
597,train
598,train
599,train
600,train
601,train
602,train
604,train
606,train
607,train
608,train
609,train
610,train
611,train
613,train
614,train
615,train
617,train
618,train
619,train
620,train
621,train
622,train
623,train
624,train
625,train
627,train
628,train
629,train
633,train
634,train
636,train
637,train
639,train
640,train
644,train
645,train
646,train
650,train
651,train
652,train
654,train
655,train
657,train
658,train
660,train
661,train
663,train
664,train
665,train
667,train
668,train
669,train
670,train
671,train
672,train
674,train
675,train
676,train
677,train
678,train
679,train
680,train
681,train
682,train
684,train
685,train
686,train
691,train
694,train
695,train
697,train
698,train
699,train
700,train
701,train
702,train
705,train
706,train
707,train
709,train
710,train
711,train
712,train
713,train
714,train
715,train
716,train
718,train
720,train
721,train
722,train
723,train
725,train
726,train
728,train
729,train
730,train
731,train
732,train
733,train
734,train
735,train
736,train
737,train
738,train
740,train
742,train
743,train
745,train
746,train
747,train
748,train
749,train
750,train
751,train
752,train
753,train
754,train
755,train
756,train
757,train
758,train
761,train
763,train
764,train
766,train
767,train
768,train
771,train
772,train
773,train
774,train
775,train
777,train
778,train
781,train
783,train
785,train
786,train
787,train
788,train
789,train
792,train
793,train
794,train
795,train
797,train
798,train
800,train
801,train
802,train
803,train
804,train
805,train
806,train
807,train
808,train
809,train
810,train
811,train
812,train
813,train
815,train
816,train
817,train
818,train
820,train
821,train
823,train
824,train
827,train
828,train
829,train
830,train
831,train
832,train
833,train
834,train
835,train
836,train
838,train
839,train
840,train
841,train
843,train
844,train
845,train
846,train
847,train
848,train
849,train
850,train
852,train
853,train
854,train
857,train
858,train
859,train
860,train
861,train
862,train
864,train
866,train
867,train
869,train
870,train
871,train
873,train
874,train
875,train
876,train
877,train
878,train
879,train
880,train
881,train
882,train
883,train
885,train
886,train
887,train
890,train
891,train
894,train
896,train
897,train
898,train
899,train
900,train
902,train
903,train
904,train
905,train
906,train
907,train
908,train
909,train
910,train
912,train
913,train
915,train
916,train
917,train
918,train
919,train
920,train
923,train
926,train
928,train
929,train
930,train
931,train
932,train
933,train
936,train
938,train
939,train
940,train
941,train
942,train
943,train
944,train
946,train
947,train
948,train
949,train
950,train
951,train
952,train
954,train
955,train
956,train
957,train
958,train
959,train
960,train
961,train
962,train
963,train
965,train
967,train
968,train
970,train
971,train
973,train
974,train
975,train
976,train
977,train
978,train
979,train
980,train
981,train
982,train
983,train
984,train
985,train
986,train
987,train
988,train
989,train
990,train
991,train
992,train
994,train
995,train
996,train
998,train
999,train
1000,train
1001,train
1002,train
1005,train
1007,train
1008,train
1009,train
1010,train
1011,train
1012,train
1013,train
1014,train
1015,train
1016,train
1017,train
1018,train
1021,train
1022,train
1023,train
1029,train
1031,train
1032,train
1034,train
1035,train
1036,train
1038,train
1039,train
1040,train
1041,train
1043,train
1046,train
1047,train
1048,train
1050,train
1051,train
1052,train
1053,train
1054,train
1055,train
1056,train
1057,train
1058,train
1060,train
1061,train
1062,train
1064,train
1065,train
1066,train
1067,train
1068,train
1069,train
1072,train
1077,train
1078,train
1079,train
1080,train
1081,train
1082,train
1083,train
1084,train
1086,train
1087,train
1088,train
1089,train
1090,train
1091,train
1093,train
1094,train
1096,train
1098,train
1099,train
1101,train
1104,train
1106,train
1107,train
1109,train
1110,train
1111,train
1113,train
1114,train
1115,train
1116,train
1118,train
1119,train
1120,train
1121,train
1122,train
1123,train
1124,train
1125,train
1126,train
1127,train
1129,train
1131,train
1132,train
1136,train
1138,train
1140,train
1142,train
1143,train
1146,train
1147,train
1149,train
1150,train
1151,train
1152,train
1155,train
1157,train
1158,train
1160,train
1162,train
1163,train
1167,train
1169,train
1170,train
1171,train
1172,train
1173,train
1174,train
1176,train
1177,train
1180,train
1181,train
1183,train
1185,train
1186,train
1187,train
1188,train
1189,train
1190,train
1191,train
1192,train
1193,train
1194,train
1196,train
1198,train
1201,train
1202,train
1203,train
1204,train
1205,train
1207,train
1209,train
1210,train
1211,train
1212,train
1213,train
1214,train
1215,train
1216,train
1217,train
1218,train
1219,train
1222,train
1223,train
1224,train
1227,train
1228,train
1230,train
1231,train
1232,train
1234,train
1236,train
1238,train
1239,train
1240,train
1241,train
1242,train
1243,train
1245,train
1246,train
1247,train
1248,train
1249,train
1250,train
1253,train
1254,train
1256,train
1258,train
1259,train
1260,train
1261,train
1262,train
1263,train
1264,train
1266,train
1267,train
1268,train
1269,train
1272,train
1273,train
1274,train
1276,train
1277,train
1278,train
1279,train
1280,train
1281,train
1283,train
1284,train
1285,train
1287,train
1290,train
1291,train
1292,train
1293,train
1294,train
1296,train
1297,train
1298,train
1299,train
1300,train
1301,train
1302,train
1303,train
1304,train
1306,train
1307,train
1308,train
1309,train
1310,train
1311,train
1312,train
1313,train
1314,train
1315,train
1317,train
1319,train
1321,train
1323,train
1324,train
1325,train
1326,train
1327,train
1328,train
1329,train
1331,train
1332,train
1333,train
1334,train
1335,train
1336,train
1338,train
1339,train
1341,train
1343,train
1344,train
1345,train
1346,train
1347,train
1348,train
1349,train
1350,train
1351,train
1352,train
1353,train
1354,train
1355,train
1358,train
1359,train
1361,train
1362,train
1364,train
1365,train
1366,train
1367,train
1368,train
1369,train
1372,train
1373,train
1374,train
1375,train
1376,train
1377,train
1378,train
1379,train
1382,train
1383,train
1384,train
1386,train
1387,train
1388,train
1389,train
1390,train
1391,train
1392,train
1393,train
1394,train
1395,train
1396,train
1397,train
1398,train
1399,train
1400,train
1401,train
1402,train
1405,train
1406,train
1407,train
1408,train
1409,train
1410,train
1411,train
1413,train
1416,train
1417,train
1418,train
1419,train
1420,train
1421,train
1422,train
1423,train
1424,train
1425,train
1426,train
1427,train
1429,train
1430,train
1431,train
1432,train
1433,train
1434,train
1435,train
1436,train
1438,train
1439,train
1440,train
1442,train
1443,train
1444,train
1445,train
1446,train
1448,train
1449,train
1450,train
1451,train
1452,train
1453,train
1454,train
1456,train
1457,train
1458,train
1459,train
1461,train
1462,train
1463,train
1464,train
1466,train
1467,train
1470,train
1471,train
1472,train
1473,train
1474,train
1475,train
1476,train
1477,train
1479,train
1480,train
1481,train
1482,train
1483,train
1485,train
1487,train
1488,train
1489,train
1490,train
1491,train
1492,train
1493,train
1495,train
1497,train
1498,train
1499,train
1500,train
1501,train
1502,train
1505,train
1506,train
1508,train
1510,train
1511,train
1512,train
1513,train
1514,train
1517,train
1518,train
1519,train
1520,train
1521,train
1524,train
1525,train
1527,train
1529,train
1530,train
1532,train
1533,train
1534,train
1535,train
1536,train
1537,train
1539,train
1540,train
1542,train
1543,train
1544,train
1545,train
1547,train
1548,train
1549,train
1550,train
1551,train
1552,train
1553,train
1554,train
1555,train
1558,train
1559,train
1560,train
1561,train
1562,train
1563,train
1565,train
1567,train
1568,train
1571,train
1572,train
1574,train
1575,train
1576,train
1577,train
1578,train
1579,train
1581,train
1582,train
1583,train
1585,train
1587,train
1589,train
1590,train
1591,train
1592,train
1593,train
1594,train
1595,train
1596,train
1597,train
1598,train
1599,train
1600,train
1601,train
1603,train
1604,train
1605,train
1606,train
1607,train
1610,train
1611,train
1612,train
1613,train
1615,train
1616,train
1617,train
1618,train
1619,train
1621,train
1622,train
1624,train
1625,train
1626,train
1627,train
1629,train
1633,train
1634,train
1635,train
1636,train
1637,train
1638,train
1639,train
1640,train
1642,train
1644,train
1646,train
1648,train
1651,train
1652,train
1653,train
1654,train
1655,train
1658,train
1659,train
1660,train
1661,train
1662,train
1664,train
1665,train
1666,train
1668,train
1669,train
1670,train
1671,train
1672,train
1674,train
1675,train
1676,train
1678,train
1680,train
1682,train
1683,train
1684,train
1685,train
1687,train
1688,train
1689,train
1691,train
1693,train
1694,train
1696,train
1697,train
1698,train
1699,train
1700,train
1702,train
1704,train
1705,train
1707,train
1708,train
1709,train
1710,train
1711,train
1712,train
1713,train
1714,train
1715,train
1716,train
1717,train
1718,train
1720,train
1724,train
1725,train
1726,train
1727,train
1728,train
1730,train
1731,train
1732,train
1734,train
1735,train
1736,train
1737,train
1738,train
1740,train
1744,train
1747,train
1748,train
1749,train
1750,train
1751,train
1752,train
1753,train
1754,train
1755,train
1756,train
1757,train
1758,train
1759,train
1760,train
1761,train
1762,train
1764,train
1765,train
1766,train
1767,train
1768,train
1769,train
1770,train
1771,train
1772,train
1773,train
1774,train
1776,train
1777,train
1779,train
1782,train
1783,train
1785,train
1787,train
1789,train
1791,train
1792,train
1793,train
1794,train
1795,train
1796,train
1797,train
1798,train
1799,train
1800,train
1802,train
1803,train
1804,train
1805,train
1806,train
1808,train
1809,train
1810,train
1811,train
1812,train
1813,train
1814,train
1817,train
1818,train
1819,train
1820,train
1821,train
1823,train
1828,train
1829,train
1831,train
1832,train
1833,train
1835,train
1836,train
1837,train
1838,train
1839,train
1840,train
1841,train
1842,train
1844,train
1845,train
