threshold,precision,recall
0,0.12657,1
0.01,0.670213,0.961832
0.02,0.711864,0.961832
0.03,0.741176,0.961832
0.04,0.762195,0.954198
0.05,0.786164,0.954198
0.06,0.801282,0.954198
0.07,0.811688,0.954198
0.08,0.822368,0.954198
0.09,0.833333,0.954198
0.1,0.844595,0.954198
0.11,0.85034,0.954198
0.12,0.862069,0.954198
0.13,0.886525,0.954198
0.14,0.886525,0.954198
0.15,0.886525,0.954198
0.16,0.892857,0.954198
0.17,0.892857,0.954198
0.18,0.892857,0.954198
0.19,0.899281,0.954198
0.2,0.905797,0.954198
0.21,0.912409,0.954198
0.22,0.919118,0.954198
0.23,0.919118,0.954198
0.24,0.919118,0.954198
0.25,0.919118,0.954198
0.26,0.919118,0.954198
0.27,0.925926,0.954198
0.28,0.932836,0.954198
0.29,0.93985,0.954198
0.3,0.94697,0.954198
0.31,0.954198,0.954198
0.32,0.961538,0.954198
0.33,0.961538,0.954198
0.34,0.961538,0.954198
0.35,0.961538,0.954198
0.36,0.961538,0.954198
0.37,0.968992,0.954198
0.38,0.968992,0.954198
0.39,0.968992,0.954198
0.4,0.968992,0.954198
0.41,0.968992,0.954198
0.42,0.968992,0.954198
0.43,0.968992,0.954198
0.44,0.968992,0.954198
0.45,0.96875,0.946565
0.46,0.96875,0.946565
0.47,0.96875,0.946565
0.48,0.96875,0.946565
0.49,0.96875,0.946565
0.5,0.96875,0.946565
0.51,0.96875,0.946565
0.52,0.96875,0.946565
0.53,0.96875,0.946565
0.54,0.96875,0.946565
0.55,0.96875,0.946565
0.56,0.96875,0.946565
0.57,0.96875,0.946565
0.58,0.96875,0.946565
0.59,0.96875,0.946565
0.6,0.96875,0.946565
0.61,0.96875,0.946565
0.62,0.96875,0.946565
0.63,0.96875,0.946565
0.64,0.96875,0.946565
0.65,0.976378,0.946565
0.66,0.976378,0.946565
0.67,0.976378,0.946565
0.68,0.976378,0.946565
0.69,0.976378,0.946565
0.7,0.976378,0.946565
0.71,0.976378,0.946565
0.72,0.976378,0.946565
0.73,0.976378,0.946565
0.74,0.976378,0.946565
0.75,0.976378,0.946565
0.76,0.976378,0.946565
0.77,0.976378,0.946565
0.78,0.984127,0.946565
0.79,0.984127,0.946565
0.8,0.984127,0.946565
0.81,0.984127,0.946565
0.82,0.984127,0.946565
0.83,0.984127,0.946565
0.84,0.984127,0.946565
0.85,0.984,0.938931
0.86,0.991935,0.938931
0.87,0.991935,0.938931
0.88,0.991935,0.938931
0.89,0.991935,0.938931
0.9,0.991935,0.938931
0.91,0.991935,0.938931
0.92,0.991935,0.938931
0.93,0.991935,0.938931
0.94,1,0.938931
0.95,1,0.938931
0.96,1,0.938931
0.97,1,0.931298
0.98,1,0.923664
0.99,1,0.908397
1,1,0.442748
