threshold,precision,recall
0,0.109453,1
0.01,0.52381,1
0.02,0.594595,1
0.03,0.628571,1
0.04,0.647059,1
0.05,0.647059,1
0.06,0.647059,1
0.07,0.6875,1
0.08,0.758621,1
0.09,0.758621,1
0.1,0.777778,0.954545
0.11,0.84,0.954545
0.12,0.84,0.954545
0.13,0.84,0.954545
0.14,0.84,0.954545
0.15,0.84,0.954545
0.16,0.84,0.954545
0.17,0.84,0.954545
0.18,0.875,0.954545
0.19,0.875,0.954545
0.2,0.875,0.954545
0.21,0.875,0.954545
0.22,0.875,0.954545
0.23,0.875,0.954545
0.24,0.875,0.954545
0.25,0.875,0.954545
0.26,0.913043,0.954545
0.27,0.913043,0.954545
0.28,0.913043,0.954545
0.29,0.913043,0.954545
0.3,0.913043,0.954545
0.31,0.954545,0.954545
0.32,0.954545,0.954545
0.33,0.954545,0.954545
0.34,0.954545,0.954545
0.35,0.954545,0.954545
0.36,0.954545,0.954545
0.37,0.954545,0.954545
0.38,0.954545,0.954545
0.39,0.954545,0.954545
0.4,0.954545,0.954545
0.41,0.954545,0.954545
0.42,0.954545,0.954545
0.43,0.954545,0.954545
0.44,0.954545,0.954545
0.45,0.954545,0.954545
0.46,0.954545,0.954545
0.47,0.954545,0.954545
0.48,0.954545,0.954545
0.49,0.954545,0.954545
0.5,0.954545,0.954545
0.51,0.954545,0.954545
0.52,0.954545,0.954545
0.53,0.954545,0.954545
0.54,0.954545,0.954545
0.55,0.954545,0.954545
0.56,0.954545,0.954545
0.57,0.954545,0.954545
0.58,0.954545,0.954545
0.59,0.954545,0.954545
0.6,0.954545,0.954545
0.61,0.954545,0.954545
0.62,0.954545,0.954545
0.63,0.954545,0.954545
0.64,0.954545,0.954545
0.65,0.954545,0.954545
0.66,0.954545,0.954545
0.67,0.954545,0.954545
0.68,0.954545,0.954545
0.69,0.954545,0.954545
0.7,0.954545,0.954545
0.71,0.954545,0.954545
0.72,0.954545,0.954545
0.73,0.954545,0.954545
0.74,0.954545,0.954545
0.75,0.954545,0.954545
0.76,0.954545,0.954545
0.77,0.954545,0.954545
0.78,0.954545,0.954545
0.79,0.954545,0.954545
0.8,0.954545,0.954545
0.81,0.954545,0.954545
0.82,0.954545,0.954545
0.83,0.954545,0.954545
0.84,0.954545,0.954545
0.85,0.954545,0.954545
0.86,0.954545,0.954545
0.87,0.954545,0.954545
0.88,0.954545,0.954545
0.89,0.954545,0.954545
0.9,0.954545,0.954545
0.91,0.954545,0.954545
0.92,0.954545,0.954545
0.93,0.954545,0.954545
0.94,0.954545,0.954545
0.95,1,0.954545
0.96,1,0.954545
0.97,1,0.954545
0.98,1,0.954545
0.99,1,0.954545
1,1,0.0454545
