class,rank,term,mean_tfidf
ham,1,"i",0.0628312
ham,2,"you",0.0502192
ham,3,"to",0.0356675
ham,4,"the",0.0297308
ham,5,"u",0.0296068
ham,6,"a",0.0261484
ham,7,"in",0.0257099
ham,8,"me",0.0252563
ham,9,"and",0.0234947
ham,10,"it",0.0227497
ham,11,"my",0.0226671
ham,12,"is",0.0217324
ham,13,"that",0.0203303
ham,14,"s",0.0194828
ham,15,"are",0.0176221
spam,1,"to",0.0727023
spam,2,"call",0.0625453
spam,3,"a",0.047247
spam,4,"your",0.045433
spam,5,"free",0.0452375
spam,6,"you",0.0367846
spam,7,"2",0.0364913
spam,8,"for",0.033549
spam,9,"now",0.0321644
spam,10,"txt",0.0317218
spam,11,"or",0.0314959
spam,12,"mobile",0.0291275
spam,13,"stop",0.0286593
spam,14,"from",0.0285794
spam,15,"claim",0.0277093
