threshold,precision,recall
0,0.12657,1
0.01,0.256917,0.992366
0.02,0.408228,0.984733
0.03,0.501961,0.977099
0.04,0.582569,0.969466
0.05,0.636364,0.961832
0.06,0.688525,0.961832
0.07,0.72,0.961832
0.08,0.748503,0.954198
0.09,0.771605,0.954198
0.1,0.811688,0.954198
0.11,0.833333,0.954198
0.12,0.844595,0.954198
0.13,0.868056,0.954198
0.14,0.880282,0.954198
0.15,0.886525,0.954198
0.16,0.892857,0.954198
0.17,0.912409,0.954198
0.18,0.912409,0.954198
0.19,0.925926,0.954198
0.2,0.946565,0.946565
0.21,0.946565,0.946565
0.22,0.953846,0.946565
0.23,0.96124,0.946565
0.24,0.96124,0.946565
0.25,0.960938,0.938931
0.26,0.960938,0.938931
0.27,0.960938,0.938931
0.28,0.960317,0.923664
0.29,0.960317,0.923664
0.3,0.968,0.923664
0.31,0.968,0.923664
0.32,0.975806,0.923664
0.33,0.975806,0.923664
0.34,0.975806,0.923664
0.35,0.975806,0.923664
0.36,0.975806,0.923664
0.37,0.97561,0.916031
0.38,0.97561,0.916031
0.39,0.983607,0.916031
0.4,0.983471,0.908397
0.41,0.983471,0.908397
0.42,0.983471,0.908397
0.43,0.991597,0.900763
0.44,1,0.900763
0.45,1,0.900763
0.46,1,0.885496
0.47,1,0.885496
0.48,1,0.885496
0.49,1,0.885496
0.5,1,0.885496
0.51,1,0.885496
0.52,1,0.885496
0.53,1,0.877863
0.54,1,0.877863
0.55,1,0.877863
0.56,1,0.870229
0.57,1,0.870229
0.58,1,0.870229
0.59,1,0.870229
0.6,1,0.862595
0.61,1,0.862595
0.62,1,0.862595
0.63,1,0.854962
0.64,1,0.854962
0.65,1,0.847328
0.66,1,0.832061
0.67,1,0.832061
0.68,1,0.832061
0.69,1,0.816794
0.7,1,0.80916
0.71,1,0.801527
0.72,1,0.801527
0.73,1,0.793893
0.74,1,0.770992
0.75,1,0.763359
0.76,1,0.763359
0.77,1,0.763359
0.78,1,0.755725
0.79,1,0.732824
0.8,1,0.717557
0.81,1,0.717557
0.82,1,0.717557
0.83,1,0.717557
0.84,1,0.717557
0.85,1,0.709924
0.86,1,0.694656
0.87,1,0.687023
0.88,1,0.648855
0.89,1,0.648855
0.9,1,0.625954
0.91,1,0.625954
0.92,1,0.603053
0.93,1,0.587786
0.94,1,0.572519
0.95,1,0.564885
0.96,1,0.557252
0.97,1,0.503817
0.98,1,0.48855
0.99,1,0.419847
1,0,0
