false_positive_rate,true_positive_rate
0,0
0,0.00763359
0,0.0152672
0,0.0229008
0,0.0305344
0,0.0381679
0,0.0458015
0,0.0534351
0,0.0610687
0,0.0687023
0,0.0763359
0,0.0839695
0,0.0916031
0,0.0992366
0,0.10687
0,0.114504
0,0.122137
0,0.129771
0,0.137405
0,0.145038
0,0.160305
0,0.167939
0,0.175573
0,0.183206
0,0.19084
0,0.198473
0,0.206107
0,0.21374
0,0.221374
0,0.229008
0,0.244275
0,0.251908
0,0.259542
0,0.267176
0,0.274809
0,0.282443
0,0.290076
0,0.29771
0,0.305344
0,0.312977
0,0.320611
0,0.328244
0,0.335878
0,0.343511
0,0.351145
0,0.358779
0,0.366412
0,0.374046
0,0.381679
0,0.389313
0,0.396947
0,0.40458
0,0.412214
0,0.419847
0,0.427481
0,0.435115
0,0.442748
0,0.450382
0,0.458015
0,0.465649
0,0.473282
0,0.480916
0,0.48855
0,0.496183
0,0.503817
0,0.51145
0,0.519084
0,0.526718
0,0.534351
0,0.541985
0,0.549618
0,0.557252
0,0.564885
0,0.572519
0,0.580153
0,0.587786
0,0.59542
0,0.603053
0,0.610687
0,0.618321
0,0.625954
0,0.633588
0,0.641221
0,0.648855
0,0.656489
0,0.664122
0,0.671756
0,0.679389
0,0.687023
0,0.694656
0,0.70229
0,0.709924
0,0.717557
0,0.725191
0,0.732824
0,0.740458
0,0.748092
0,0.755725
0,0.763359
0,0.770992
0,0.778626
0,0.793893
0,0.801527
0,0.80916
0,0.816794
0,0.824427
0,0.832061
0,0.839695
0,0.847328
0,0.854962
0,0.862595
0,0.870229
0,0.877863
0,0.885496
0,0.89313
0,0.900763
0.00110619,0.900763
0.00221239,0.900763
0.00221239,0.908397
0.00221239,0.916031
0.00331858,0.916031
0.00331858,0.923664
0.00442478,0.923664
0.00553097,0.923664
0.00553097,0.931298
0.00553097,0.938931
0.00553097,0.946565
0.00663717,0.946565
0.00774336,0.946565
0.00884956,0.946565
0.00995575,0.946565
0.00995575,0.954198
0.0110619,0.954198
0.0121681,0.954198
0.0132743,0.954198
0.0143805,0.954198
0.0154867,0.954198
0.0165929,0.954198
0.0176991,0.954198
0.0188053,0.954198
0.0199115,0.954198
0.0210177,0.954198
0.0232301,0.954198
0.0243363,0.954198
0.0254425,0.954198
0.0265487,0.954198
0.0276549,0.954198
0.0287611,0.954198
0.0298673,0.954198
0.0309735,0.954198
0.0320796,0.954198
0.0331858,0.954198
0.034292,0.954198
0.0353982,0.954198
0.0365044,0.954198
0.0376106,0.954198
0.0387168,0.954198
0.039823,0.954198
0.0409292,0.954198
0.0420354,0.954198
0.0431416,0.954198
0.0442478,0.954198
0.045354,0.954198
0.0464602,0.954198
0.0475664,0.954198
0.0486726,0.954198
0.0497788,0.954198
0.050885,0.954198
0.0519912,0.954198
0.0519912,0.961832
0.0530973,0.961832
0.0542035,0.961832
0.0553097,0.961832
0.0564159,0.961832
0.0575221,0.961832
0.0586283,0.961832
0.0597345,0.961832
0.0608407,0.961832
0.0619469,0.961832
0.0630531,0.961832
0.0641593,0.961832
0.0652655,0.961832
0.0663717,0.961832
0.0674779,0.961832
0.0685841,0.961832
0.0696903,0.961832
0.0707965,0.961832
0.0719027,0.961832
0.0730088,0.961832
0.074115,0.961832
0.0752212,0.961832
0.0763274,0.961832
0.0774336,0.961832
0.0785398,0.961832
0.079646,0.961832
0.0807522,0.961832
0.0818584,0.961832
0.0829646,0.961832
0.0840708,0.961832
0.085177,0.961832
0.0862832,0.961832
0.0862832,0.969466
0.0873894,0.969466
0.0884956,0.969466
0.0896018,0.969466
0.090708,0.969466
0.0918142,0.969466
0.0929204,0.969466
0.0940265,0.969466
0.0951327,0.969466
0.0962389,0.969466
0.0973451,0.969466
0.0984513,0.969466
0.0995575,0.969466
0.100664,0.969466
0.10177,0.969466
0.102876,0.969466
0.103982,0.969466
0.105088,0.969466
0.106195,0.969466
0.106195,0.977099
0.107301,0.977099
0.108407,0.977099
0.109513,0.977099
0.110619,0.977099
0.111726,0.977099
0.112832,0.977099
0.113938,0.977099
0.115044,0.977099
0.11615,0.977099
0.117257,0.977099
0.118363,0.977099
0.119469,0.977099
0.120575,0.977099
0.121681,0.977099
0.122788,0.977099
0.123894,0.977099
0.125,0.977099
0.126106,0.977099
0.127212,0.977099
0.128319,0.977099
0.129425,0.977099
0.130531,0.977099
0.131637,0.977099
0.132743,0.977099
0.13385,0.977099
0.134956,0.977099
0.136062,0.977099
0.137168,0.977099
0.138274,0.977099
0.139381,0.977099
0.140487,0.977099
0.141593,0.977099
0.142699,0.977099
0.142699,0.984733
0.143805,0.984733
0.144912,0.984733
0.146018,0.984733
0.147124,0.984733
0.14823,0.984733
0.149336,0.984733
0.150442,0.984733
0.151549,0.984733
0.152655,0.984733
0.153761,0.984733
0.154867,0.984733
0.155973,0.984733
0.15708,0.984733
0.158186,0.984733
0.159292,0.984733
0.160398,0.984733
0.161504,0.984733
0.162611,0.984733
0.163717,0.984733
0.164823,0.984733
0.165929,0.984733
0.167035,0.984733
0.168142,0.984733
0.169248,0.984733
0.170354,0.984733
0.17146,0.984733
0.172566,0.984733
0.173673,0.984733
0.174779,0.984733
0.175885,0.984733
0.176991,0.984733
0.178097,0.984733
0.179204,0.984733
0.18031,0.984733
0.181416,0.984733
0.182522,0.984733
0.183628,0.984733
0.184735,0.984733
0.185841,0.984733
0.186947,0.984733
0.188053,0.984733
0.189159,0.984733
0.190265,0.984733
0.191372,0.984733
0.192478,0.984733
0.193584,0.984733
0.19469,0.984733
0.195796,0.984733
0.196903,0.984733
0.198009,0.984733
0.199115,0.984733
0.200221,0.984733
0.201327,0.984733
0.202434,0.984733
0.20354,0.984733
0.204646,0.984733
0.205752,0.984733
0.206858,0.984733
0.207965,0.984733
0.209071,0.984733
0.210177,0.984733
0.211283,0.984733
0.212389,0.984733
0.213496,0.984733
0.214602,0.984733
0.215708,0.984733
0.216814,0.984733
0.21792,0.984733
0.219027,0.984733
0.220133,0.984733
0.221239,0.984733
0.222345,0.984733
0.223451,0.984733
0.224558,0.984733
0.225664,0.984733
0.22677,0.984733
0.227876,0.984733
0.228982,0.984733
0.230088,0.984733
0.231195,0.984733
0.232301,0.984733
0.233407,0.984733
0.234513,0.984733
0.235619,0.984733
