source_row,split
4488,train
311,train
522,train
5175,train
5385,train
2987,train
646,train
4227,train
1005,train
903,train
114,train
4562,train
3481,train
4513,train
1857,train
12,train
4177,train
4978,train
987,train
533,train
1535,train
2197,train
5009,train
603,train
2350,train
2117,train
1941,train
1559,train
3225,train
1472,train
1598,train
4511,train
4024,train
5036,train
4884,train
4622,train
3817,train
3424,train
5298,train
2827,train
5526,train
2801,train
1175,train
517,train
2616,train
2843,train
1149,train
3359,train
5439,train
669,train
1587,train
5195,train
2696,train
1365,train
3505,train
3982,train
3745,train
4408,train
2649,train
1061,train
3383,train
222,train
1610,train
4591,train
272,train
1193,train
3087,train
5152,train
3935,train
5055,train
1680,train
5448,train
4486,train
2826,train
2628,train
5507,train
2018,train
2551,train
1755,train
2501,train
1497,train
1463,train
3285,train
5309,train
61,train
616,train
5155,train
5035,train
4063,train
4035,train
3563,train
3040,train
318,train
3543,train
1536,train
1626,train
2864,train
5151,train
3484,train
4150,train
1376,train
2140,train
3870,train
3631,train
1380,train
4769,train
3665,train
76,train
4149,train
857,train
3278,train
2317,train
4618,train
870,train
1818,train
1988,train
4524,train
4049,train
741,train
2815,train
2577,train
293,train
5252,train
5303,train
4772,train
2626,train
4363,train
176,train
4811,train
275,train
4696,train
5364,train
3542,train
1653,train
607,train
5180,train
4019,train
2128,train
5549,train
4134,train
818,train
5182,train
2349,train
1489,train
2446,train
4586,train
248,train
854,train
251,train
1496,train
5434,train
389,train
4332,train
2390,train
2859,train
237,train
5504,train
3153,train
4164,train
5482,train
1882,train
2225,train
3604,train
4687,train
3909,train
609,train
4812,train
1364,train
5345,train
3205,train
677,train
2518,train
2821,train
5123,train
5187,train
4844,train
3401,train
4514,train
2912,train
182,train
4387,train
2862,train
3603,train
2691,train
1879,train
4209,train
4183,train
2676,train
1402,train
2475,train
1861,train
3928,train
4934,train
125,train
773,train
2248,train
564,train
3567,train
4673,train
4712,train
507,train
1995,train
3770,train
413,train
3802,train
698,train
3207,train
4098,train
3951,train
4971,train
968,train
5398,train
2669,train
379,train
2786,train
2654,train
1673,train
722,train
5117,train
5221,train
4872,train
2621,train
1495,train
4662,train
1137,train
2715,train
4091,train
249,train
3584,train
423,train
3559,train
2526,train
2848,train
87,train
527,train
4506,train
599,train
3413,train
2546,train
4218,train
3531,train
2451,train
2840,train
1521,train
3295,train
4222,train
96,train
80,train
1163,train
2541,train
447,train
5153,train
3249,train
4088,train
3353,train
5104,train
5091,train
5413,train
944,train
2111,train
2463,train
489,train
3176,train
2991,train
3202,train
3358,train
5184,train
4959,train
1577,train
2194,train
2405,train
3256,train
1620,train
629,train
600,train
3458,train
4864,train
1762,train
3167,train
434,train
1604,train
3774,train
939,train
2042,train
2459,train
5356,train
996,train
1954,train
2388,train
1436,train
4249,train
537,train
5443,train
3749,train
724,train
633,train
4628,train
5533,train
4692,train
3029,train
1176,train
3488,train
4667,train
2957,train
1156,train
2625,train
438,train
765,train
2851,train
4544,train
2231,train
4826,train
2433,train
5015,train
1565,train
744,train
4097,train
3449,train
5224,train
197,train
4022,train
1600,train
5553,train
5201,train
3062,train
4784,train
4242,train
5442,train
47,train
