threshold,precision,recall
0,0.109453,1
0.01,0.150685,1
0.02,0.22449,1
0.03,0.333333,1
0.04,0.423077,1
0.05,0.488889,1
0.06,0.52381,1
0.07,0.538462,0.954545
0.08,0.65625,0.954545
0.09,0.65625,0.954545
0.1,0.677419,0.954545
0.11,0.75,0.954545
0.12,0.777778,0.954545
0.13,0.807692,0.954545
0.14,0.807692,0.954545
0.15,0.84,0.954545
0.16,0.913043,0.954545
0.17,0.954545,0.954545
0.18,0.954545,0.954545
0.19,0.954545,0.954545
0.2,0.954545,0.954545
0.21,0.954545,0.954545
0.22,0.954545,0.954545
0.23,0.954545,0.954545
0.24,0.954545,0.954545
0.25,0.954545,0.954545
0.26,0.954545,0.954545
0.27,0.954545,0.954545
0.28,0.952381,0.909091
0.29,0.952381,0.909091
0.3,0.952381,0.909091
0.31,0.95,0.863636
0.32,0.95,0.863636
0.33,0.95,0.863636
0.34,0.944444,0.772727
0.35,0.941176,0.727273
0.36,0.941176,0.727273
0.37,0.941176,0.727273
0.38,0.941176,0.727273
0.39,0.941176,0.727273
0.4,0.941176,0.727273
0.41,0.941176,0.727273
0.42,0.941176,0.727273
0.43,0.941176,0.727273
0.44,0.941176,0.727273
0.45,0.941176,0.727273
0.46,0.941176,0.727273
0.47,0.9375,0.681818
0.48,1,0.681818
0.49,1,0.636364
0.5,1,0.636364
0.51,1,0.636364
0.52,1,0.636364
0.53,1,0.636364
0.54,1,0.636364
0.55,1,0.636364
0.56,1,0.636364
0.57,1,0.590909
0.58,1,0.545455
0.59,1,0.545455
0.6,1,0.545455
0.61,1,0.545455
0.62,1,0.545455
0.63,1,0.545455
0.64,1,0.5
0.65,1,0.5
0.66,1,0.5
0.67,1,0.5
0.68,1,0.5
0.69,1,0.5
0.7,1,0.5
0.71,1,0.5
0.72,1,0.5
0.73,1,0.5
0.74,1,0.409091
0.75,1,0.363636
0.76,1,0.363636
0.77,1,0.363636
0.78,1,0.363636
0.79,1,0.363636
0.8,1,0.363636
0.81,1,0.318182
0.82,1,0.318182
0.83,1,0.272727
0.84,1,0.181818
0.85,1,0.181818
0.86,1,0.181818
0.87,1,0.181818
0.88,1,0.181818
0.89,1,0.181818
0.9,1,0.181818
0.91,1,0.136364
0.92,1,0.136364
0.93,1,0.136364
0.94,1,0.136364
0.95,1,0.136364
0.96,1,0.0454545
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
