rank,term,logprob_ham,logprob_spam,log_odds_spam
1,"claim",-10.8621,-5.25529,5.60686
2,"prize",-10.8621,-5.43761,5.42454
3,"150p",-10.8621,-5.66075,5.20139
4,"tone",-10.8621,-5.89843,4.96372
5,"18",-10.8621,-6.00108,4.86107
6,"cs",-10.8621,-6.11549,4.74666
7,"www",-10.169,-5.46886,4.70014
8,"guaranteed",-10.8621,-6.2447,4.61745
9,"video",-10.8621,-6.31616,4.54599
10,"1000",-10.8621,-6.3539,4.50825
11,"500",-10.8621,-6.39312,4.46903
12,"150ppm",-10.8621,-6.43394,4.4282
13,"uk",-10.169,-5.76185,4.40715
14,"ringtone",-10.8621,-6.4765,4.38564
15,"collection",-10.8621,-6.4765,4.38564
16,"tones",-10.8621,-6.52096,4.34119
17,"000",-10.8621,-6.52096,4.34119
18,"awarded",-10.8621,-6.52096,4.34119
19,"mob",-10.8621,-6.61627,4.24588
20,"16",-10.169,-6.00108,4.16792
