false_positive_rate,true_positive_rate
0,0
0,0.442748
0,0.458015
0,0.465649
0,0.473282
0,0.480916
0,0.48855
0,0.496183
0,0.503817
0,0.51145
0,0.519084
0,0.526718
0,0.534351
0,0.541985
0,0.549618
0,0.557252
0,0.564885
0,0.572519
0,0.580153
0,0.587786
0,0.59542
0,0.603053
0,0.610687
0,0.618321
0,0.625954
0,0.633588
0,0.641221
0,0.648855
0,0.656489
0,0.664122
0,0.671756
0,0.679389
0,0.687023
0,0.694656
0,0.70229
0,0.709924
0,0.717557
0,0.725191
0,0.732824
0,0.748092
0,0.755725
0,0.763359
0,0.770992
0,0.778626
0,0.78626
0,0.793893
0,0.801527
0,0.80916
0,0.816794
0,0.824427
0,0.832061
0,0.839695
0,0.847328
0,0.854962
0,0.862595
0,0.870229
0,0.877863
0,0.885496
0,0.89313
0,0.900763
0,0.908397
0,0.916031
0,0.923664
0,0.931298
0,0.938931
0.00110619,0.938931
0.00221239,0.938931
0.00221239,0.946565
0.00331858,0.946565
0.00442478,0.946565
0.00442478,0.954198
0.00553097,0.954198
0.00663717,0.954198
0.00774336,0.954198
0.00884956,0.954198
0.00995575,0.954198
0.0110619,0.954198
0.0121681,0.954198
0.0132743,0.954198
0.0143805,0.954198
0.0154867,0.954198
0.0165929,0.954198
0.0176991,0.954198
0.0199115,0.954198
0.0210177,0.954198
0.0221239,0.954198
0.0232301,0.954198
0.0243363,0.954198
0.0254425,0.954198
0.0265487,0.954198
0.0276549,0.954198
0.0287611,0.954198
0.0298673,0.954198
0.0309735,0.954198
0.0320796,0.954198
0.0331858,0.954198
0.034292,0.954198
0.0353982,0.954198
0.0365044,0.954198
0.0376106,0.954198
0.0387168,0.954198
0.039823,0.954198
0.0409292,0.954198
0.0420354,0.954198
0.0431416,0.954198
0.0442478,0.954198
0.045354,0.954198
0.045354,0.961832
0.0464602,0.961832
0.0475664,0.961832
0.0486726,0.961832
0.0497788,0.961832
0.050885,0.961832
0.0519912,0.961832
0.0530973,0.961832
0.0542035,0.961832
0.0553097,0.961832
0.0564159,0.961832
0.0575221,0.961832
0.0597345,0.961832
0.0608407,0.961832
0.0619469,0.961832
0.0630531,0.961832
0.0641593,0.961832
0.0652655,0.961832
0.0663717,0.961832
0.0674779,0.961832
0.0685841,0.961832
0.0696903,0.961832
0.0707965,0.961832
0.0719027,0.961832
0.0730088,0.961832
0.074115,0.961832
0.0752212,0.961832
0.0763274,0.961832
0.0774336,0.961832
0.0785398,0.961832
0.079646,0.961832
0.0807522,0.961832
0.0818584,0.961832
0.0829646,0.961832
0.0840708,0.961832
0.085177,0.961832
0.0862832,0.961832
0.0873894,0.961832
0.0884956,0.961832
0.0896018,0.961832
0.090708,0.961832
0.0918142,0.961832
0.0929204,0.961832
0.0940265,0.961832
0.0951327,0.961832
0.0962389,0.961832
0.0973451,0.961832
0.0984513,0.961832
0.0995575,0.961832
0.100664,0.961832
0.10177,0.961832
0.102876,0.961832
0.103982,0.961832
0.105088,0.961832
0.106195,0.961832
0.107301,0.961832
0.108407,0.961832
0.109513,0.961832
0.110619,0.961832
0.111726,0.961832
0.112832,0.961832
0.113938,0.961832
0.115044,0.961832
0.11615,0.961832
0.117257,0.961832
0.118363,0.961832
0.119469,0.961832
0.120575,0.961832
0.121681,0.961832
0.122788,0.961832
0.123894,0.961832
0.125,0.961832
0.126106,0.961832
0.127212,0.961832
0.128319,0.961832
0.129425,0.961832
0.130531,0.961832
0.131637,0.961832
0.132743,0.961832
0.13385,0.961832
0.134956,0.961832
0.136062,0.961832
0.137168,0.961832
0.138274,0.961832
0.139381,0.961832
0.140487,0.961832
0.141593,0.961832
0.142699,0.961832
0.143805,0.961832
0.144912,0.961832
0.146018,0.961832
0.147124,0.961832
0.14823,0.961832
0.149336,0.961832
0.150442,0.961832
0.151549,0.961832
0.152655,0.961832
0.153761,0.961832
0.154867,0.961832
0.155973,0.961832
0.15708,0.961832
0.158186,0.961832
0.159292,0.961832
0.160398,0.961832
0.161504,0.961832
0.162611,0.961832
0.163717,0.961832
0.164823,0.961832
0.165929,0.961832
0.167035,0.961832
0.168142,0.961832
0.169248,0.961832
0.170354,0.961832
0.17146,0.961832
0.172566,0.961832
0.173673,0.961832
0.174779,0.961832
0.175885,0.961832
0.176991,0.961832
0.178097,0.961832
0.179204,0.961832
0.18031,0.961832
0.181416,0.961832
0.182522,0.961832
0.183628,0.961832
0.184735,0.961832
0.185841,0.961832
0.186947,0.961832
0.188053,0.961832
0.189159,0.961832
0.190265,0.961832
0.191372,0.961832
0.192478,0.961832
0.193584,0.961832
0.19469,0.961832
0.195796,0.961832
0.196903,0.961832
0.198009,0.961832
0.199115,0.961832
0.200221,0.961832
0.201327,0.961832
0.202434,0.961832
0.20354,0.961832
0.204646,0.961832
0.205752,0.961832
0.206858,0.961832
0.207965,0.961832
0.209071,0.961832
0.210177,0.961832
0.211283,0.961832
0.212389,0.961832
0.213496,0.961832
0.215708,0.961832
0.216814,0.961832
0.21792,0.961832
0.219027,0.961832
0.220133,0.961832
0.221239,0.961832
0.222345,0.961832
0.223451,0.961832
0.224558,0.961832
0.225664,0.961832
0.22677,0.961832
0.227876,0.961832
0.228982,0.961832
0.230088,0.961832
0.231195,0.961832
0.232301,0.961832
0.233407,0.961832
0.234513,0.961832
0.235619,0.961832
0.236726,0.961832
0.237832,0.961832
0.238938,0.961832
0.240044,0.961832
0.24115,0.961832
0.242257,0.961832
0.243363,0.961832
0.244469,0.961832
0.245575,0.961832
0.246681,0.961832
0.247788,0.961832
0.248894,0.961832
0.25,0.961832
0.251106,0.961832
0.252212,0.961832
0.253319,0.961832
0.254425,0.961832
0.255531,0.961832
0.256637,0.961832
0.257743,0.961832
0.25885,0.961832
0.259956,0.961832
0.261062,0.961832
0.262168,0.961832
0.263274,0.961832
0.264381,0.961832
0.265487,0.961832
0.266593,0.961832
0.267699,0.961832
0.268805,0.961832
0.269912,0.961832
0.271018,0.961832
0.272124,0.961832
0.27323,0.961832
0.274336,0.961832
0.275442,0.961832
0.276549,0.961832
0.277655,0.961832
0.278761,0.961832
0.279867,0.961832
0.280973,0.961832
0.28208,0.961832
0.283186,0.961832
0.284292,0.961832
0.285398,0.961832
0.286504,0.961832
0.287611,0.961832
0.288717,0.961832
0.289823,0.961832
0.290929,0.961832
0.292035,0.961832
0.293142,0.961832
0.294248,0.961832
0.295354,0.961832
0.29646,0.961832
0.297566,0.961832
0.298673,0.961832
0.299779,0.961832
0.300885,0.961832
0.301991,0.961832
0.303097,0.961832
0.304204,0.961832
0.30531,0.961832
0.306416,0.961832
0.307522,0.961832
0.308628,0.961832
0.309735,0.961832
0.310841,0.961832
0.311947,0.961832
0.313053,0.961832
0.314159,0.961832
0.315265,0.961832
0.316372,0.961832
0.317478,0.961832
0.318584,0.961832
0.31969,0.961832
0.320796,0.961832
0.321903,0.961832
0.323009,0.961832
0.324115,0.961832
0.325221,0.961832
0.326327,0.961832
0.327434,0.961832
0.32854,0.961832
0.329646,0.961832
0.330752,0.961832
0.331858,0.961832
0.332965,0.961832
0.334071,0.961832
0.335177,0.961832
0.336283,0.961832
0.337389,0.961832
0.338496,0.961832
0.339602,0.961832
0.339602,0.969466
0.340708,0.969466
0.341814,0.969466
0.34292,0.969466
0.344027,0.969466
0.345133,0.969466
0.346239,0.969466
0.347345,0.969466
0.348451,0.969466
0.349558,0.969466
0.350664,0.969466
0.35177,0.969466
0.352876,0.969466
0.353982,0.969466
0.355088,0.969466
0.356195,0.969466
0.357301,0.969466
0.358407,0.969466
0.359513,0.969466
0.360619,0.969466
0.361726,0.969466
0.362832,0.969466
0.363938,0.969466
0.365044,0.969466
0.36615,0.969466
0.367257,0.969466
0.368363,0.969466
0.369469,0.969466
0.370575,0.969466
0.371681,0.969466
0.372788,0.969466
0.373894,0.969466
0.375,0.969466
0.376106,0.969466
0.377212,0.969466
0.378319,0.969466
0.379425,0.969466
0.380531,0.969466
0.381637,0.969466
0.382743,0.969466
0.38385,0.969466
0.384956,0.969466
0.386062,0.969466
0.387168,0.969466
0.388274,0.969466
0.389381,0.969466
0.390487,0.969466
0.391593,0.969466
0.392699,0.969466
0.393805,0.969466
0.394912,0.969466
0.396018,0.969466
0.397124,0.969466
0.39823,0.969466
0.399336,0.969466
0.400442,0.969466
0.401549,0.969466
0.402655,0.969466
0.403761,0.969466
0.404867,0.969466
0.405973,0.969466
0.40708,0.969466
0.408186,0.969466
0.409292,0.969466
0.410398,0.969466
0.411504,0.969466
0.412611,0.969466
0.413717,0.969466
0.414823,0.969466
0.415929,0.969466
0.417035,0.969466
0.418142,0.969466
0.419248,0.969466
0.420354,0.969466
0.42146,0.969466
0.422566,0.969466
0.423673,0.969466
0.424779,0.969466
0.425885,0.969466
0.426991,0.969466
0.428097,0.969466
0.429204,0.969466
0.43031,0.969466
0.431416,0.969466
0.432522,0.969466
0.433628,0.969466
0.434735,0.969466
0.435841,0.969466
0.436947,0.969466
0.438053,0.969466
0.439159,0.969466
0.440265,0.969466
0.441372,0.969466
0.442478,0.969466
0.443584,0.969466
0.44469,0.969466
0.445796,0.969466
0.446903,0.969466
0.448009,0.969466
0.449115,0.969466
0.450221,0.969466
0.450221,0.977099
0.451327,0.977099
0.452434,0.977099
0.45354,0.977099
0.454646,0.977099
0.455752,0.977099
0.456858,0.977099
0.457965,0.977099
0.459071,0.977099
0.460177,0.977099
0.461283,0.977099
0.462389,0.977099
0.463496,0.977099
0.464602,0.977099
0.465708,0.977099
0.466814,0.977099
0.46792,0.977099
0.469027,0.977099
0.470133,0.977099
0.471239,0.977099
0.472345,0.977099
0.473451,0.977099
0.474558,0.977099
0.475664,0.977099
0.47677,0.977099
0.477876,0.977099
0.478982,0.977099
0.480088,0.977099
