false_positive_rate,true_positive_rate
0,0
0,0.0454545
0,0.0909091
0,0.136364
0,0.181818
0,0.227273
0,0.272727
0,0.318182
0,0.363636
0,0.409091
0,0.454545
0,0.5
0,0.545455
0,0.590909
0,0.636364
0,0.681818
0,0.727273
0,0.772727
0,0.818182
0,0.863636
0,0.909091
0,0.954545
0.00558659,0.954545
0.0111732,0.954545
0.0167598,0.954545
0.0223464,0.954545
0.027933,0.954545
0.0335196,0.954545
0.0391061,0.954545
0.0391061,1
0.0446927,1
0.0502793,1
0.0558659,1
0.0614525,1
0.0670391,1
0.0726257,1
0.0782123,1
0.0837989,1
0.0893855,1
0.0949721,1
0.100559,1
0.106145,1
0.111732,1
0.117318,1
0.122905,1
0.128492,1
0.134078,1
0.139665,1
0.145251,1
0.150838,1
0.156425,1
0.162011,1
0.167598,1
0.173184,1
0.178771,1
0.184358,1
0.189944,1
0.195531,1
0.201117,1
0.206704,1
0.212291,1
0.217877,1
0.223464,1
0.22905,1
0.234637,1
0.240223,1
0.24581,1
0.251397,1
0.256983,1
0.26257,1
0.268156,1
0.273743,1
0.27933,1
0.284916,1
0.290503,1
0.296089,1
0.301676,1
0.307263,1
0.312849,1
0.318436,1
0.324022,1
0.329609,1
0.335196,1
0.340782,1
0.346369,1
0.351955,1
0.357542,1
0.363128,1
0.368715,1
0.374302,1
0.379888,1
0.385475,1
0.391061,1
0.396648,1
0.402235,1
0.407821,1
0.413408,1
0.418994,1
0.424581,1
0.430168,1
0.435754,1
0.441341,1
0.446927,1
0.452514,1
0.458101,1
0.463687,1
0.469274,1
0.47486,1
0.480447,1
0.486034,1
0.49162,1
0.497207,1
0.502793,1
0.50838,1
0.513966,1
0.519553,1
0.52514,1
0.530726,1
0.536313,1
0.541899,1
0.547486,1
0.553073,1
0.558659,1
0.564246,1
0.569832,1
0.575419,1
0.581006,1
0.586592,1
0.592179,1
0.597765,1
0.603352,1
0.608939,1
0.614525,1
0.620112,1
0.625698,1
0.631285,1
0.636872,1
0.642458,1
0.648045,1
0.653631,1
0.659218,1
0.664804,1
0.670391,1
0.675978,1
0.681564,1
0.687151,1
0.692737,1
0.698324,1
0.703911,1
0.709497,1
0.715084,1
0.72067,1
0.726257,1
0.731844,1
0.73743,1
0.743017,1
0.748603,1
0.75419,1
0.759777,1
0.765363,1
0.77095,1
0.776536,1
0.782123,1
0.787709,1
0.793296,1
0.798883,1
0.804469,1
0.810056,1
0.815642,1
0.821229,1
0.826816,1
0.832402,1
0.837989,1
0.843575,1
0.849162,1
0.854749,1
0.860335,1
0.865922,1
0.871508,1
0.877095,1
0.882682,1
0.888268,1
0.893855,1
0.899441,1
0.905028,1
0.910615,1
0.916201,1
0.921788,1
0.927374,1
0.932961,1
0.938547,1
0.944134,1
0.949721,1
0.955307,1
0.960894,1
0.96648,1
0.972067,1
0.977654,1
0.98324,1
0.988827,1
0.994413,1
1,1
1,1
