index,term,idf
0,"i",1.96758
1,"to",2.21234
2,"you",2.28193
3,"a",2.53712
4,"u",2.80181
5,"the",2.87243
6,"in",2.91393
7,"and",2.95722
8,"me",3.03065
9,"is",3.05964
10,"it",3.07944
11,"for",3.19598
12,"s",3.25379
13,"your",3.27789
14,"my",3.29016
15,"of",3.31516
16,"are",3.34081
17,"that",3.36712
18,"call",3.42193
19,"have",3.4651
20,"now",3.4651
21,"m",3.47992
22,"not",3.51022
23,"but",3.54148
24,"this",3.59027
25,"can",3.60707
26,"2",3.62417
27,"so",3.62417
28,"how",3.64156
29,"on",3.65926
30,"t",3.65926
31,"do",3.67728
32,"be",3.71432
33,"or",3.71432
34,"ok",3.73337
35,"if",3.75279
36,"we",3.75279
37,"what",3.75279
38,"get",3.79279
39,"no",3.79279
40,"with",3.79279
41,"at",3.81341
42,"4",3.83446
43,"will",3.87795
44,"go",3.92341
45,"up",3.92341
46,"just",3.94694
47,"out",4.02105
48,"only",4.04703
49,"ll",4.10109
50,"from",4.12926
51,"then",4.12926
52,"time",4.12926
53,"ur",4.12926
54,"day",4.15825
55,"good",4.15825
56,"like",4.1881
57,"lor",4.1881
58,"come",4.21888
59,"free",4.21888
60,"got",4.21888
61,"when",4.21888
62,"all",4.25062
63,"was",4.25062
64,"think",4.28341
65,"home",4.31732
66,"today",4.31732
67,"want",4.31732
68,"gt",4.35241
69,"know",4.35241
70,"am",4.38877
71,"going",4.38877
72,"lt",4.38877
73,"there",4.38877
74,"he",4.42652
75,"need",4.46574
76,"already",4.50656
77,"as",4.50656
78,"back",4.50656
79,"da",4.50656
80,"txt",4.50656
81,"him",4.54912
82,"k",4.54912
83,"one",4.54912
84,"r",4.54912
85,"stop",4.54912
86,"text",4.54912
87,"don",4.59357
88,"re",4.59357
89,"wat",4.59357
90,"by",4.64009
91,"e",4.64009
92,"its",4.64009
93,"after",4.68888
94,"hope",4.68888
95,"see",4.68888
96,"sorry",4.68888
97,"still",4.68888
98,"1",4.74017
99,"doing",4.74017
100,"new",4.74017
101,"take",4.74017
102,"too",4.74017
103,"who",4.74017
104,"here",4.79424
105,"n",4.79424
106,"send",4.79424
107,"should",4.79424
108,"some",4.79424
109,"about",4.8514
110,"c",4.8514
111,"hey",4.8514
112,"oh",4.8514
113,"our",4.8514
114,"reply",4.8514
115,"week",4.8514
116,"dear",4.91202
117,"dont",4.91202
118,"lol",4.91202
119,"love",4.91202
120,"please",4.91202
121,"tell",4.91202
122,"they",4.91202
123,"well",4.91202
124,"yeah",4.91202
125,"any",4.97656
126,"cos",4.97656
127,"meet",4.97656
128,"mobile",4.97656
129,"more",4.97656
130,"much",4.97656
131,"she",4.97656
132,"ask",5.04555
133,"b",5.04555
134,"been",5.04555
135,"give",5.04555
136,"happy",5.04555
137,"hi",5.04555
138,"make",5.04555
139,"phone",5.04555
140,"told",5.04555
141,"tomorrow",5.04555
142,"work",5.04555
143,"3",5.11966
144,"an",5.11966
145,"care",5.11966
146,"d",5.11966
147,"had",5.11966
148,"night",5.11966
149,"number",5.11966
150,"pls",5.11966
151,"thanks",5.11966
152,"where",5.11966
153,"find",5.19971
154,"getting",5.19971
155,"great",5.19971
156,"haha",5.19971
157,"has",5.19971
158,"her",5.19971
159,"last",5.19971
160,"miss",5.19971
161,"month",5.19971
162,"msg",5.19971
163,"said",5.19971
164,"soon",5.19971
165,"sure",5.19971
166,"ve",5.19971
167,"waiting",5.19971
168,"won",5.19971
169,"buy",5.28672
170,"down",5.28672
171,"enjoy",5.28672
172,"gonna",5.28672
173,"im",5.28672
174,"keep",5.28672
175,"later",5.28672
176,"lunch",5.28672
177,"min",5.28672
178,"mins",5.28672
179,"other",5.28672
180,"people",5.28672
181,"ready",5.28672
182,"really",5.28672
183,"right",5.28672
184,"something",5.28672
185,"wan",5.28672
186,"way",5.28672
187,"would",5.28672
188,"yes",5.28672
189,"50",5.38203
190,"7",5.38203
191,"anything",5.38203
192,"cash",5.38203
193,"claim",5.38203
194,"contact",5.38203
195,"dun",5.38203
196,"feel",5.38203
197,"friend",5.38203
198,"guys",5.38203
199,"help",5.38203
200,"left",5.38203
201,"let",5.38203
202,"money",5.38203
203,"off",5.38203
204,"per",5.38203
205,"say",5.38203
206,"v",5.38203
207,"very",5.38203
208,"www",5.38203
209,"100",5.48739
210,"150p",5.48739
211,"afternoon",5.48739
212,"again",5.48739
213,"amp",5.48739
214,"ard",5.48739
215,"car",5.48739
216,"coming",5.48739
217,"did",5.48739
218,"didn",5.48739
219,"done",5.48739
220,"fine",5.48739
221,"finish",5.48739
222,"fuck",5.48739
223,"gud",5.48739
224,"ill",5.48739
225,"liao",5.48739
226,"life",5.48739
227,"many",5.48739
228,"mind",5.48739
229,"missed",5.48739
230,"morning",5.48739
231,"nothing",5.48739
232,"once",5.48739
233,"prize",5.48739
234,"probably",5.48739
235,"problem",5.48739
236,"rate",5.48739
237,"sat",5.48739
238,"them",5.48739
239,"thing",5.48739
240,"things",5.48739
241,"win",5.48739
242,"wont",5.48739
243,"ya",5.48739
244,"5",5.60517
245,"aight",5.60517
246,"also",5.60517
247,"asked",5.60517
248,"because",5.60517
249,"before",5.60517
250,"being",5.60517
251,"check",5.60517
252,"customer",5.60517
253,"few",5.60517
254,"food",5.60517
255,"friends",5.60517
256,"god",5.60517
257,"hello",5.60517
258,"long",5.60517
259,"looking",5.60517
260,"made",5.60517
261,"maybe",5.60517
262,"next",5.60517
263,"put",5.60517
264,"service",5.60517
265,"sir",5.60517
266,"stuff",5.60517
267,"thk",5.60517
268,"tonight",5.60517
269,"town",5.60517
270,"trying",5.60517
271,"use",5.60517
272,"were",5.60517
273,"why",5.60517
274,"wil",5.60517
275,"x",5.60517
276,"yet",5.60517
277,"yup",5.60517
278,"10p",5.7387
279,"18",5.7387
280,"2nd",5.7387
281,"500",5.7387
282,"6",5.7387
283,"account",5.7387
284,"always",5.7387
285,"another",5.7387
286,"anyway",5.7387
287,"around",5.7387
288,"bad",5.7387
289,"better",5.7387
290,"bring",5.7387
291,"bt",5.7387
292,"chance",5.7387
293,"chat",5.7387
294,"class",5.7387
295,"dad",5.7387
296,"dat",5.7387
297,"draw",5.7387
298,"dunno",5.7387
299,"even",5.7387
300,"ever",5.7387
301,"every",5.7387
302,"everything",5.7387
303,"first",5.7387
304,"guy",5.7387
305,"haf",5.7387
306,"kiss",5.7387
307,"leave",5.7387
308,"leh",5.7387
309,"look",5.7387
310,"lot",5.7387
311,"minutes",5.7387
312,"national",5.7387
313,"nigeria",5.7387
314,"offer",5.7387
315,"okay",5.7387
316,"pain",5.7387
317,"pick",5.7387
318,"place",5.7387
319,"prob",5.7387
320,"quite",5.7387
321,"real",5.7387
322,"remember",5.7387
323,"rite",5.7387
324,"sister",5.7387
325,"special",5.7387
326,"thank",5.7387
327,"thats",5.7387
328,"thought",5.7387
329,"uk",5.7387
330,"us",5.7387
331,"used",5.7387
332,"video",5.7387
333,"weekend",5.7387
334,"went",5.7387
335,"which",5.7387
336,"wif",5.7387
337,"000",5.89285
338,"16",5.89285
339,"1st",5.89285
340,"9",5.89285
341,"abt",5.89285
342,"address",5.89285
343,"attempt",5.89285
