threshold,precision,recall
0,0.12657,1
0.01,0.12657,1
0.02,0.128937,1
0.03,0.141928,1
0.04,0.159756,1
0.05,0.18705,0.992366
0.06,0.22807,0.992366
0.07,0.283224,0.992366
0.08,0.344828,0.992366
0.09,0.408228,0.984733
0.1,0.505929,0.977099
0.11,0.581818,0.977099
0.12,0.649485,0.961832
0.13,0.696133,0.961832
0.14,0.748503,0.954198
0.15,0.789809,0.946565
0.16,0.82,0.938931
0.17,0.854167,0.938931
0.18,0.89781,0.938931
0.19,0.931818,0.938931
0.2,0.938931,0.938931
0.21,0.945736,0.931298
0.22,0.945736,0.931298
0.23,0.953125,0.931298
0.24,0.952756,0.923664
0.25,0.952756,0.923664
0.26,0.96,0.916031
0.27,0.96748,0.908397
0.28,0.96748,0.908397
0.29,0.975207,0.900763
0.3,0.97479,0.885496
0.31,0.974576,0.877863
0.32,0.974359,0.870229
0.33,0.974359,0.870229
0.34,0.974359,0.870229
0.35,0.973913,0.854962
0.36,0.973214,0.832061
0.37,0.972477,0.80916
0.38,0.981132,0.793893
0.39,1,0.763359
0.4,1,0.748092
0.41,1,0.748092
0.42,1,0.725191
0.43,1,0.709924
0.44,1,0.679389
0.45,1,0.664122
0.46,1,0.656489
0.47,1,0.633588
0.48,1,0.618321
0.49,1,0.610687
0.5,1,0.59542
0.51,1,0.564885
0.52,1,0.564885
0.53,1,0.541985
0.54,1,0.534351
0.55,1,0.526718
0.56,1,0.519084
0.57,1,0.480916
0.58,1,0.435115
0.59,1,0.419847
0.6,1,0.396947
0.61,1,0.381679
0.62,1,0.374046
0.63,1,0.335878
0.64,1,0.305344
0.65,1,0.29771
0.66,1,0.267176
0.67,1,0.259542
0.68,1,0.251908
0.69,1,0.229008
0.7,1,0.221374
0.71,1,0.198473
0.72,1,0.198473
0.73,1,0.175573
0.74,1,0.160305
0.75,1,0.145038
0.76,1,0.137405
0.77,1,0.10687
0.78,1,0.10687
0.79,1,0.0839695
0.8,1,0.0763359
0.81,1,0.0763359
0.82,1,0.0687023
0.83,1,0.0458015
0.84,1,0.0381679
0.85,1,0.0305344
0.86,1,0.0229008
0.87,1,0.0229008
0.88,1,0.0229008
0.89,1,0.0152672
0.9,1,0.00763359
0.91,1,0.00763359
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
